Scène 2.VIII.,Scena 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, tinerii, care s-au aşezat la dreapta şi la stânga"
et auxquels on sert à boire et à manger.,şi le se serveşte mâncare şi băutură.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (salutând cu un aer de goguinard pe cei care ies fără să îndrăznească să-l salută):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domnilor, domn"
"LE BRET (désolé, redescendant, les bras au ciel):","BRET (Sorry, coborârea, brațele în cer):"
  Ah ! dans quels jolis draps.,În ce draperii frumoase.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, tu, vei grunta!"
LE BRET:,- Ce ?
"  Enfin, tu conviendras","În sfârşit, vei fi de acord."
"  Qu'assassiner toujours la chance passagère,","Ca să ucizi mereu norocul trecător,"
  Devient exagéré.,E un pic exagerat.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","- Da, am exagerat."
LE BRET (triomphant):,BREAT (triumfător):
  Ah !,- Ce-i cu tine ?
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Dar pentru principiu, şi pentru exemplu,"
  Je trouve qu'il est bon d'exagérer ainsi.,Cred că e bine să exagerezi aşa.
LE BRET:,- Ce ?
"  Si tu laissais un peu ton âme mousquetaire,","Dacă ai lăsa un pic sufletul tău muschet,"
  La fortune et la gloire. . .,Bogăţie şi glorie. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Şi ce ar trebui să facem?
"  Chercher un protecteur puissant, prendre un patron,","Căutarea unui protector puternic, luarea unui patron,"
  Et comme un lierre obscur qui circonvient un tronc,Şi ca o litere întunecată care înconjoară un tronc
"  Et s'en fait un tuteur en lui léchant l'écorce,","Şi se face un păzitor, lişind-o pe scara,"
  Grimper par ruse au lieu de s'élever par force ?,Să urci cu triumf în loc să te ridici cu forţă?
"  Non, merci. Dédier, comme tous il le font,","Nu, mulţumesc, dar, ca toţi,"
  Des vers aux financiers ? se changer en bouffon,"De la viermi la finanţari, transformându-se în nişte prosti."
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","În speranţa de a vedea, pe buzele unui ministru,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Să-ţi dai un zâmbet, oricum, care nu e sinistru?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Nu, mulţumesc, dar micul dejun, în fiecare zi, cu o broască?"
  Avoir un ventre usé par la marche ? une peau,Să ai un burtă uscată de mers ?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Cine mai repede, în locul genunchiului, devine murdar?"
  Exécuter des tours de souplesse dorsale ?. . .,Să facă tururi de flexibilitate a spatelui? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Nu, mulţumesc, dar cu o mână, să-i faci o bucată de capră."
"  Cependant que, de l'autre, on arrose le chou,","Dar dacă, de la cealaltă, se udă căpuşa,"
"  Et, donneur de séné par désir de rhubarbe,","Şi care dăruieşte sânii, după dorinţa de barbă,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Să-şi ţină tot timpul incensatorul în barbă?
"  Non, merci ! Se pousser de giron en giron,","Nu, mulţumesc, dar să te învârtă din ce în ce mai mult."
