Scène 2.VIII.,Ikibanza ca 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, abahungu bakiri bato, bari ku ruhande rw'iburyo n'urw'ibubamfu"
et auxquels on sert à boire et à manger.,Kandi ni vyo biterwa ibinyobwa n'ibifungurwa.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (yararamukije n'ijwi ry'agacavutu abantu bose basohoka batarinze gutinya kumuramutsa):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi, bavukanyi,"
"LE BRET (désolé, redescendant, les bras au ciel):","INYENZI (Ibabajwe, isubira hasi, amaboko hejuru):"
  Ah ! dans quels jolis draps.,Mbega ukuntu ari ibintu vyiza!
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,Oh! wewe! uzoba uriko uranyiganyiga!
LE BRET:,Umutoni:
"  Enfin, tu conviendras","Amaherezo, uzokwemera"
"  Qu'assassiner toujours la chance passagère,","Ko uguma wica amahirwe y'akanya gato,"
  Devient exagéré.,Biriko birarushiriza kuba bibi.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Erega ni vyo, ndabivuga!"
LE BRET (triomphant):,UMUGABO (Umunyarukundo):
  Ah !,Ah! None se?
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Ariko ku ngingo ngenderwako, no ku karorero,"
  Je trouve qu'il est bon d'exagérer ainsi.,Mbona ko ari vyiza kurenza urugero gutyo.
LE BRET:,Umutoni:
"  Si tu laissais un peu ton âme mousquetaire,","Niwareka gatoya umutima wawe w'umunyamwete,"
  La fortune et la gloire. . .,Ubutunzi n'ubuninahazwa . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,None twokora iki?
"  Chercher un protecteur puissant, prendre un patron,","Kurondera umurinzi akomeye, gufata umukuru,"
  Et comme un lierre obscur qui circonvient un tronc,Kandi nk'umwiza w'umwiza uzunguruka igiti c'ubwato
"  Et s'en fait un tuteur en lui léchant l'écorce,","Kandi akagira umwungere, akamuririra mu gitereko,"
  Grimper par ruse au lieu de s'élever par force ?,Kwinjira mu bugunge aho kuzamuka ku nguvu?
"  Non, merci. Dédier, comme tous il le font,","Ntibikenewe, urakoze."
  Des vers aux financiers ? se changer en bouffon,Kuva ku ndwara gushika ku buyobozi bw'imari?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Mu cizigiro c'agahomerabunwa co kubona, ku munwa w'umushikiranganji,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Kuvyara akamwemwe, na ho nyene, ni nde atari umubisha?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Ntaco, urakoze."
  Avoir un ventre usé par la marche ? une peau,Kugira inda y'indwara mu nzira?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Ni nde ahita asubira kwanduza aho kwanduza ivi?
  Exécuter des tours de souplesse dorsale ?. . .,Gukora ingendo zo kuruhuka inyuma? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Oya, urakoze. Ukuboko kumwe gushima impene mu ijosi"
"  Cependant que, de l'autre, on arrose le chou,","Ariko, ku rundi ruhande, turabiragura,"
"  Et, donneur de séné par désir de rhubarbe,","Kandi ni we ahana ibisebe kubera ivyipfuzo vyiwe,"
"  Avoir son encensoir, toujours, dans quelque barbe ?","Gufata umwotsi wiwe w'imibavu, mu mugongo?"
"  Non, merci ! Se pousser de giron en giron,","Ntibikenewe, turabashimira."
"  Devenir un petit grand homme dans un rond,","Kuba umuntu mutoyi muzima mu mugozi umwe,"
"  Et naviguer, avec des madrigaux pour rames,","Kandi bagendera mu bwato, bafise imigozi y'imigozi,"
  Et dans ses voiles des soupirs de vieilles dames ?,Kandi mu miheto yiwe hari imvugo y'abakenyezi bakuze?
"  Non, merci ! Chez le bon éditeur de Sercy","Ntibikenewe, ndabashimiye, ku muhora mwiza wo gusohora Sercy"
"  Faire éditer ses vers en payant ? Non, merci !",Gutanga ibitabu vyawe mu kuriha?
  S'aller faire nommer pape par les conciles,Gushiraho Ibwirizwa ry'Isezerano
  Que dans des cabarets tiennent des imbéciles ?,Ngo mu mazu y'uburaro hari abacumbagira?
"  Non, merci ! Travailler à se construire un nom","Ntibikenewe, urakoze, ni uko twokwiha izina"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Ku muriro w'indirimbo, aho gukora izindi?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Urakoze, none ngo ni mu mabuye y'agaciro gusa ni ho umuntu ashobora kubona ubuhanga?"
"  Être terrorisé par de vagues gazettes,","Guterwa ubwoba n'ibinyamakuru vy'impuzu,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Kandi ukaguma uvuga uti: ""Oya, nibaza ko ndi"
  Dans les petits papiers du Mercure François ?. . .,Mu mpapuro z'umusi mukuru w'ivyanditswe vya Mercure François? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","N'uko, ndabashimiye!"
"  Aimer mieux faire une visite qu'un poème,","Gukunda gutembera kuruta igisomwa,"
