Scène 2.VIII.,Сцена 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Сирано, Ле Брет, юноши, которые сидели справа и слева"
et auxquels on sert à boire et à manger.,и они будут служить питью и едой.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"Сирано (приветствуя с горячим видом тех, кто выходит, не осмелившись приветствовать его):"
  Messieurs. . .Messieurs. . .Messieurs. . .,"Господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, госпо"
"LE BRET (désolé, redescendant, les bras au ciel):","БРЕТ (пожалуйста, спускаясь, руки в небо):"
  Ah ! dans quels jolis draps.,"Ах, в какие красивые полотна."
CYRANO:,Сирано:
  Oh ! toi ! tu vas grogner !,"О, ты, ты будешь громко кричать!"
LE BRET:,- Я не знаю.
"  Enfin, tu conviendras","И наконец, ты согласишься."
"  Qu'assassiner toujours la chance passagère,","Что всегда убивать случайную удачу,"
  Devient exagéré.,Это преувеличивает.
CYRANO:,Сирано:
"  Hé bien oui, j'exagère !","Ну, да, я преувеличиваю!"
LE BRET (triomphant):,ТРЕЙМФИР:
  Ah !,"- Да, это так."
CYRANO:,Сирано:
"  Mais pour le principe, et pour l'exemple aussi,","Но для начала, и для примера,"
  Je trouve qu'il est bon d'exagérer ainsi.,"Я считаю, что это хорошо, если мы так преувеличиваем."
LE BRET:,- Я не знаю.
"  Si tu laissais un peu ton âme mousquetaire,","Если бы ты немного оставил свою мускутную душу,"
  La fortune et la gloire. . .,Богатство и слава. . . .
CYRANO:,Сирано:
  Et que faudrait-il faire ?,И что же нужно делать?
"  Chercher un protecteur puissant, prendre un patron,","Ищу сильного защитника, ищу босса,"
  Et comme un lierre obscur qui circonvient un tronc,"И как темная листья , окружающая трубку"
"  Et s'en fait un tuteur en lui léchant l'écorce,","И он делает его покровителем, лисая его кожу,"
  Grimper par ruse au lieu de s'élever par force ?,"Выскачивать на подъезде, а не подниматься силой?"
"  Non, merci. Dédier, comme tous il le font,","Нет, спасибо, посвятить, как и все,"
  Des vers aux financiers ? se changer en bouffon,"Из червей в финансовых, превращаться в чудаков."
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","В ничтожной надежде увидеть, по устам министра,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Начать улыбку, которая не зловещая?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Нет, спасибо, а обед на черепах каждый день?"
  Avoir un ventre usé par la marche ? une peau,"У вас есть живот , который изнашивается , когда вы ходите ?"
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Кто быстрее, чем колени, становится грязным?"
