Scène 2.VIII.,Scenne 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, amolenge so ayeke na mbage ti maboko ti koli na ti maboko ti wali"
et auxquels on sert à boire et à manger.,Na ala yeke wara kobe ti nyon na ti nyon.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (lo yeke bara azo so asigigi na yâ ti da ni na mbeni ngia na bê ti lo pëpe):
  Messieurs. . .Messieurs. . .Messieurs. . .,"A-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem, a-Jérusalem,"
"LE BRET (désolé, redescendant, les bras au ciel):",KONGO ti lo ayeke na yâ ti mbeni ndo so ayeke na nduzu mingi.
  Ah ! dans quels jolis draps.,Ah! So pendere bongo ti bongo.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, mo yeke tene tënë ti toto!"
LE BRET:,Kete tënë ni:
"  Enfin, tu conviendras","Na nda ni, mo yeke yeda"
"  Qu'assassiner toujours la chance passagère,",Ti tene lakue ti fâ zo ti nzoni bê ayeke gi kete ye
  Devient exagéré.,A yeke ngangu ti sara ye na lege ni ape.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !",A yeke tâ tënë ni ape.
LE BRET (triomphant):,KONGO ni ayeke:
  Ah !,Ah! Ah! Ah!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Me na lege ti tapande nga na lege ti kpengba-ndia,"
  Je trouve qu'il est bon d'exagérer ainsi.,Mbi bâ so a yeke nzoni ti sara tënë mingi tongaso.
LE BRET:,Kete tënë ni:
"  Si tu laissais un peu ton âme mousquetaire,","Tongana mo zia mbeni kete âme ti mo so ayeke na yâ ti kando,"
  La fortune et la gloire. . .,Ngangu ti mosoro nga na gloire . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Nyen la a lingbi e sara?
"  Chercher un protecteur puissant, prendre un patron,","Ti gi mbeni zo so ayeke bata zo ngangu mingi, ti mû mbeni zo so ayeke sara kua na lo,"
  Et comme un lierre obscur qui circonvient un tronc,Na tongana mbeni ndo so ayeke vuru na ndo ti mbeni keke ti keke
"  Et s'en fait un tuteur en lui léchant l'écorce,",Lo yeke sara si mbeni zo abâ lege ti lo na lege ti mbeni zo so ayeke nyon ni na yâ ti yaka ti lo.
  Grimper par ruse au lieu de s'élever par force ?,"Ti gue na nduzu na ngangu pëpe, me ti sara ye na mayele?"
"  Non, merci. Dédier, comme tous il le font,","Me, tongana azo kue, ala yeke mû tere ti ala na Jéhovah."
  Des vers aux financiers ? se changer en bouffon,A londo na asuku ti nginza ti ga azo ti sioni
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Na yâ ti kete beku ti bâ, na yanga ti mbeni wakua,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",Ti tene mbeni zo so ayeke na ngia ape asara ye ti sioni mingi.
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",Mo yeke te kobe ti midi lâ oko oko na mbeni zo so ayeke na yâ ti kete kete kete kete kete kete kete kete?
  Avoir un ventre usé par la marche ? une peau,Ti tene yâ ti mo abuba na lege ti tambela?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Tongana zo ni ayeke ga sioni hio ahon ti tene lo tï na gbe ti genou, lo yeke ga sioni ahon ti so lo yeke sara."
  Exécuter des tours de souplesse dorsale ?. . .,Ti sara kua ti kiri na peko ti aye so ayeke na yâ ti li ti lo? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Na lege ti mbeni maboko, mo yeke pika na li ti ngasa"
"  Cependant que, de l'autre, on arrose le chou,","Me tongana mbeni zo atuku ngu na yâ ti mbeni kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete,"
"  Et, donneur de séné par désir de rhubarbe,",Na ala yeke sara si li ti ala aga na ndo ti mbeni kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete kete.
"  Avoir son encensoir, toujours, dans quelque barbe ?",Ti tene zo ni ayeke zia wâ ti wâ na yâ ti mbeni poro ti lo lakue?
