Scène 2.VIII.,दृश्यम् २.८.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","सीरानो, ल्य् ब्रेट, कदम्, यः दाहिनायां वामपट्टे विराजमानः"
et auxquels on sert à boire et à manger.,तेषु च पिबन्ति च।
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,साइरो (गगूग्वरैः प्रणामं कुर्वन्)
  Messieurs. . .Messieurs. . .Messieurs. . .,महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः महोदयः
"LE BRET (désolé, redescendant, les bras au ciel):","(उत्पत्त्या, निपात्य, आस्त्रेषु आकाशम्):"
  Ah ! dans quels jolis draps.,अथापि!
CYRANO:,सीरानोः
  Oh ! toi ! tu vas grogner !,"हे त्वं, त्वं ग्रोहसि!"
LE BRET:,"""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं"
"  Enfin, tu conviendras","अन्ततः, भवद्भिः सह"
"  Qu'assassiner toujours la chance passagère,","यत् सदा क्षणिकं भाग्यं हन्तुम्,"
  Devient exagéré.,अतिशयो भवति।
CYRANO:,सीरानोः
