Scène 2.VIII.,Scena 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, i minori, chì si sò assittati à a destra è à a manca"
et auxquels on sert à boire et à manger.,e li sirvinu a manciari e a beviri.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CIRANO (saludendu cù un'aria goguinardia quelli chì escianu senza oavè salutatu):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Signuri, signuri, signuri, signuri, signuri, signuri, signuri, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori,"
"LE BRET (désolé, redescendant, les bras au ciel):","U BRET (scusati, discendenti, bracci in celu):"
  Ah ! dans quels jolis draps.,Ah! in quiddi beddi drappi.
CYRANO:,CIRANO:
  Oh ! toi ! tu vas grogner !,"Oh, tu! ti truverà à grugnà!"
LE BRET:,U BROTT:
"  Enfin, tu conviendras","Finalmente, ti conviene"
"  Qu'assassiner toujours la chance passagère,","ca sempri ammazzari la furtuna passagera,"
  Devient exagéré.,Sta diventendu eccessivu.
CYRANO:,CIRANO:
"  Hé bien oui, j'exagère !","E' ca si, ca sugnu troppu!"
LE BRET (triomphant):,U BRET (triunfante):
  Ah !,"Ah, ca è veru!"
CYRANO:,CIRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Ma per u principiu, è ancu per l'esempiu,"
  Je trouve qu'il est bon d'exagérer ainsi.,Pensu chì hè bè di esagerà cusì.
LE BRET:,U BROTT:
"  Si tu laissais un peu ton âme mousquetaire,","Se lasciassi un pocu a to anima muschetta,"
  La fortune et la gloire. . .,Ricchezza e gloria. . . .
CYRANO:,CIRANO:
  Et que faudrait-il faire ?,E chi ci vole à fà ?
"  Chercher un protecteur puissant, prendre un patron,","Cercà un protettore putente, piglià un patrone,"
  Et comme un lierre obscur qui circonvient un tronc,e comu 'na litera scura ca circonda 'na tronca
"  Et s'en fait un tuteur en lui léchant l'écorce,","e si ne fa un tutore, liccendu a so scaglia,"
  Grimper par ruse au lieu de s'élever par force ?,Cumpagnà per cunfidenza invece di esce per forza?
"  Non, merci. Dédier, comme tous il le font,","No, grazie. Dedicà, comu tutti facenu,"
  Des vers aux financiers ? se changer en bouffon,Da vermi à finanzieri ?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","In a speranza di vede, à i labbra di un ministru,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Nasci un sorrisu, infine, chì ùn hè micca sinistru?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","No, grazie. (Scurring) A pranzà ogni ghjornu, di un crabbie?"
  Avoir un ventre usé par la marche ? une peau,Aviri un ventre usatu da a cammina?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Chi si fa cchiù vultanti, a lu postu di li genuti?"
  Exécuter des tours de souplesse dorsale ?. . .,Funziunà turni di flessibilità d'orlo? . . .
"  Non, merci. D'une main flatter la chèvre au cou","No, grazie, cu na manu, flirta la capra a lu cucciolu"
"  Cependant que, de l'autre, on arrose le chou,","Eppuru, di l'altru, si bagna u cavu,"
"  Et, donneur de séné par désir de rhubarbe,","E chi si fa di spuntini pi lu desideriu di a barba,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Aviri lu so incensariu sempri nta na barba?
"  Non, merci ! Se pousser de giron en giron,","No, grazie! Spingendu di girone in girone,"
"  Devenir un petit grand homme dans un rond,","Diventà un picculu grande omu in un circulu,"
"  Et naviguer, avec des madrigaux pour rames,","e navighi, cu li madrighi di li rammi,"
  Et dans ses voiles des soupirs de vieilles dames ?,E 'n li so' veluli 'i sughiri di l'anziane?
"  Non, merci ! Chez le bon éditeur de Sercy","No, grazzi, a lu bon edituri di Sercy"
"  Faire éditer ses vers en payant ? Non, merci !",- Falli currere i vermi di pagamentu?
  S'aller faire nommer pape par les conciles,A chi si fa papa da li cuncili
  Que dans des cabarets tiennent des imbéciles ?,Ca 'n cabaretti si tenunu scemi?
"  Non, merci ! Travailler à se construire un nom","No, grazie, travaglià à fà un nome"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","In un sonnettu, invece di fà altri?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Grazi, si scupri talentu sulu nta li mazzi?"
"  Être terrorisé par de vagues gazettes,","Essiri terrorizatu da l'onda di i giornali,"
"  Et se dire sans cesse: Oh, pourvu que je sois","E sempri dici: Oh, si mi nni fussi"
  Dans les petits papiers du Mercure François ?. . .,Nta li picculi carta di u Mercuriu Franciscu? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","No, grazie! Calculà, avè paura, esse scurdatu,"
"  Aimer mieux faire une visite qu'un poème,","A piace megliu fà una visita chè un poema,"
"  Rédiger des placets, se faire présenter ?","Scriviri pignati, fari si nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni nni"
