Scène 2.VIII.,ၸၼ်ႉ 2.VIII
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, ၵူၼ်းၼုမ်ႇၸိူဝ်းဢၼ်ယူႇၽၢႆႇၶႂႃလႄႈၽၢႆႇသၢႆႉ"
et auxquels on sert à boire et à manger.,ၶဝ်ၵိၼ်ၶဝ်ႈ လႄႈ ၵိၼ်ၶဝ်ႈ ယူႇ ဢေႃႈ။
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,(CYRANO) (သူင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသင်ႇသ
  Messieurs. . .Messieurs. . .Messieurs. . .,ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်ပိဝ် ၸွမ်
"LE BRET (désolé, redescendant, les bras au ciel):",(လုၵ်ႉတီး ၼႆႈသေ ၶိုၼ်းပိၼ်ႇဝၢႆႇမႃး)
  Ah ! dans quels jolis draps.,မႂ်ႇသုင်ၶႃႈ၊ ၶူဝ်းၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼုင်ႈၼ
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,ဢူး၊ မႂ်းတေငိုၵ်းငိုၵ်းငိုၵ်း။
LE BRET:,မၢၵ်ႇမႅင်းမႆႈ
"  Enfin, tu conviendras",ၵမ်းလိုၼ်းသုတ်း ၸဝ်ႈႁဝ်းတေလႆႈ
"  Qu'assassiner toujours la chance passagère,",ဢၼ်ၶႃႈႁႅမ်တၢႆ ၽွၼ်းလီ ဢၼ်ဢမ်ႇမီးတီႈသုတ်းၼၼ်ႉ
  Devient exagéré.,မၼ်းတေယွမ်းၼွမ်းၼွမ်း။
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !",-ၸႂ်ႈၶႃႈဢေႃႈ၊ ၵဝ်ယၢမ်ႈလၢတ်ႈၼႄလွင်ႈတၢင်း ဢၼ်လၢၵ်ႇလၢႆး။
LE BRET (triomphant):,(လုၵ်ႉတီး ထႅမ်းပလဵၵ်ႉ:The Breat) ၼႆႈသေ ၶိုၼ်းပိၼ်ႇဝၢႆႇမႃး
  Ah !,ဢိူဝ်ႈ!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,",ၵူၺ်းၵႃႈ၊လွင်ႈတၢင်း ဢၼ်ၵဵဝ်ႇလူၺ်ႈ ပိူင်ငဝ်ႈပိုင်းမိူင်း လႄႈ ပိူင်တႅၵ်ႈမၼ်းၼၼ်ႉၵေႃႈ၊
  Je trouve qu'il est bon d'exagérer ainsi.,ၵဝ်ႁၼ်ထိုင်ဝႃႈ မၼ်းလီလီလီ ပေႃးဢဝ်လၢႆးဢၼ်ၼႆႉသေ ယွမ်းၼွမ်းၵႂႃႇ။
LE BRET:,မၢၵ်ႇမႅင်းမႆႈ
"  Si tu laissais un peu ton âme mousquetaire,",ပေႃး မႂ်း ပွႆႇပၼ် ဢသၢၵ်ႈ မႂ်း ဝႆႉ ဢိတ်းၼိုင်ႈ ၸိုင်၊ၵဝ် တၵ်း ဢဝ် ဢသၢၵ်ႈ မႂ်း ပႅတ်ႈ ဢေႃႈ။
  La fortune et la gloire. . .,သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း သူးတွင်း
CYRANO:,CYRANO:
