Scène 2.VIII.,2.VIII සිද්ධිය.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","සිරානෝ, බ් රෙට්, දකුණු සහ වම් පැත්තේ වාඩි වූ තරුණයින්"
et auxquels on sert à boire et à manger.,"ඒවාට කෑම බීමත්, බීමත් ලබා දෙනවා."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,සිරානෝ (ඔහුට ආචාර කරන්නත් බැරිව එලියට යන අයට සුබ පතමින්):
  Messieurs. . .Messieurs. . .Messieurs. . .,මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්වරුනි මහත්ව
"LE BRET (désolé, redescendant, les bras au ciel):","(සැපවීම, පහළට, අහස අත):"
  Ah ! dans quels jolis draps.,මොනතරම් ලස්සන රෙදිපිළිද?
CYRANO:,සිරානෝ:
  Oh ! toi ! tu vas grogner !,"ඔහ්, ඔයා, ඔයා හඬන්න යන්නේ!"
LE BRET:,- මම මේ ගැන කතා කරනවා.
"  Enfin, tu conviendras",අන්තිමේදී ඔයා ඒකට කැමති වෙයි.
"  Qu'assassiner toujours la chance passagère,","හැමවෙලේම වාසනාව මරා දමනවා කියලා,"
  Devient exagéré.,ඒක ටිකක් වැඩියි.
CYRANO:,සිරානෝ:
"  Hé bien oui, j'exagère !","ඔව්, මම ඒක ඉක්මන් කරනවා."
LE BRET (triomphant):,ජයග් රාහකයා:
  Ah !,- අහ්!
CYRANO:,සිරානෝ:
"  Mais pour le principe, et pour l'exemple aussi,","ඒත් ප් රතිපත්තිය වගේම උදාහරණයත් එක්ක,"
  Je trouve qu'il est bon d'exagérer ainsi.,මම හිතන්නේ ඒක හරි.
LE BRET:,- මම මේ ගැන කතා කරනවා.
"  Si tu laissais un peu ton âme mousquetaire,","ඔයා ඔයාගේ ආත්මය ටිකක් අතහරින්න,"
  La fortune et la gloire. . .,ධනය හා කීර්තිය . . .
CYRANO:,සිරානෝ:
  Et que faudrait-il faire ?,"ඉතින්, අපි මොකද කරන්න ඕනේ?"
"  Chercher un protecteur puissant, prendre un patron,","බලවත් ආරක්ෂකයෙක් හොයාගන්න, ලොක්කෙක් ගන්න,"
  Et comme un lierre obscur qui circonvient un tronc,තාරකාව වටා අඳුරු ලීර් මෙන්
"  Et s'en fait un tuteur en lui léchant l'écorce,",ඔහු එය ආරක්ෂා කරගන්නේ එහි කකුල ලෙමින්ය.
  Grimper par ruse au lieu de s'élever par force ?,බලෙන් නැගීමට වඩා කුමන්ත් රණයෙන් නැගීම?
"  Non, merci. Dédier, comme tous il le font,","නෑ, ස්තූතියි."
  Des vers aux financiers ? se changer en bouffon,වකුගඩු වලින් මුදල් කාරයො දක්වා
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","අමාත් යවරයෙක්ගේ කටින් දැකීමට බලාපොරොත්තු වූ නිහතමානී බලාපොරොත්තුව,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාවෙන්න, හිනාව"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",හැමදාම බඩගින්නේ කෑමට බඩගින්නේ?
  Avoir un ventre usé par la marche ? une peau,ඇවිදිනකොට බඩේ ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇටයක් ඇට
"  Qui plus vite, à l'endroit des genoux, devient sale ?",කවුද ඉක්මනට දණහිස් වලට වඩා අපිරිසිදු වෙන්නේ?
  Exécuter des tours de souplesse dorsale ?. . .,පිටුපස සිනිඳුකම සඳහා ක් රියාත්මක වීම?
"  Non, merci. D'une main flatter la chèvre au cou",එක අතක් ගෝනුස්සාව කොලයට ගෞරව කරන්න
"  Cependant que, de l'autre, on arrose le chou,","ඒත් අනිත් කෙනාට අපි කැලෑව වතුර දුන්නොත්,"
"  Et, donneur de séné par désir de rhubarbe,","තවද, ඔහු (අල්ලාහ්) ව රූබර්බර්බර් ලෙස ප් රාර්ථනා කර,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",එයාගෙ ගිනි තැටිය හැමවෙලේම කොන්ඩේ තියාගෙන ඉන්නවද?
"  Non, merci ! Se pousser de giron en giron,","නෑ, ස්තූතියි."
"  Devenir un petit grand homme dans un rond,","පොඩි ලොකු මිනිහෙක් වෙන්න,"
"  Et naviguer, avec des madrigaux pour rames,",නැව් නැව්වල නැව් නැව්වල නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව් නැව්
  Et dans ses voiles des soupirs de vieilles dames ?,එතකොට එයාගේ පලිහ ඇතුලේ ඉන්න මහලු ගෑනු ළමයින්ගේ හුස්ම?
"  Non, merci ! Chez le bon éditeur de Sercy",සර්සිගේ නිවැරදි ප් රකාශකයාගෙන්.
"  Faire éditer ses vers en payant ? Non, merci !",- සල්ලි ගෙවලා එයාගෙ කවි සංස්කරණය කරන්නද?
  S'aller faire nommer pape par les conciles,පාප්තුමා ලෙස පත්කරන්න
  Que dans des cabarets tiennent des imbéciles ?,මෝඩයෝ කැබැට් වල ඉන්නවද?
"  Non, merci ! Travailler à se construire un nom",නමක් හදන්න වැඩ කරන්න
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",එක සින්දුවකට වෙනුවට තවත් සින්දුවක් හදන්නද?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"ස්තුතියි, ඔයා දන්නවද, දක්ෂතාවය හොයාගන්න පුළුවන් වෙන්නේ කූඩාරම් වල විතරයි කියලා?"
"  Être terrorisé par de vagues gazettes,","පුවත්පත් වල තැතිගැනීම් වලට ලක්වීම,"
"  Et se dire sans cesse: Oh, pourvu que je sois","""අනේ, මම එහෙම නම්,"
  Dans les petits papiers du Mercure François ?. . .,ෆ් රැන්සිස් වෙතින් නිකුත් කරන ලද සුළු ලේඛනවල?
"  Non, merci ! Calculer, avoir peur, être blême,","ගණනය කරන්න, බය වෙන්න, නිරවුල් වෙන්න,"
"  Aimer mieux faire une visite qu'un poème,",කවියකට වඩා සංචාරයක් කරන්න කැමති වෙන්න.
"  Rédiger des placets, se faire présenter ?","පණිවිඩයක් ලියනවද, මාව හඳුන්වා දෙනවද?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","නෑ, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූතියි, ස්තූ"
"  Rêver, rire, passer, être seul, être libre,","හීන දකින්න, හිනා වෙන්න, ඇවිදින්න, තනියම ඉන්න, නිදහස් වෙන්න,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","ඇස් දෙක හොඳින් බලන එක, කටහඬ කම්පනයෙන්,"
"  Mettre, quand il vous plaît, son feutre de travers,","ඔයා කැමති වෙලාවට ඒකේ හැඟීම වෙනස් කරන්න,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","ඔව් එකකට, නෑ එකකට, සටන් කරන්න, නැත්නම් කුණුහරුපයක් කරන්න!"
"  Travailler sans souci de gloire ou de fortune,","රැකියාව කරන්න, ආඩම්බර වෙන්න එපා, ධනය ගන්න එපා."
"  A tel voyage, auquel on pense, dans la lune !",චන්ද් රයා වෙත යන ගමනක් ගැන හිතන තරම්.
