Scène 2.VIII.,Scenália 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, mladší, ktorí sa posadili vpravo a naľavo"
et auxquels on sert à boire et à manger.,a slúžia im na pitie a jedlo.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"CYRANO (zdraviť s chváľnou vôľou tých, ktorí sa neodvážia pozdraviť):"
  Messieurs. . .Messieurs. . .Messieurs. . .,"Pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia, pánovia,"
"LE BRET (désolé, redescendant, les bras au ciel):","BRET (sľut, spúšťanie, ruky do neba):"
  Ah ! dans quels jolis draps.,V tých krásnych plášťach.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, ty, budeš kŕčať!"
LE BRET:,- A čo to znamená?
"  Enfin, tu conviendras","A nakoniec, budeš mať pravdu."
"  Qu'assassiner toujours la chance passagère,","Že zabíjaš vždy krátky čas,"
  Devient exagéré.,Je to príliš.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","No, áno, to je príliš."
LE BRET (triomphant):,BRET (víťaz):
  Ah !,"- Áno, áno."
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Ale pre princíp, a pre príklad,"
  Je trouve qu'il est bon d'exagérer ainsi.,"Myslím, že je dobré tak preháňať."
LE BRET:,- A čo to znamená?
"  Si tu laissais un peu ton âme mousquetaire,","Ak by si trochu nechal svoju musketovú dušu,"
  La fortune et la gloire. . .,Bohatosť a sláva. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,A čo by sme mali urobiť?
"  Chercher un protecteur puissant, prendre un patron,","Hľadať silného ochrancu, si vybrať šéfa,"
  Et comme un lierre obscur qui circonvient un tronc,"Ako tmavé líno, ktoré obklopuje trupu"
"  Et s'en fait un tuteur en lui léchant l'écorce,","A robí si z neho chráňa, ako ho liza škrob,"
  Grimper par ruse au lieu de s'élever par force ?,"Vystúpiť nahor, namiesto toho, aby ste sa vystupovali?"
"  Non, merci. Dédier, comme tous il le font,","Nie, ďakujem, ale oddať sa, ako všetci,"
  Des vers aux financiers ? se changer en bouffon,"Od červov do finančných, sa premeniť na šlapca."
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","V ponížnej nádeji vidieť, na ústach ministra,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Vzniknúť úsmev, ktorý nie je zlý?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Ne, ďakujem, ale obedať si každý deň žabák?"
  Avoir un ventre usé par la marche ? une peau,"Keď sa chodia, že sa opotrebovali, že sa ich koža opotrebovala."
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Kto sa najrýchlejšie stane špinavým, než kolená?"
  Exécuter des tours de souplesse dorsale ?. . .,Spravovať flexibilitu chrbta? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Nie, vďaka, len jednu ruku, aby si chladila kozu do krku."
"  Cependant que, de l'autre, on arrose le chou,","Ale keď sa dá na druhú vodu,"
"  Et, donneur de séné par désir de rhubarbe,","A čo sa chcela obliecť,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Stále mať svoj kadidlo v nejakom brade?
"  Non, merci ! Se pousser de giron en giron,","Nie, ďakujem, ale to je to, čo sa rozvíja."
"  Devenir un petit grand homme dans un rond,","Stať sa malý veľký muž v kruhu,"
"  Et naviguer, avec des madrigaux pour rames,","A plavby, s nádrgovami pre nádrže,"
  Et dans ses voiles des soupirs de vieilles dames ?,A v jeho závesoch sú staré dámske súrky?
"  Non, merci ! Chez le bon éditeur de Sercy","Nie, vďaka, ale u správneho vydavateľa Sercyho."
"  Faire éditer ses vers en payant ? Non, merci !",- Aby si si vydaval svoje vermy za zaplatenie?
  S'aller faire nommer pape par les conciles,Prejsť na pontifikáciu na koncilách
  Que dans des cabarets tiennent des imbéciles ?,Že v kabátách sú hlupáci?
"  Non, merci ! Travailler à se construire un nom","Nie, vďaka, pracujem na tom, aby som si vytvoril meno."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Na jednej zvoni, namiesto toho, aby sme si ich vytvorili iné?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,- A talent sa objaví len v kúpeľoch?
"  Être terrorisé par de vagues gazettes,","Blázniť sa vlnami novín,"
"  Et se dire sans cesse: Oh, pourvu que je sois","A stále si hovorím: ""Ach, ak by som bol"
  Dans les petits papiers du Mercure François ?. . .,V malých papieroch Merkur Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Nie, vďaka, ale počítať, byť vydesený, byť bláznivý,"
"  Aimer mieux faire une visite qu'un poème,","Radšej navštíviť ako básničku,"
"  Rédiger des placets, se faire présenter ?","Napísať listy, predstaviť sa?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Nie, ďakujem, ďakujem, ďakujem, ale... spievať,"
"  Rêver, rire, passer, être seul, être libre,","Snívať, smiať sa, prechádzať, byť sám, byť slobodný,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Mať oči, ktoré dobre vidia, hlas, ktorý sa třpi,"
