Scène 2.VIII.,Scenarij 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, mlajšimi, ki so se sedeli na desni in levi"
et auxquels on sert à boire et à manger.,in jim je treba dati hrano in pijačo.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"CYRANO (z goguenardnim pozdravom, ki so prišli ven, ne da bi se pogovarjali):"
  Messieurs. . .Messieurs. . .Messieurs. . .,"Gospodje, gospodje, gospodje, gospodje."
"LE BRET (désolé, redescendant, les bras au ciel):","BRET (sramotno, dol, roke v nebesih):"
  Ah ! dans quels jolis draps.,V čudovitih odejah.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, ti, ti boš grkal!"
LE BRET:,-Prav. -Prav.
"  Enfin, tu conviendras",Končno boš pristala.
"  Qu'assassiner toujours la chance passagère,","Da vedno ubiješ prehodno srečo,"
  Devient exagéré.,Preveč je.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","-Ja, preveč sem."
LE BRET (triomphant):,ZMORJEV:
  Ah !,-Prav tako.
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Toda za načelo in tudi za primer,"
  Je trouve qu'il est bon d'exagérer ainsi.,"Mislim, da je dobro, če se tako pretiravamo."
LE BRET:,-Prav. -Prav.
"  Si tu laissais un peu ton âme mousquetaire,","Če bi pustila svojo musketirno dušo,"
  La fortune et la gloire. . .,Bogatje in slava. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Kaj pa bi morali storiti?
"  Chercher un protecteur puissant, prendre un patron,","Poišči močnega zaščitnika, vzemi šefa,"
  Et comme un lierre obscur qui circonvient un tronc,"Kot temna liša, ki obkroža vrv."
"  Et s'en fait un tuteur en lui léchant l'écorce,","In se je postavil za skrbnika, ki ga je lizal s kožo,"
  Grimper par ruse au lieu de s'élever par force ?,Ali se lahko povzdignete z okretnostjo namesto z močjo?
"  Non, merci. Dédier, comme tous il le font,","Ne, hvala. -Dedicirati se, kot vsi."
  Des vers aux financiers ? se changer en bouffon,"Od črv do finančnega, da se spremeni v buffana."
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","V ponižni upanju, da bo videl, na ustnicah ministra,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Vsaj nasmehniti se, če nisi grozen."
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Ne, hvala. -Jedite vsak dan s žrebcem?"
  Avoir un ventre usé par la marche ? une peau,Da bi bil trebuh opustošen s hodiščem?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Kdo najhitreje postane umazan, namesto kolena?"
  Exécuter des tours de souplesse dorsale ?. . .,Ali lahko opravite krmiljenje hrbta? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Ne, hvala, samo eno roko, da bi se lepilo kozlu v vratu."
"  Cependant que, de l'autre, on arrose le chou,","Če pa se še ena od njih napije kave,"
"  Et, donneur de séné par désir de rhubarbe,","in ki se je v želji po bradavici razkril,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Da ima svoj kadilnik v svoji bradi?
"  Non, merci ! Se pousser de giron en giron,","Ne, hvala, da se premikajo."
"  Devenir un petit grand homme dans un rond,","Postati majhen veliki človek v krogu,"
"  Et naviguer, avec des madrigaux pour rames,","in plovila z drakami za rame,"
  Et dans ses voiles des soupirs de vieilles dames ?,In v njegovih žabljih so starše?
"  Non, merci ! Chez le bon éditeur de Sercy","Ne, hvala, v pravi urednik Sercyja."
"  Faire éditer ses vers en payant ? Non, merci !","Ali naj ti pošljejo črke, če plačaš?"
  S'aller faire nommer pape par les conciles,Da bi se papež izbral na svetovalnih konciljih
  Que dans des cabarets tiennent des imbéciles ?,Da v kabarih imajo neumneži?
"  Non, merci ! Travailler à se construire un nom","Ne, hvala, delaj si, da si ustvarjaš ime."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Na sonnet, namesto da bi ga posneli na drugi?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Hvala, saj si lahko izkusiš talent le v župnih?"
"  Être terrorisé par de vagues gazettes,","Da bi bili prestrašeni z valnimi novinami,"
"  Et se dire sans cesse: Oh, pourvu que je sois","In vedno si govorim: ""Oh, če bi bil"
  Dans les petits papiers du Mercure François ?. . .,V papirjih Merkur Frančišek? ...
"  Non, merci ! Calculer, avoir peur, être blême,","Ne, hvala, izračunati, biti prestrašeni, biti bleščeči,"
"  Aimer mieux faire une visite qu'un poème,","Rad bi obiskal, kot pesem."
"  Rédiger des placets, se faire présenter ?","Napisati plakate, se predstaviti?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Ne, hvala, hvala, hvala, hvala, hvala, ampak..."
