Scène 2.VIII.,Vaaiga 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, o talavou, o ē na nonofo i le itu taumatau ma le itu tauagavale"
et auxquels on sert à boire et à manger.,ma 'ua 'a'ai ma inu i ai.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (o loo ia faafeiloaʻi ma le faaaloalo i ē e ō atu e aunoa ma le lototele e faafeiloaʻi atu iā te ia):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e, Alii e,"
"LE BRET (désolé, redescendant, les bras au ciel):","O LE TALA (faanoanoa, toe afio ifo, lima i le lagi):"
  Ah ! dans quels jolis draps.,O se mea manaia tele.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,O le a e tagi!
LE BRET:,O LE TALA:
"  Enfin, tu conviendras",E te taliaina le mea na tupu.
"  Qu'assassiner toujours la chance passagère,","O le fasioti tagata o le taimi nei,"
  Devient exagéré.,Ua avea ma se mea e sili ona tele.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Ioe, o le a ou faʻaumatia!"
LE BRET (triomphant):,O LE TUSI (O le manumalo):
  Ah !,O le a le mea?
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Ae mo le mataupu faavae, ma mo le faataitaiga foi,"
  Je trouve qu'il est bon d'exagérer ainsi.,Ou te manatu e lelei le faʻaopoopoina o le manatu.
LE BRET:,O LE TALA:
"  Si tu laissais un peu ton âme mousquetaire,","Afai e te tuu se vaega o lou agaga e pei o se mea e te manao ai,"
  La fortune et la gloire. . .,O le ʻoa ma le mamalu . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,O le ā le mea e tatau ona fai?
"  Chercher un protecteur puissant, prendre un patron,","Ia maua se tagata malosi e puipuia ai, ia maua se pule,"
  Et comme un lierre obscur qui circonvient un tronc,E pei o se laʻau pogisa e siʻomia ai se laʻau
"  Et s'en fait un tuteur en lui léchant l'écorce,","Ma ua ia faia o ia lava ma leoleo, ma ua ia liusua i lona paʻu,"
  Grimper par ruse au lieu de s'élever par force ?,E te manaʻo e aʻea i luga i le auala e te alu ai nai lo o le aʻea i luga i le malosi?
"  Non, merci. Dédier, comme tous il le font,","E pei ona faia e tagata uma,"
  Des vers aux financiers ? se changer en bouffon,Mai le 'aufaigaluega tau tupe i le 'aufaigaluega tau tupe
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","O le faamoemoe faatauvaa e vaai, i le laugutu o se faifeau,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",E faapefea ona e maua se ataata e lē o se mea e leaga?
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",E te 'ai se meaʻai i le aoauli i aso uma?
  Avoir un ventre usé par la marche ? une peau,O le a le mea e te manaʻo ai e te alu ese mai le manava?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",O ai e sili atu ona vave ona pala nai lo o ona tulivae?
