Scène 2.VIII.,Chiitiko 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, vaduku, vakagara kurudyi nekuruboshwe"
et auxquels on sert à boire et à manger.,Uye vanoshandiswa kudya nokunwa.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (achirumbidza vaya vanobuda vasina kuedza kumukwazisa nemufaro):
  Messieurs. . .Messieurs. . .Messieurs. . .,Vazhinji ... Vazhinji ... Vazhinji ... Vazhinji ...
"LE BRET (désolé, redescendant, les bras au ciel):","THE BRET (vanosuruvara, kudzokera, maoko kudenga):"
  Ah ! dans quels jolis draps.,Ah! mune machira akanaka sei.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Iwe, uchaita kunge uchigunun'una!"
LE BRET:,KUSVIRA:
"  Enfin, tu conviendras","Pakupedzisira, uchava wakanaka"
"  Qu'assassiner toujours la chance passagère,","Kuti nguva dzose kuuraya rombo kupfuurira,"
  Devient exagéré.,Kuwedzera.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Chokwadi, ndinenge ndichipfuura!"
LE BRET (triomphant):,BREET (anokunda):
  Ah !,Ah!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Asi nokuda kwenyaya, uyewo nokuda kwomuenzaniso,"
  Je trouve qu'il est bon d'exagérer ainsi.,Ndinofunga kuti zvakanaka kuti munhu anyatsotaura mashoko akawandisa kudaro.
LE BRET:,KUSVIRA:
"  Si tu laissais un peu ton âme mousquetaire,","Kana ukarega mweya wako uchinetseka,"
  La fortune et la gloire. . .,Pfuma Nebwamanda . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Saka chii chaizoitwa?
"  Chercher un protecteur puissant, prendre un patron,","Kutsvaka mudziviriri ane simba, kutora mukuru,"
  Et comme un lierre obscur qui circonvient un tronc,Uye sezvinoita tsanga dzakasviba dzakapoteredza tsanga
"  Et s'en fait un tuteur en lui léchant l'écorce,","Anogadzira muridzi waro, achimedza ganda rake,"
  Grimper par ruse au lieu de s'élever par force ?,Kukwira uchinyengera pane kukwira nesimba here?
"  Non, merci. Dédier, comme tous il le font,","Kwete, ndatenda."
  Des vers aux financiers ? se changer en bouffon,Kubva kuDongoro kuenda kuDongoro
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Ndiine tariro yakaipa yokuona, mumiromo yemuranda,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Kuita kuti munhu anyemwerere, kunyange zvazvo asina kusuruvara?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",Kudya kwemanheru zuva nezuva kunobva kune imwe tsoko here?
  Avoir un ventre usé par la marche ? une peau,Kuva nedumbu rakapera nekufamba?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Ndiani anokurumidza kusviba panzvimbo pemabvi?
  Exécuter des tours de souplesse dorsale ?. . .,Kuita kuti musana wako ushande zvakanaka? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Kwete, ndatenda, asi handisi kuzorora mbudzi"
"  Cependant que, de l'autre, on arrose le chou,","Asi kana mumwe munhu akaisa kapisi mumvura,"
"  Et, donneur de séné par désir de rhubarbe,","Uye anopa mazamu nokuda kwokuchiva kwebhuruu,"
"  Avoir son encensoir, toujours, dans quelque barbe ?","Kuva nechinhu chake chinopisa chinopisa, nguva dzose, mumudziyo upi noupi?"
"  Non, merci ! Se pousser de giron en giron,","Kwete, ndatenda."
