Scène 2.VIII.,منظر 2. VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche",Cyrano، Le Bret، ننڍي عمر وارا، جيڪي ساڄي ۽ کاٻي پاسي ويٺا
et auxquels on sert à boire et à manger.,۽ اُنھن کي کائڻ پيئڻ ۽ پيئڻ لاءِ (پڻ) ڏنا ويا آھن.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,سائرو (جيڪي ٻاهر نڪرندا هئا پر هن کي سلام ڪرڻ جي جرئت نه ڪندا هئا)
  Messieurs. . .Messieurs. . .Messieurs. . .,حضرات حضرات حضرات حضرات حضرات حضرات حضرات
"LE BRET (désolé, redescendant, les bras au ciel):","(SOLLY, نازل, آسمان ۾ هٿن سان):"
  Ah ! dans quels jolis draps.,اوه، ڪهڙا خوبصورت ڪپڙا.
CYRANO:,سائرو:
  Oh ! toi ! tu vas grogner !,اوهين، توهان کي گجگوڙ ڪرڻ گهرجي.
LE BRET:,"""ڇا ٿيو؟"""
"  Enfin, tu conviendras",آخرڪار، تون ٺيڪ آهين
"  Qu'assassiner toujours la chance passagère,",هميشه هميشه هڪ مختصر موقعو قتل ڪرڻ،
  Devient exagéré.,اهو تمام گهڻو آهي.
CYRANO:,سائرو:
"  Hé bien oui, j'exagère !",ها، مان حد کان وڌي رهيو آهيان.
LE BRET (triomphant):,(سيدفرمان علي)
  Ah !,آه !
CYRANO:,سائرو:
"  Mais pour le principe, et pour l'exemple aussi,",پر اصول لاءِ، مثال لاءِ به،
  Je trouve qu'il est bon d'exagérer ainsi.,مون کي اهو خيال آهي ته اهو بهتر آهي ته اسان کي وڌيڪ ڳالهائڻ گهرجي.
LE BRET:,"""ڇا ٿيو؟"""
"  Si tu laissais un peu ton âme mousquetaire,",جيڪڏھن تون پنھنجي روح کي ٿورو مُسڪائي ڇڏين،
  La fortune et la gloire. . .,دولت ۽ شان. . .
CYRANO:,سائرو:
  Et que faudrait-il faire ?,پوءِ ڇا ڪجي؟
"  Chercher un protecteur puissant, prendre un patron,",هڪ طاقتور محافظ ڳولڻ، هڪ سرپرست حاصل ڪرڻ،
  Et comme un lierre obscur qui circonvient un tronc,۽ ڄڻ ته ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙهو ڳاڙ
"  Et s'en fait un tuteur en lui léchant l'écorce,",۽ ان کي پاليندڙ بڻائي ٿو ۽ ان جي پاڙ کي لڪي ٿو.
  Grimper par ruse au lieu de s'élever par force ?,ڇا توهان کي پڪ آهي ته توهان پنهنجي طاقت سان چڙهڻ بدران چڙهڻ لاءِ چڙهڻ گهرجي؟
"  Non, merci. Dédier, comme tous il le font,",نه، شڪر، وقف، جيئن سڀ ماڻهو ڪندا آهن،
  Des vers aux financiers ? se changer en bouffon,مالڪن کان وٺي مالڪن تائين؟
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","""توهان جو ڪو به وزير نه آهي، پر مون کي ڏسڻ لاءِ ڪو به اميد نه آهي."
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",ڇا اهو نه آهي ته هڪ مسڪراهٽ پيدا ڪجي؟
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه،
  Avoir un ventre usé par la marche ? une peau,هلڻ سان پيٽ ڦاٽي ويندو آهي؟
"  Qui plus vite, à l'endroit des genoux, devient sale ?",ڪير جلدي جلدي ڦاٿل ٿي ويندو، جتي سندس پيرن کي ڦاٿل هوندو آهي؟
  Exécuter des tours de souplesse dorsale ?. . .,ڇا توهان کي پنهنجي پوئتي پٺتي لچڪ واري ٽور کي هلڻ گهرجي؟ . . .
"  Non, merci. D'une main flatter la chèvre au cou",نه، شڪر، هڪ هٿ سان گابي کي ڳچيءَ ۾ ملائڻ
"  Cependant que, de l'autre, on arrose le chou,",پر جڏهن ٻئي پاسي کان ڪولهه پاڻي پيئندو آهي ته
"  Et, donneur de séné par désir de rhubarbe,",۽ (اُھو) سِرُ (جي سُرُ) کي سِرُ (سِرُ) ڪري ٿو.
"  Avoir son encensoir, toujours, dans quelque barbe ?",ڇا اهو هميشه ڪنهن جي ڏاڙهي ۾ ان جي انبار کي رکڻ آهي؟
"  Non, merci ! Se pousser de giron en giron,",نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه،
"  Devenir un petit grand homme dans un rond,",هڪڙي ننڍڙي وڏي انسان ۾ تبديل ٿيڻ،
"  Et naviguer, avec des madrigaux pour rames,",۽ ٻيڙيءَ ۾ گھڙندا آھن، ۽ ريمن لاءِ جھاز آھن.
  Et dans ses voiles des soupirs de vieilles dames ?,۽ هن جي سيلن ۾ پراڻن عورتن جا سُر آهن؟
"  Non, merci ! Chez le bon éditeur de Sercy",نه، مهرباني ڪري، سرسي جي صحيح ايڊيٽر وٽ.
"  Faire éditer ses vers en payant ? Non, merci !",ادائيگي جي ڪري هن جي ورمن کي ايڊٽ ڪرڻ؟ نه، مهرباني!
  S'aller faire nommer pape par les conciles,پوپ جي نالي تي ڪائونسلن جي چونڊ
  Que dans des cabarets tiennent des imbéciles ?,ڇا ڪو به بيوقوف ڪئبرن ۾ بيهي ٿو؟
"  Non, merci ! Travailler à se construire un nom",نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه،
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",هڪڙي سوني تي، ٻين کي بجائڻ جي بجاءِ؟
  Merci ! Ne découvrir du talent qu'aux mazettes ?,شڪر، ڇا توهان کي رڳو مڇرن ۾ ئي ڏات ملي سگهي ٿي؟
"  Être terrorisé par de vagues gazettes,",اخبارن جي لعلن کان خوفزده ٿيڻ،
"  Et se dire sans cesse: Oh, pourvu que je sois","۽ پاڻ کي چوندو هو ته، ""ڇا آءٌ ائين نه ٿي سگهان."
