Scène 2.VIII.,Muuqaal 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, dhalinyarada, oo fadhiistay midig iyo bidix"
et auxquels on sert à boire et à manger.,Waxaana loo adeegi wax la cuno oo la cabo.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (oo si caqli badan u salaamay dadka ka soo baxa oo aan u dhicin inay salaamaan):
  Messieurs. . .Messieurs. . .Messieurs. . .,Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane Mudane
"LE BRET (désolé, redescendant, les bras au ciel):","DHAGGAYSIIN (xun, hoos u dhaca, gacmaha samada):"
  Ah ! dans quels jolis draps.,Waa dhar qurux badan.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,Waxaad ku qaniineysaa.
LE BRET:,Waa la soo sheegay.
"  Enfin, tu conviendras",Ugu dambeyntii waad ku habboon tahay
"  Qu'assassiner toujours la chance passagère,",Si aan ugu dilo nasiibka meel-dheer.
  Devient exagéré.,Waa wax aad u badan.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Haa, waa wax aan ku xadgudbay!"
LE BRET (triomphant):,(Qofkii guulaystay)
  Ah !,Waa wax aan la yaabin.
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,",laakiin mabaadiida iyo tusaalaha
  Je trouve qu'il est bon d'exagérer ainsi.,Waxaan u maleynayaa inay wanaagsan tahay in aad wax badan u xad gudubtid.
LE BRET:,Waa la soo sheegay.
"  Si tu laissais un peu ton âme mousquetaire,",Haddaad ka tagtid naftaada wax yar oo laabta ku jira.
  La fortune et la gloire. . .,Xoolo iyo sharaf . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Maxaa la sameeyaa?
"  Chercher un protecteur puissant, prendre un patron,","Raadinta Ilaaliye Xoog badan, Qaadashada Maamulaha,"
  Et comme un lierre obscur qui circonvient un tronc,Iyo sida Dabool mugdi ah oo ku wareegsan Geed.
"  Et s'en fait un tuteur en lui léchant l'écorce,",Wuxuuna ka Yeeshay Xiddig isagoo Cunnadiisa Jeexjeexaya.
  Grimper par ruse au lieu de s'élever par force ?,Ma waxaad u kacdaa si aad u kacdo halkii aad u kacdo si aad u kacdo?
"  Non, merci. Dédier, comme tous il le font,","Mahadsanid, waxaan u heellan nahay sida dadka kale"
  Des vers aux financiers ? se changer en bouffon,"Dhalinyaro ka soo jeeda dhaqaalaha, oo noqota kuwo aan waxtar lahayn"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Waxaan rajaynayaa inaan arko, anoo ah wasiir,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Ma aha in la dhasho qosol, marka laga reebo mid aan xunayn?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",Maalin kasta ma cuntaa qaniinyada?
  Avoir un ventre usé par la marche ? une peau,"In caloosha la isticmaalo socodka, maqaarka"
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Yaa ugu dhaqsiyaha badan dhaca jilbaha?
  Exécuter des tours de souplesse dorsale ?. . .,Ku dhaqmaan isbeddellada dhabarka? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Maya, mahadsanid, gacmo la taaban karo oo qoorta la taaban karo"
"  Cependant que, de l'autre, on arrose le chou,",Marka laga reebo marka laga waraabiyo kale.
"  Et, donneur de séné par désir de rhubarbe,",Iyo kuwa la dhaawaco oo la dhaawaco.
"  Avoir son encensoir, toujours, dans quelque barbe ?",Had iyo jeer in uu fooxdiisa ku hayaa gadhka?
"  Non, merci ! Se pousser de giron en giron,","Mahadsanid, waxaan ku dadaalay inaan ku korno."
"  Devenir un petit grand homme dans un rond,","In aad noqoto nin weyn oo yar oo wareega ah,"
"  Et naviguer, avec des madrigaux pour rames,",Iyo inay ku socdaan doonnida (oo la socdaan) xamuul.
