Scène 2.VIII.,Setšoantšo sa 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, bacha, ba ileng ba lula ka ho le letona le ka ho le letšehali"
et auxquels on sert à boire et à manger.,'Me ba sebeletsa ho noa le ho ja.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (o lumelisa ka moea o mobe ba tsoang kantle ba sa iteta sefuba ho mo lumelisa):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna, banna,"
"LE BRET (désolé, redescendant, les bras au ciel):","THE (ho sareloa, theoha, matsoho leholimong):"
  Ah ! dans quels jolis draps.,Ke liaparo tse ntle hakaakang!
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,U tla lla!
LE BRET:,SEBELE:
"  Enfin, tu conviendras",Qetellong u tla lumellana le seo
"  Qu'assassiner toujours la chance passagère,","Ho bolaea lehlohonolo la nakoana,"
  Devient exagéré.,Ho feteletsa lintho.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !",Ke nahana hore ho feteletsa lintho.
LE BRET (triomphant):,SEBOLELO (se hlōlang):
  Ah !,Ho lokile.
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Empa ka molao-motheo, le mohlala hape,"
  Je trouve qu'il est bon d'exagérer ainsi.,Ke nahana hore ho feteletsa lintho ka tsela eo ho molemo.
LE BRET:,SEBELE:
"  Si tu laissais un peu ton âme mousquetaire,","Haeba u ka tlohela moea oa hao o sa bonahaleng,"
  La fortune et la gloire. . .,Maruo le Botumo . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,"Joale, ho thoe'ng ka seo?"
"  Chercher un protecteur puissant, prendre un patron,","Ho batla mosireletsi ea matla, ho nka mookameli,"
  Et comme un lierre obscur qui circonvient un tronc,'Me e tla ba joaloka lehlaka le lefifi le pota-potileng sefate sa morara
"  Et s'en fait un tuteur en lui léchant l'écorce,","'Me o etsa hore e be mohlokomeli oa hae, 'me o silakanya letlalo la eona,"
  Grimper par ruse au lieu de s'élever par force ?,Na u ka hloa ka bolotsana ho e-na le ho hloa ka matla?
"  Non, merci. Dédier, comme tous il le font,",Ha ho na motho ea ka etsang joalo.
  Des vers aux financiers ? se changer en bouffon,Ho tloha ho liboko ho ea ho li-finance ho ea ho li-buff
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Ka tšepo e nyonyehang ea ho bona, molomong oa mosebeletsi,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",Ho ba le pososelo e sa hlabang?
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",Na ke ne ke tla ja lijo tsa motšehare ka letsatsi ka mokopu?
  Avoir un ventre usé par la marche ? une peau,Ho ba le mpa e senyehileng ha u tsamaea?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Ke mang ea tla ba litšila kapele ho feta mang kapa mang?
  Exécuter des tours de souplesse dorsale ?. . .,Ho etsa li-spine tse tenyetsehang? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Ke leboha, ke tla u joetsa hore na u ka etsa'ng."
"  Cependant que, de l'autre, on arrose le chou,","Leha ho le joalo, ho tloha ho e 'ngoe, re nosetsa k'habeche,"
"  Et, donneur de séné par désir de rhubarbe,","'Me o ne a tla ba le li-sneakers ka takatso ea hae ea ho ba le li-ruby,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Na o ne a tla lula a e-na le sehalalelo sa hae ka litelu?
"  Non, merci ! Se pousser de giron en giron,","Ha ho joalo, kea leboha."
"  Devenir un petit grand homme dans un rond,","Ho ba monna e moholo e monyenyane ka potoloho,"
"  Et naviguer, avec des madrigaux pour rames,","Le ho tsamaea ka sekepe, ka likoloi tsa sekepe,"
  Et dans ses voiles des soupirs de vieilles dames ?,Le liaparo tsa hae tse nang le liaparo tse tsofetseng li ntse li lla?
"  Non, merci ! Chez le bon éditeur de Sercy","Che, kea leboha, ke ea ho Sercy e ntle."
"  Faire éditer ses vers en payant ? Non, merci !",Na ke lokela ho lefa ka ho etsa hore batho ba ngolle litemana tsa hae?
  S'aller faire nommer pape par les conciles,Ho Ikemisetsa ho Khethoa Mopapa ke Likopano
  Que dans des cabarets tiennent des imbéciles ?,Na ho na le batho ba hlokang kelello ba lulang ka likamoreng tsa bolulo?
"  Non, merci ! Travailler à se construire un nom",Ke ne ke batla ho tsebahala.
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",Na ke tla etsa hore ho be le molumo o mong oa molumo oa 'mino ho e-na le ho etsa tse ling?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Na u ka fumana talenta feela ka har'a mapolanka?
"  Être terrorisé par de vagues gazettes,","Ho tšoha ke likoranta tse sa bonahaleng,"
"  Et se dire sans cesse: Oh, pourvu que je sois","'Me u lula u re, 'Oh, haeba ke ne ke le"
  Dans les petits papiers du Mercure François ?. . .,Ka har'a lipampiri tse nyenyane tsa Mercury Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Ho bala, ho tšaba, ho ba le maikutlo a fosahetseng,"
"  Aimer mieux faire une visite qu'un poème,","Ho rata ho etela ho feta thothokiso,"
"  Rédiger des placets, se faire présenter ?","Na ke lokela ho ngola li-plate, ke itsebise?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Che, kea leboha, che, kea leboha, empa ..."
"  Rêver, rire, passer, être seul, être libre,","Ho lora, ho tšeha, ho feta, ho ba mong, ho lokoloha,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Ho ba le leihlo le bonang hantle, lentsoe le thothomelang,"
"  Mettre, quand il vous plaît, son feutre de travers,","Ho beha, ha u rata, maikutlo a hae ka tsela e fosahetseng,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Ho ea ka e, ho ea ka che, ho loana, - kapa ho etsa sebōkō!"
"  Travailler sans souci de gloire ou de fortune,","Ho sebetsa ntle le ho batla khanya kapa maruo,"
"  A tel voyage, auquel on pense, dans la lune !","Leeto le kang leo re ka nahanang ka lona, la ho ea khoeling!"
"  N'écrire jamais rien qui de soi ne sortît,","Le ka mohla u se ke ua ngola ntho e sa hlaheng ho uena,"
"  Et modeste d'ailleurs, se dire: mon petit,","'Me ka tsela e itseng, ka boikokobetso, o re: 'Mohlankana oa ka,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","U ka khotsofalla lipalesa, litholoana, esita le makhasi,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Haeba u ka li bokella serapeng sa hao!
"  Puis, s'il advient d'un peu triompher, par hasard,","'Me haeba a ka hlōla hanyenyane,"
"  Ne pas être obligé d'en rien rendre à César,","""Ha ho letho leo nka le fang Sesare,"
"  Vis-à-vis de soi-même en garder le mérite,","Ho ipha tlotla ea ho ba le eona,"
"  Bref, dédaignant d'être le lierre parasite,","Ka bokhutšoanyane, ho nyelisa ho ba li-lierre tse senyang,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Esita le haeba re se sefate sa palema kapa sefate sa morara,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Mohlomong ha u nyolohele holimo, empa u tla tsamaea u le mong!"
LE BRET:,SEBELE:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Ke 'na feela, empa eseng bohle!"
  As-tu donc contracté la manie effroyable,Na u na le lefu la kelello le tšabehang?
"  De te faire toujours, partout, des ennemis ?",Na u batla ho etsa lira hohle?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,",Ke ne ke tla etsa metsoalle ea hao ka lebaka la ho bona u etsa metsoalle ea hao.
"  Et rire à ces amis dont vous avez des foules,","'Me u tšehe metsoalle eo u nang le eona matšoele,"
  D'une bouche empruntée au derrière des poules !,Ka molomo o nkiloeng ka morao ho likhoho!
"  J'aime raréfier sur mes pas les saluts,","Ke rata ho lumelisa batho ba bang ka maoto,"
  Et m'écrie avec joie: un ennemi de plus !,'Me u hoeletsa ho' na ka thabo: Sera se seng!
LE BRET:,SEBELE:
  Quelle aberration !,Ke ntho e sa tloaelehang hakaakang!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","E, e, ke eona ntho eo ke e ratang."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Ke thabela ho ba le bana ba banyenyane, 'me ke rata ho hlooa."
"  Mon cher, si tu savais comme l'on marche mieux","Moratuoa oa ka, haeba u ne u tseba ho tsamaea hantle"
  Sous la pistolétade excitante des yeux !,Ka tlas'a mahlo a hlollang a sethunya!
"  Comme, sur les pourpoints, font d'amusantes taches","Joalo ka ha, ka lintlha, etsa litsila tse qaqileng"
  Le fiel des envieux et la bave des lâches !,Ho bola ha ba boulelang le ho bola ha ba tšabehang!
"  --Vous, la molle amitié dont vous vous entourez,","Uena motsoalle ea bonolo ea u pota-potileng,"
"  Ressemble à ces grands cols d'Italie, ajourés","E shebahala joaloka li-collars tse kholo tsa Italy, tse chechisitsoeng"
"  Et flottants, dans lesquels votre cou s'effémine:","'Me li sesa, tseo molala oa hao o tšabang ho tsona:"
"  On y est plus à l'aise. . .et de moins haute mine,","Re phutholohile haholoanyane. . . . 'Me re le boemong bo tlaase,"
"  Car le front n'ayant pas de maintien ni de loi,","Hobane sefahleho se se na molao kapa molao,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",O ne a sa batle ho shebahala ka tsela e 'ngoe le e 'ngoe.
"  La Haine, chaque jour, me tuyaute et m'apprête",Lehloeo le Ntšoaea Letsatsi le Letsatsi
  La fraise dont l'empois force à lever la tête;,Sefate sa fragole se nang le chefo se qobellang hlooho ho phahamisa hlooho;
  Chaque ennemi de plus est un nouveau godron,Sera se seng le se seng se eketsehileng ke se senyenyane
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","O eketsa ho hlonama ho 'na, o eketsa ho phatloha ho' na."
"  Car, pareille en tous points à la fraise espagnole,","Hobane, ka litsela tsohle, joaloka fraise ea Spain,"
"  La Haine est un carcan, mais c'est une auréole !","Lehloeo ke phoofolo ea phoofolo, empa ke lehalima!"
"LE BRET (après un silence, passant son bras sous le sien):","THE BREET (ka mor'a hore a khutse, fetisa letsoho la hae tlas'a hae):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Etsa hore boikhohomoso bo phahame 'me bo halefe, empa bo theohe"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Mpolelle feela hore ha a u rate!
CYRANO (vivement):,CYRANO (ea phelang):
  Tais-toi !,Khutsa!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Ka mor'a nakoana, Christian o ile a kena, a kena-kenana le bacha; ba"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,ha ba bue le eena; o ile a qetella a lula a le mong ho e mong
