Scène 2.VIII.,Escenas 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, los jóvenes, que se sentaron a la derecha y a la izquierda"
et auxquels on sert à boire et à manger.,y se les sirve para comer y beber.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (saludando con un aire de googly a quienes salen sin atreverse a saludarlo):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Caballeros, Caballeros, Caballeros, Caballeros, Caballeros y Caballeros, y todos los demás."
"LE BRET (désolé, redescendant, les bras au ciel):","EL BRET (sorry, descendiendo, brazos hacia el cielo):"
  Ah ! dans quels jolis draps.,¡Ah! ¡En qué lindas sábanas!
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"¡Oh, tú, vas a gritar!"
LE BRET:,El hombre:
"  Enfin, tu conviendras","Por fin, te conviene"
"  Qu'assassiner toujours la chance passagère,","Que siempre asesinar la suerte pasajera,"
  Devient exagéré.,Se está exagerando.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","¡Sí, estoy exagerando!"
LE BRET (triomphant):,El BRET (triunfante):
  Ah !,"¡Ah, qué bueno!"
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Pero para el principio, y para el ejemplo también,"
  Je trouve qu'il est bon d'exagérer ainsi.,Creo que es bueno exagerar así.
LE BRET:,El hombre:
"  Si tu laissais un peu ton âme mousquetaire,","Si dejara un poco tu alma mosqueta,"
  La fortune et la gloire. . .,La riqueza y la gloria. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,¿Y qué se debe hacer?
"  Chercher un protecteur puissant, prendre un patron,","Buscar un protector poderoso, tomar un jefe,"
  Et comme un lierre obscur qui circonvient un tronc,Y como un lirio oscuro que rodea un tronco
"  Et s'en fait un tuteur en lui léchant l'écorce,","Y se hace un tutor, le lleche la corteza,"
  Grimper par ruse au lieu de s'élever par force ?,¿Climar con la mano en vez de subir por la fuerza?
"  Non, merci. Dédier, comme tous il le font,","No, gracias, dedicar, como todos ellos hacen,"
  Des vers aux financiers ? se changer en bouffon,¿De gusanos a financieros?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Con la esperanza de ver, en la boca de un ministro,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","¿Nacer una sonrisa, después de todo, que no sea siniestro?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",¿Almuerzo con un sapo todos los días?
  Avoir un ventre usé par la marche ? une peau,¿Tener un vientre gastado por el camino?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",¿Quién se sale sucio más rápido que los rodillos?
  Exécuter des tours de souplesse dorsale ?. . .,¿Correctar giros de flexibilidad de espalda? . . .
"  Non, merci. D'une main flatter la chèvre au cou","No, gracias, con una mano, el cabrito se lavanta en el cuello"
"  Cependant que, de l'autre, on arrose le chou,","Sin embargo, si de la otra se riego el repollo,"
"  Et, donneur de séné par désir de rhubarbe,","Y que se muere por el deseo de la barba,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",¿Tener su incensador en alguna barba?
"  Non, merci ! Se pousser de giron en giron,","No, gracias, darse un giro a uno,"
"  Devenir un petit grand homme dans un rond,","Convertirse en un hombre pequeño y grande en un círculo,"
"  Et naviguer, avec des madrigaux pour rames,","Y navegar con madrigues para remas,"
  Et dans ses voiles des soupirs de vieilles dames ?,¿Y en sus velos los susurros de las viejas mujeres?
"  Non, merci ! Chez le bon éditeur de Sercy","No, gracias, en el buen editor de Sercy."
"  Faire éditer ses vers en payant ? Non, merci !",¿Pedirle a sus versos por pagar?
  S'aller faire nommer pape par les conciles,Ir a ser nombrado Papa por los conciles
  Que dans des cabarets tiennent des imbéciles ?,¿Que en los cabaretes hay idiotas?
"  Non, merci ! Travailler à se construire un nom",Trabajar para hacerse un nombre.
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","¿En un sonido, en lugar de hacer otros?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,¿Descubrir talento sólo en las mazmorras?
"  Être terrorisé par de vagues gazettes,","Estar aterrorizado por los periódicos ondulados,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Y siempre me digo: Oh, si yo fuera"
  Dans les petits papiers du Mercure François ?. . .,¿En los pequeños papeles de Francisco Mercurio? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","No, gracias, calcular, tener miedo, ser triste,"
"  Aimer mieux faire une visite qu'un poème,","Me gusta más hacer una visita que un poema,"
"  Rédiger des placets, se faire présenter ?","¿Ecribir platillos, presentarse?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","No, gracias, gracias, gracias, pero..."
"  Rêver, rire, passer, être seul, être libre,","Soñar, reír, pasar, estar solo, ser libre,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Tener un ojo que ve bien, una voz que vibra,"
"  Mettre, quand il vous plaît, son feutre de travers,","Poner, cuando quieras, su sentimiento de mal,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","¡Por un sí, por un no, pelear, o hacer un vermiento!"
"  Travailler sans souci de gloire ou de fortune,","Trabajar sin preocuparse por la gloria o la riqueza,"
"  A tel voyage, auquel on pense, dans la lune !","¡A un viaje que no se puede olvidar, a la luna!"
"  N'écrire jamais rien qui de soi ne sortît,","Nunca escribas nada que no salga de ti mismo,"
"  Et modeste d'ailleurs, se dire: mon petit,","Y modesto, por otra parte, dice: ""Mi pequeño,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Se puede contentar con flores, frutos, incluso hojas,"
  Si c'est dans ton jardin à toi que tu les cueilles !,¡Si es en tu jardín donde las recoges!
"  Puis, s'il advient d'un peu triompher, par hasard,","Luego, si llega a triunfar un poco, por casualidad,"
"  Ne pas être obligé d'en rien rendre à César,","No hay que pagar nada al César,"
"  Vis-à-vis de soi-même en garder le mérite,","Con respecto a sí mismo, mantener el mérito,"
"  Bref, dédaignant d'être le lierre parasite,","En resumen, despreciando ser el lierre parasito,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Aunque no seas el roble o el arboledo,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","No subir muy alto, quizás, pero solo!"
LE BRET:,El hombre:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Solo, pero no contra todos."
  As-tu donc contracté la manie effroyable,¿Así que has contraído la terrible manía
"  De te faire toujours, partout, des ennemis ?",¿Que siempre te hagas enemigos en todas partes?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Por ver cómo se hacen amigos,"
"  Et rire à ces amis dont vous avez des foules,","Y reírse de esos amigos que tienes en la multitud,"
  D'une bouche empruntée au derrière des poules !,¡Con una boca que se ha tomado de las gallinas!
"  J'aime raréfier sur mes pas les saluts,","Me gusta saludar a mis pies,"
  Et m'écrie avec joie: un ennemi de plus !,Y grita conmigo de alegría: ¡otro enemigo más!
LE BRET:,El hombre:
  Quelle aberration !,¡Qué aberración!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Bueno, sí, es mi vicio."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Me gusta que me odian.
"  Mon cher, si tu savais comme l'on marche mieux","Mi amor, si supieras cómo caminar mejor"
  Sous la pistolétade excitante des yeux !,¡Bajo el estadio de las armas de fuego de sus ojos!
"  Comme, sur les pourpoints, font d'amusantes taches","Como, en los puntos de vista, hacer manchas divertidas"
  Le fiel des envieux et la bave des lâches !,¡El vientre de los celosos y la boca de los cobardes!
"  --Vous, la molle amitié dont vous vous entourez,","- Tú, la suave amistad que te rodeas,"
"  Ressemble à ces grands cols d'Italie, ajourés","Se parece a esos grandes cuellos de Italia, pospuestos"
"  Et flottants, dans lesquels votre cou s'effémine:","Y flotantes, en las que tu cuello se desvanece:"
"  On y est plus à l'aise. . .et de moins haute mine,","Estamos más cómodos y de menor altura,"
"  Car le front n'ayant pas de maintien ni de loi,","Porque el frente no tiene reglas ni ley,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Se rinde a inclinarse hacia todos los sentidos.
"  La Haine, chaque jour, me tuyaute et m'apprête","El odio, cada día, me pega y me prepara"
  La fraise dont l'empois force à lever la tête;,La fresas que el veneno fuerza a levantar la cabeza;
  Chaque ennemi de plus est un nouveau godron,Cada enemigo más es un nuevo matron.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Que me añade la angustia y la luz,"
"  Car, pareille en tous points à la fraise espagnole,","Porque, como en todos los aspectos la fresas españolas,"
"  La Haine est un carcan, mais c'est une auréole !","¡El odio es un carcan, pero es un auréole!"
"LE BRET (après un silence, passant son bras sous le sien):","EL BRET (después de un silencio, pasando su brazo bajo su):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Haz lo orgulloso y amargo, pero, muy bajo"
  Dis-moi tout simplement qu'elle ne t'aime pas !,¡Simplemente dime que ella no te quiere!
CYRANO (vivement):,CYRANO (vivo):
  Tais-toi !,¡Cállate! ¡Qué haces!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Después de un momento, Christian entró, se metió con los jóvenes; estos"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"no le hablan, se sentó solo a una"
