Scène 2.VIII.,S'iscuta 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, sos minores, chi si sunt assentados a destra e a manca"
et auxquels on sert à boire et à manger.,e si li servent a si bìdere e a si mancare.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CIRANO (saludende cun un'àera de goguinardos sos chi sunt andende a sa parte e non si donant a sa gana de salude):
  Messieurs. . .Messieurs. . .Messieurs. . .,Sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores... sennores...sennores... sennores...sennores...sennores...sennores...sennores...sennores...sennores...sennores...sennores...sennores...sennores...senn
"LE BRET (désolé, redescendant, les bras au ciel):","Su BRET (s'implorat, torrat, sos brazos in su celu):"
  Ah ! dans quels jolis draps.,Ah! in cales sunt sas drapes bellas.
CYRANO:,CIRANO:
  Oh ! toi ! tu vas grogner !,"Oh, tue! Tu torras a grùere!"
LE BRET:,Su BROT:
"  Enfin, tu conviendras","In fines, bi diat èssere bene"
"  Qu'assassiner toujours la chance passagère,","chi assassine semper sa fortza passada,"
  Devient exagéré.,Est diventende esageradu.
CYRANO:,CIRANO:
"  Hé bien oui, j'exagère !","- Si, est beru, est una cosa de importu mannu."
LE BRET (triomphant):,Su BROT (triunfante):
  Ah !,"Ah, su chi est!"
CYRANO:,CIRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Ma pro su printzìpiu, e pro s'esèmpiu fintzas,"
  Je trouve qu'il est bon d'exagérer ainsi.,Penso chi siat bene a esagerare gasi.
LE BRET:,Su BROT:
"  Si tu laissais un peu ton âme mousquetaire,","Si lassas unu pagu s'anima tua moscheta,"
  La fortune et la gloire. . .,Sa fortuna e sa fama. . . .
CYRANO:,CIRANO:
  Et que faudrait-il faire ?,E ite diat dèpere fàghere?
"  Chercher un protecteur puissant, prendre un patron,","Pro chircare unu protetore potente, pro agatare unu patron,"
  Et comme un lierre obscur qui circonvient un tronc,E comente unu liore scuru chi at inghiriadu unu troncu
