Scène 2.VIII.,Сцена 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Сирано, Брет, млађи, који су седели десно и лево"
et auxquels on sert à boire et à manger.,И да им се служи пиће и храна.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,ЦИРАНО (поздрављавајући с гугуаринским ваздухом оне који изалазе без храбрости да га поздраве):
  Messieurs. . .Messieurs. . .Messieurs. . .,Господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа господа
"LE BRET (désolé, redescendant, les bras au ciel):","БРЕТ (опасно, спустити, руке у небо):"
  Ah ! dans quels jolis draps.,У том је лепо.
CYRANO:,Сирано:
  Oh ! toi ! tu vas grogner !,"О, ти, ти ћеш букати!"
LE BRET:,БРЕТ:
"  Enfin, tu conviendras","На крају, биће добро."
"  Qu'assassiner toujours la chance passagère,","Да увек убије пролазну срећу,"
  Devient exagéré.,Превишена је.
CYRANO:,Сирано:
"  Hé bien oui, j'exagère !","- Да, преувеличивам."
LE BRET (triomphant):,БРЕТ (победница):
  Ah !,"- Да, да."
CYRANO:,Сирано:
"  Mais pour le principe, et pour l'exemple aussi,","Али, у принципу, и у примеру,"
  Je trouve qu'il est bon d'exagérer ainsi.,Мислим да је добро тако преувеличити.
LE BRET:,БРЕТ:
"  Si tu laissais un peu ton âme mousquetaire,","Ако оставиш своју мускутску душу,"
  La fortune et la gloire. . .,Богатство и слава. . . .
CYRANO:,Сирано:
  Et que faudrait-il faire ?,И шта би требало да радимо?
"  Chercher un protecteur puissant, prendre un patron,","Да тражи моћног заштитника, да узме шефа,"
  Et comme un lierre obscur qui circonvient un tronc,И као мрачна лирка која окружује дневни кућ
"  Et s'en fait un tuteur en lui léchant l'écorce,","И ставе се за него паоца, лизајући га кожицом,"
  Grimper par ruse au lieu de s'élever par force ?,Да се капиш на лукавство уместо да се кретиш сило?
"  Non, merci. Dédier, comme tous il le font,","Не, hvala. Посветити, као и сви они,"
  Des vers aux financiers ? se changer en bouffon,"Од црва до финансије, прерастају у буфене."
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","У понизном наду да видим, у устама министра,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Да се роди осмеха, што није злобно?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Не, хвала, да ли је свакодневно ручак са ћаскаком?"
  Avoir un ventre usé par la marche ? une peau,Да се стомак исцрпи током ходања?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Ко је најбрже, уместо колена, да буде прљав?"
  Exécuter des tours de souplesse dorsale ?. . .,Да ли могу да раде на спинским флексибилантима? ...
"  Non, merci. D'une main flatter la chèvre au cou","Не, хвала, једном руком лаже козицу у врато"
"  Cependant que, de l'autre, on arrose le chou,","Али ако се на другој полива капуља,"
"  Et, donneur de séné par désir de rhubarbe,","И који се за жалост за брисања удише у груди,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Да ли је он увек у својој бради?
"  Non, merci ! Se pousser de giron en giron,","Не, хвала, хвати да се крећу од једног к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к к"
"  Devenir un petit grand homme dans un rond,","Стао је мали велики човек у кругу,"
"  Et naviguer, avec des madrigaux pour rames,","И пловити са мадридама за бродове,"
  Et dans ses voiles des soupirs de vieilles dames ?,А у његовим велима су супе старије даме?
"  Non, merci ! Chez le bon éditeur de Sercy","Не, хвала, у прави издавач Серси."
"  Faire éditer ses vers en payant ? Non, merci !",Да би се уложио у исправљање његових црва на плаћање?
  S'aller faire nommer pape par les conciles,Да би се послали на самнске ради да се именовају папом
  Que dans des cabarets tiennent des imbéciles ?,Да у кабарима има глупаца?
"  Non, merci ! Travailler à se construire un nom","Не, радити на томе да се направи име."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","На једном звуку, уместо да се још неколико?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Да ли је талент откриван само у мазовима?
"  Être terrorisé par de vagues gazettes,","Да се уплаши од вавних новина,"
"  Et se dire sans cesse: Oh, pourvu que je sois","И стално се пита: ""О, ако сам ја"
