Scène 2.VIII.,Indzaba 2:
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, bantfwana labasebancane, labahlala ngesekudla nangesancele"
et auxquels on sert à boire et à manger.,"Titawudliwa tidliwe, tinatswe, tihlayiswe."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"CYRANO (ngekubingelela lokukhulu, wabingelela labo labephuma ngaphandle kwekumbingelela):"
  Messieurs. . .Messieurs. . .Messieurs. . .,"Bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane, bazalwane,"
"LE BRET (désolé, redescendant, les bras au ciel):","BET (Solile, wehla, ingalo ezulwini):"
  Ah ! dans quels jolis draps.,Ngitfole ticucu letinhle.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Wena, utawukhala!"
LE BRET:,LENKHONDO:
"  Enfin, tu conviendras","Ekugcineni, utawutsandza"
"  Qu'assassiner toujours la chance passagère,","""Kuhlale kubulala inhlanhla,"
  Devient exagéré.,Ucala kukhuluma kakhulu.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Yebo, ngiyachubeka."
LE BRET (triomphant):,INDZWADVO (leyincoba):
  Ah !,Ah! Ah!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Kodvwa-ke, ngekulandzela umtsetfo, nangesibonelo,"
  Je trouve qu'il est bon d'exagérer ainsi.,Ngicabanga kutsi kuhle kakhulu kwenta njalo.
LE BRET:,LENKHONDO:
"  Si tu laissais un peu ton âme mousquetaire,","""Nangabe ungayekela umphefumulo wakho ube yincenye lencane,"
  La fortune et la gloire. . .,Umcebo neludvumo . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Yini lokufanele siyente?
"  Chercher un protecteur puissant, prendre un patron,","Kufuna umvikeli lonemandla, kutsatsa umphatsi,"
  Et comme un lierre obscur qui circonvient un tronc,"""Njengemhlanga lomnyama lotungeleta umhlanga,"
"  Et s'en fait un tuteur en lui léchant l'écorce,","Uyawutenta umnakekeli wakhe, atfukutsele emhlabatsini."
  Grimper par ruse au lieu de s'élever par force ?,Kukhwela ngekucondza kunekukhandza?
"  Non, merci. Dédier, comme tous il le font,","Cha, ngiyabonga, kodvwa njengobe bonkhe bantfu benta,"
  Des vers aux financiers ? se changer en bouffon,Kusukela etingulubeni kuya etingulubeni?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Ngelutsemba loluncane lwekubona, ngetindzebe temuntfu,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Kuveta umomotheka, futsi ngubani longasiwo lombi?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",Kudla kudla kwasemini onkhe emalanga?
  Avoir un ventre usé par la marche ? une peau,"Kutfola sisu lesinciphile ngekuhamba, sikhumba lesinciphile"
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Ngubani lowenta tintfo letimbi ngekushesha kwendlula emadvolo?
  Exécuter des tours de souplesse dorsale ?. . .,Kwenta emacembu ekugucula umhlane? . . .
"  Non, merci. D'une main flatter la chèvre au cou","""Cha, ngiyabonga, ngisuke ngisibambe ngesandla lesinye, ngisuke ngisibambe ngentamo"
"  Cependant que, de l'autre, on arrose le chou,","Kodvwa-ke nangabe lomunye umuntfu anisela likhaba,"
"  Et, donneur de séné par désir de rhubarbe,","Uyawukhipha tinhlavu temikhono,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Kuhlale anesitfulo sakhe sekushisela imphepho?
"  Non, merci ! Se pousser de giron en giron,","Cha, ngiyabonga, ngitsi: ""Kufanele ngikhutsateke""."
"  Devenir un petit grand homme dans un rond,","Kuba ngumuntfu lomncane lomkhulu embutfweni,"
"  Et naviguer, avec des madrigaux pour rames,","Bahamba ngemikhumbi, baphetse tincola,"
  Et dans ses voiles des soupirs de vieilles dames ?,Emagcuma akhe abonakala anelulaka lolunyenti?
"  Non, merci ! Chez le bon éditeur de Sercy","Cha, ngiyabonga, ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi ngitsi"
"  Faire éditer ses vers en payant ? Non, merci !",Kwenta bantfu bahlele ema-verbe akhe ngekukhokha?
  S'aller faire nommer pape par les conciles,Kufuna Kubekwa Kuba NguPapa Emhlanganweni Wema-Phalamende
  Que dans des cabarets tiennent des imbéciles ?,Yini leyenta kutsi bantfu labangenangcondvo bagcine tindlu tabo?
"  Non, merci ! Travailler à se construire un nom",Ngisebenta kute ngente libito lami libe lihle
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Ngekucala, kunekutsi ufundze letinye?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Ngiyabonga, kodvwa ngenta njani kute ngitfole emakhono lamanyenti?"
"  Être terrorisé par de vagues gazettes,","Kuba nesabelo emaphephandzabeni,"
"  Et se dire sans cesse: Oh, pourvu que je sois","""Ngiyawutibuta ngitsi: 'Nangabe mine nginguye,"
  Dans les petits papiers du Mercure François ?. . .,Emaphepheni lamanyenti labhalwa nguFrancis Mercury? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Cha, ngiyabonga, kufundza, kwesaba, kuba nelusizi,"
"  Aimer mieux faire une visite qu'un poème,","Kutfokotela kuvakasha kunenkondlo,"
"  Rédiger des placets, se faire présenter ?","Kutsiwani ngekubhala tincwadzi tekubhala, kutsiwa uyatibona?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Cha, ngiyabonga, cha, ngiyabonga, cha, ngiyabonga, kodvwa ..."
"  Rêver, rire, passer, être seul, être libre,","Kuphupha, kuhleka, kwendlula, kuba sodvwa, kuba yinkhululeko,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","""Ube neliso lelihle, livi lelihle,"
"  Mettre, quand il vous plaît, son feutre de travers,","""Nangabe utsandza, beka imizwa yakhe,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Nangabe kunjalo, nangabe cha, balwe, nobe bakhetse intfo letsite!"
"  Travailler sans souci de gloire ou de fortune,",Kusebenta ngaphandle kwekutidvumisa nobe kuba nemcebo
"  A tel voyage, auquel on pense, dans la lune !","Kuvakasha lokuhle kakhulu, lokuyintfo lengase icabange ngayo, enyangeni!"
"  N'écrire jamais rien qui de soi ne sortît,","Ungalokotsi ubhale intfo lengeke ikhone kukucondza kahle,"
"  Et modeste d'ailleurs, se dire: mon petit,","Kodvwa wena utsandza kutfobeka, utsi:"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Uyakweneliseka ngetimbali, ngetitselo, ngisho nangemacembe,"
  Si c'est dans ton jardin à toi que tu les cueilles !,"Nangabe usensimini yakho, utawutikhetsela."
"  Puis, s'il advient d'un peu triompher, par hasard,","Kodvwa nangabe aphumelela kancane,"
"  Ne pas être obligé d'en rien rendre à César,","""Ngingeke ngikhone kukhokhela Khesari lutfo."
"  Vis-à-vis de soi-même en garder le mérite,","Kodvwa wena-ke, ungatiphatsi kahle,"
"  Bref, dédaignant d'être le lierre parasite,","Ngalokwengetiwe, ngekwedzelela kuba ngumshana lohlala emhlabatsini,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Ngisho nobe singesilo sihlahla semanyeva nome sihlabatsi,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Mhlawumbe angeke akhuphuke kakhulu, kodvwa utawukhwela wedvwa!"
LE BRET:,LENKHONDO:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",Kodvwa akusibo bonkhe labamelana nawe.
  As-tu donc contracté la manie effroyable,"""Ngabe sewutfola yini lulaka lolukhulu?"
"  De te faire toujours, partout, des ennemis ?",Kwenta titsa takho tihlale tikhona yonkhe indzawo?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Ngikhumbula ngitsi, ""Ngesikhatsi ngibona nicala kuba nebangani,"
"  Et rire à ces amis dont vous avez des foules,","Uhleka nalaba labangani bakho labaneticumbi,"
  D'une bouche empruntée au derrière des poules !,Umlomo lowemukelwe ngemuva kwetinkhukhu!
"  J'aime raréfier sur mes pas les saluts,","Ngiyakutsandza kubingelela ngetinyawo tami,"
  Et m'écrie avec joie: un ennemi de plus !,"""Nine ningitfokote, ningitjele kutsi: 'Senginesitsa lesinye!'"
LE BRET:,LENKHONDO:
