Scène 2.VIII.,Adegan 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, budak leutik, nu geus diuk di katuhu jeung kénca"
et auxquels on sert à boire et à manger.,Jeung maranehna dilayani nginum jeung didahar.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (ngatur salam ka nu kaluar tanpa wani ngabagéakeun):
  Messieurs. . .Messieurs. . .Messieurs. . .,Dulur-dulur. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
"LE BRET (désolé, redescendant, les bras au ciel):","THE BRET (sorry, turun, leungeun ka langit):"
  Ah ! dans quels jolis draps.,Ah! dina naon nice lawon.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, anjeun! Anjeun bakal grunt!"
LE BRET:,Nu jadi:
"  Enfin, tu conviendras","Dina ahirna, anjeun bakal cocog"
"  Qu'assassiner toujours la chance passagère,","Anjeun salawasna maéhan tuah fleeting,"
  Devient exagéré.,Ieu geus jadi overkill.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Nah, enya, abdi ngalegaan!"
LE BRET (triomphant):,THE BRET (triumphant):
  Ah !,Ah! Kumaha?
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Tapi pikeun prinsip, jeung pikeun conto ogé,"
  Je trouve qu'il est bon d'exagérer ainsi.,Kuring ngarasa yén éta téh hadé pikeun ngalegaan.
LE BRET:,Nu jadi:
"  Si tu laissais un peu ton âme mousquetaire,","Lamun anjeun ninggalkeun hiji saeutik jiwa musket Anjeun,"
  La fortune et la gloire. . .,Harta jeung kamulyaan . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Naon nu kudu dilakukeun?
"  Chercher un protecteur puissant, prendre un patron,","Neangan hiji pelindung kuat, nyokot hiji boss,"
  Et comme un lierre obscur qui circonvient un tronc,Jeung kawas lilin poék nu ngawengku hiji tangkal
"  Et s'en fait un tuteur en lui léchant l'écorce,","Jeung nyieun hiji tukang jaga, ngusap kulitna,"
  Grimper par ruse au lieu de s'élever par force ?,Naha urang bisa ménta cara pikeun ménta ka luhur?
"  Non, merci. Dédier, comme tous il le font,","Teu, hatur nuhun."
