Scène 2.VIII.,Scenen 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, de yngre, som satt sig till höger och till vänster"
et auxquels on sert à boire et à manger.,och de serveras för att dricka och äta.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (som hälsar med en goguinig luft de som går ut utan att våga hälsa på honom):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina herrar, mina och"
"LE BRET (désolé, redescendant, les bras au ciel):","BRET (sorg, nedåt, armarna till himlen):"
  Ah ! dans quels jolis draps.,"Åh, vad fina lakan."
CYRANO:,- CYRANO:
  Oh ! toi ! tu vas grogner !,Du kommer att grynga!
LE BRET:,- Den breda.
"  Enfin, tu conviendras",Nu är du okej.
"  Qu'assassiner toujours la chance passagère,","Att mörda alltid en förbifällig chans,"
  Devient exagéré.,Det blir för mycket.
CYRANO:,- CYRANO:
"  Hé bien oui, j'exagère !","- Ja, jag överdriver."
LE BRET (triomphant):,BRET (triumfant):
  Ah !,- Vad är det?
CYRANO:,- CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Men i princip och i exempel såväl,"
  Je trouve qu'il est bon d'exagérer ainsi.,Jag tycker att det är bra att överdriva så.
LE BRET:,- Den breda.
"  Si tu laissais un peu ton âme mousquetaire,","Om du skulle låta din musketande själ vara lite,"
  La fortune et la gloire. . .,Rikedom och ära. . . .
CYRANO:,- CYRANO:
  Et que faudrait-il faire ?,Och vad skulle man göra?
"  Chercher un protecteur puissant, prendre un patron,","Att hitta en stark beskyddare, ta en chef,"
  Et comme un lierre obscur qui circonvient un tronc,Och som en mörk lyr som omger en tråda
"  Et s'en fait un tuteur en lui léchant l'écorce,",Och han tar sig till en beskyddare och lägger på den.
  Grimper par ruse au lieu de s'élever par force ?,Att klättra för att försöka klättra istället för att klättra med våld?
"  Non, merci. Dédier, comme tous il le font,","- Nej, tack."
  Des vers aux financiers ? se changer en bouffon,"Från maskar till finansmän, bli en skitstövel"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","I den förnedrade hoppet att se, på en ministers läppar,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Att få ett leende, som inte är grymt?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",- Jag vill ha en fröka varje dag.
  Avoir un ventre usé par la marche ? une peau,Att ha en slitna mage på gång?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Vem blir snabbare, i stället för knäna, smutsig?"
  Exécuter des tours de souplesse dorsale ?. . .,Utföra ryggflexibelturkar? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Nej, tack, men med en hand smickra getten i halsen"
"  Cependant que, de l'autre, on arrose le chou,",Men när man vattnar kaolin på den andra sidan
"  Et, donneur de séné par désir de rhubarbe,","och som ger sig av sin bröstlöshet,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Att ha sin brännstängare i en skägg?
"  Non, merci ! Se pousser de giron en giron,","- Nej, tack, det är bra."
"  Devenir un petit grand homme dans un rond,","Att bli en liten stor man i en rund,"
"  Et naviguer, avec des madrigaux pour rames,","Och segla med rammare,"
  Et dans ses voiles des soupirs de vieilles dames ?,"Och i hans seglar, gamla damers ångest?"
"  Non, merci ! Chez le bon éditeur de Sercy","- Nej, tack, till Sercy's förläggare."
"  Faire éditer ses vers en payant ? Non, merci !",- Ska han få redaga sina ord på betalning?
  S'aller faire nommer pape par les conciles,Att bli utnämnd till påve av konciller
  Que dans des cabarets tiennent des imbéciles ?,- Att det finns idioter i kabåer?
"  Non, merci ! Travailler à se construire un nom",- Att arbeta för att bli känd.
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","- På en sonnet, istället för att göra andra?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,- Kan man bara hitta talang på fjäderfä?
"  Être terrorisé par de vagues gazettes,","Att bli skrämd av tidningar,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Och ständigt säga: ""Åh, om jag är"
  Dans les petits papiers du Mercure François ?. . .,I de små papperna från Merkur Francis...?
"  Non, merci ! Calculer, avoir peur, être blême,","- Att räkna, vara rädd, vara bländig."
"  Aimer mieux faire une visite qu'un poème,",Att älska en besök bättre än en dikt.
"  Rédiger des placets, se faire présenter ?","- Att skriva in anteckningar, presentera sig?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Nej, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack, tack,"
"  Rêver, rire, passer, être seul, être libre,","Att drömma, skratta, gå förbi, vara ensam, vara fri,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Att ha ett öga som ser bra, en röst som vibrerar,"
"  Mettre, quand il vous plaît, son feutre de travers,","Att sätta, när du vill, sin känsla av misstag,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","För ett ja, för ett nej, slåss, - eller göra en orm!"
"  Travailler sans souci de gloire ou de fortune,","Att arbeta utan att sträva efter rykte eller ära,"
"  A tel voyage, auquel on pense, dans la lune !","En resa som man tänker på, till månen."
"  N'écrire jamais rien qui de soi ne sortît,","Skriv aldrig något som inte kommer från dig själv,"
"  Et modeste d'ailleurs, se dire: mon petit,","Och beskedligt, säger han: ""Min lilla,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Kan man vara nöjd med blommor, frukter, till och med blad,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Om du plockar dem i din trädgård!
"  Puis, s'il advient d'un peu triompher, par hasard,","Och om han lyckas få en liten seger,"
"  Ne pas être obligé d'en rien rendre à César,","""Jag måste inte ge något till kejsaren."
"  Vis-à-vis de soi-même en garder le mérite,","För att hålla sig själv värd det,"
"  Bref, dédaignant d'être le lierre parasite,","Kort sagt, föraktar att vara parasitiska lierre,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Även om vi inte är ek och täl,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","- Inte så högt, kanske, men ensam."
LE BRET:,- Den breda.
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","- Det är bara en, men inte mot alla."
  As-tu donc contracté la manie effroyable,Har du fått den fruktansvärda manin?
"  De te faire toujours, partout, des ennemis ?",Att göra dig alltid fiender överallt?
CYRANO:,- CYRANO:
"  A force de vous voir vous faire des amis,","När jag såg er bli vänner,"
"  Et rire à ces amis dont vous avez des foules,","Och skratta åt de vänner du har i folkmassan,"
  D'une bouche empruntée au derrière des poules !,- Han har en mun som lånat sig i hönsbakarna.
"  J'aime raréfier sur mes pas les saluts,",Jag gillar att hälsa på mina fötter.
  Et m'écrie avec joie: un ennemi de plus !,Och ropar till mig med glädje: En fiende till!
LE BRET:,- Den breda.
  Quelle aberration !,Vilken aberration!
CYRANO:,- CYRANO:
"  Eh bien, oui, c'est mon vice.","- Ja, det är min åsikt."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Jag gillar att bli hatad.
"  Mon cher, si tu savais comme l'on marche mieux","Min älskade, om du visste hur man går bättre"
  Sous la pistolétade excitante des yeux !,Under den spännande pistolstaten i ögonen!
"  Comme, sur les pourpoints, font d'amusantes taches","Som, på poäng, göra roliga fläckar"
  Le fiel des envieux et la bave des lâches !,Gals av avundsjuka och fegas avfalla!
"  --Vous, la molle amitié dont vous vous entourez,","Du, den milda vänskap du omger,"
"  Ressemble à ces grands cols d'Italie, ajourés","Liksom de stora italienska halsbanden, förlängda"
"  Et flottants, dans lesquels votre cou s'effémine:","Och flötande, där din hals är skrämmande."
"  On y est plus à l'aise. . .et de moins haute mine,","Vi är mer bekväma och mindre höga,"
"  Car le front n'ayant pas de maintien ni de loi,","För att panna inte har någon ordning eller lag,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Han slutar att vända sig åt alla håll.
"  La Haine, chaque jour, me tuyaute et m'apprête","Hass varje dag, pipar och ger mig"
  La fraise dont l'empois force à lever la tête;,Frågan som med sitt giftiga ämne får sitt huvud att lyfta.
  Chaque ennemi de plus est un nouveau godron,Varje fjender som kommer är en ny gudel.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Han ökar min förödelse och min förödelse.
"  Car, pareille en tous points à la fraise espagnole,","För, i alla avseenden, liknar den spanska frusen,"
"  La Haine est un carcan, mais c'est une auréole !","Hat är en snubbe, men det är en auréole!"
"LE BRET (après un silence, passant son bras sous le sien):","BRET (efter tystnad, passera sin arm under sin):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Gör högmodig och bitter, men låg"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Säg bara att hon inte älskar dig!
CYRANO (vivement):,CYRANO (levande):
  Tais-toi !,- Håll käften!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Efter en stund, Christian gick in, blandade sig med de yngre, de"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,Han satt sig ensam i en
