Scène 2.VIII.,Sehemu ya 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, vijana, ambao wamekaa upande wa kulia na wa kushoto"
et auxquels on sert à boire et à manger.,Na wanatumiwa kula na kunywa.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (aliwasalimu kwa sauti ya kiume wale waliotoka nje bila kuogopa):
  Messieurs. . .Messieurs. . .Messieurs. . .,Wajumbe wa Serikali ya Ufaransa
"LE BRET (désolé, redescendant, les bras au ciel):","BRET (huzuni, kushuka, mikono mbinguni):"
  Ah ! dans quels jolis draps.,Ah! katika vitambaa nzuri kama nini.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,Oh! wewe! wewe ni gonna grow!
LE BRET:,Mchungaji:
"  Enfin, tu conviendras","Hatimaye, utapatikana"
"  Qu'assassiner toujours la chance passagère,","Kuua daima bahati ya muda,"
  Devient exagéré.,Ni jambo la kuongezea.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Ndiyo, ninazidi!"
LE BRET (triomphant):,MFALME (Mshindi):
  Ah !,Ah!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Lakini kwa kanuni, na kwa mfano pia,"
  Je trouve qu'il est bon d'exagérer ainsi.,Ninaona ni vizuri kuongezea mambo hayo.
LE BRET:,Mchungaji:
"  Si tu laissais un peu ton âme mousquetaire,","Kama ungeacha roho yako mosquito kidogo,"
  La fortune et la gloire. . .,Utajiri na Utukufu . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Na ni nini kinachohitajiwa?
"  Chercher un protecteur puissant, prendre un patron,","Kutafuta mlinzi mwenye nguvu, kuchukua bosi,"
  Et comme un lierre obscur qui circonvient un tronc,Na kama kivuli chenye giza kinachokuwa kikizunguka kivuli
"  Et s'en fait un tuteur en lui léchant l'écorce,","Na akafanya awe mlezi wake, na akalilia ngozi yake."
  Grimper par ruse au lieu de s'élever par force ?,"Je, ni kwa hila tu tu?"
"  Non, merci. Dédier, comme tous il le font,","Hapana, asante."
  Des vers aux financiers ? se changer en bouffon,Kuanzia wadudu hadi wafanyabiashara wa fedha?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Katika matumaini ya aibu ya kuona, kwa midomo ya waziri,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Je, ni kweli kwamba mtu anaweza kuzaliwa na tabasamu ambalo si mbaya?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Je, ni chakula cha mchana cha mnyama kila siku?"
  Avoir un ventre usé par la marche ? une peau,Kuwa na tumbo la kuharibika kwa kutembea? ngozi
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Ni nani anayeanguka haraka zaidi kuliko magoti?
  Exécuter des tours de souplesse dorsale ?. . .,Kufanya mizunguko ya kuimarisha mgongo? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Siyo, asante."
"  Cependant que, de l'autre, on arrose le chou,","Hata hivyo, kwa upande mwingine, tunamwaga kabichi,"
"  Et, donneur de séné par désir de rhubarbe,","Na anaye fanya nywele kwa kutamani nywele,"
"  Avoir son encensoir, toujours, dans quelque barbe ?","Je, bado alikuwa na uvumba wake katika ndevu?"
"  Non, merci ! Se pousser de giron en giron,","Siyo, asante!"
"  Devenir un petit grand homme dans un rond,","Kuwa mtu mdogo kubwa katika duru,"
"  Et naviguer, avec des madrigaux pour rames,","Na kusafiri kwa mashua za mashua,"
  Et dans ses voiles des soupirs de vieilles dames ?,"Na katika safu zake, huzuni za wazee wa kike?"
"  Non, merci ! Chez le bon éditeur de Sercy","Hapana, asante, kwa mhariri mzuri wa Sercy"
"  Faire éditer ses vers en payant ? Non, merci !","Je, ni lazima ulipie ili uhariri wake uhaririwe?"
  S'aller faire nommer pape par les conciles,Kujiweka Kuwa Papa Katika Baraza
  Que dans des cabarets tiennent des imbéciles ?,"Je, ni kwamba katika cabarets kuweka wazimu?"
"  Non, merci ! Travailler à se construire un nom",Kufanya kazi ya kujitambulisha
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Je, ni kwa sauti moja tu badala ya nyingine?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Shukrani, je, ni katika vibanda tu ambapo unaweza kupata talanta?"
"  Être terrorisé par de vagues gazettes,","Kuogopa magazeti ya habari,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Na kusema daima, ""Oh, kama mimi ni"
  Dans les petits papiers du Mercure François ?. . .,Katika karatasi ndogo za Mercury Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Siyo, asante! Kufanya hesabu, kuogopa, kuwa na wasiwasi,"
"  Aimer mieux faire une visite qu'un poème,","Kupenda ziara kuliko shairi,"
"  Rédiger des placets, se faire présenter ?","Kuandika karatasi, kujipendekeza?"
