Scène 2.VIII.,Szczyns 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, młodzież, co siedziała na prawicy i na lewicy"
et auxquels on sert à boire et à manger.,"I je je, i pije."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"Cyrano (zdrugo pozdrawia tych, kerzi wychodzōm bez śmiychu go pozdrowić):"
  Messieurs. . .Messieurs. . .Messieurs. . .,"Panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie,"
"LE BRET (désolé, redescendant, les bras au ciel):","SI: (Przepōmnie, z powrotem, ramiōnki do nieba):"
  Ah ! dans quels jolis draps.,W jakich piyknych sztapach.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty, ty,"
LE BRET:,- Wōm sie zdo:
"  Enfin, tu conviendras",W kōńcu sie zgadza
"  Qu'assassiner toujours la chance passagère,","Że zabijać zawsze przemijające szanse,"
  Devient exagéré.,Zbyt przesadzal.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","No tak, przesadzam!"
LE BRET (triomphant):,BROT (triumfowany):
  Ah !,"- A, ô, ô!"
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Ale na zasadzie, i na przikładzie tyż,"
  Je trouve qu'il est bon d'exagérer ainsi.,"Uważam, że je fajne, coby tak przesadzić."
LE BRET:,- Wōm sie zdo:
"  Si tu laissais un peu ton âme mousquetaire,","Jak byś trocha ôstawiyła swoja musketerskõ dusza,"
  La fortune et la gloire. . .,Piykno i sławy.
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,I co by sie dalo zrobić?
"  Chercher un protecteur puissant, prendre un patron,","Szukać mocnego ôchrōnka, wziōnć patron,"
  Et comme un lierre obscur qui circonvient un tronc,"I jak ciymne liryko, co ôbkłŏ trōmok"
"  Et s'en fait un tuteur en lui léchant l'écorce,","I zrobi sie z niego opiekunym, lizając jego skórze,"
  Grimper par ruse au lieu de s'élever par force ?,Sztucznie wlecieć zamiast wlecieć siłą?
"  Non, merci. Dédier, comme tous il le font,","Niy, dziynki."
  Des vers aux financiers ? se changer en bouffon,Z robaki do financjow?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","W niydownym nadzieji, coby widzieć, na ustach ministra,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Wyrodzić uśmiech, bo niy ma szymist?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Niy, dziynki."
  Avoir un ventre usé par la marche ? une peau,mieć żołądek ze szczotym w chodzeniu?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Kogo wartko, na miyjscu klōni, robi sie brudny?"
  Exécuter des tours de souplesse dorsale ?. . .,Wykorzŏć ruchy plecy? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Niy, dziynki. Z jednym rōmōm łobłōgać kozie do szyi"
"  Cependant que, de l'autre, on arrose le chou,","Ale jak z drugigo napojymy kapust,"
"  Et, donneur de séné par désir de rhubarbe,","I co sie z tym, co sie z tym, co sie z tym, co sie z tym, co sie z tym, co sie z tym, co sie z tym, co sie z tym, co sie z tym, co sie z tym, co sie z tym, co sie z tym, co sie z tym, co sie z tym, co sie z tym, co sie z tym, co z tym, co z tym, co z tym, co z tym, co z tym, co z tym, co z tym, co z tym, co z tym, co z tym, co z tym, co z tym, co z tym, co z tym, co z tym, co z tym, co z tym, co z tym, co z tym, z tym, co z tym, co z tym, z tym, co z tym, co z tym, z tym, co z tym, z tym, co z tym, co z tym, z"
"  Avoir son encensoir, toujours, dans quelque barbe ?","I mieć swojym kadłubym, we kożdym brōbie?"
"  Non, merci ! Se pousser de giron en giron,","Niy, dziynki!"
"  Devenir un petit grand homme dans un rond,","Stać sie mały wielgi chop w rundach,"
"  Et naviguer, avec des madrigaux pour rames,","I żeglować, z łodrzukiym na łodzi,"
  Et dans ses voiles des soupirs de vieilles dames ?,A w jego żelazach szpyrki starzikōw?
"  Non, merci ! Chez le bon éditeur de Sercy","Niy, dziynki!"
"  Faire éditer ses vers en payant ? Non, merci !",- Płacie za edytorstwo?
  S'aller faire nommer pape par les conciles,Prziwołanie sie do papieża na koncilu
  Que dans des cabarets tiennent des imbéciles ?,Że w kabarecie sōm idioty?
"  Non, merci ! Travailler à se construire un nom","Nie, dziynki! Pracuj na budowaniu miana"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",Na jednym sonnetie zamiast robić inksze?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"- Niy, dziynki!"
"  Être terrorisé par de vagues gazettes,","Być przerażanym ôd falnych gazet,"
"  Et se dire sans cesse: Oh, pourvu que je sois","I niychej niychej niy roz: ""O, jak bych bōł"
  Dans les petits papiers du Mercure François ?. . .,W papiyrkach Merkur Franciszek? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Niy, dziynki!"
"  Aimer mieux faire une visite qu'un poème,","Lepij jechać na wizytę, niż poezji,"
"  Rédiger des placets, se faire présenter ?","Napisować kartki, prezentować sie?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Niy, dziynki! Niy, dziynki!"
"  Rêver, rire, passer, être seul, être libre,","Śnić, śmiać, przechodzić, być samym, być wolnym,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","mieć dobrze patrzyły ôczy, drgały głos,"
"  Mettre, quand il vous plaît, son feutre de travers,","Jak chcesz, to sie zmyj."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Za ""tak"", za ""nie"", walczyć, - abo zrobić robaka!"
