Scène 2.VIII.,காட்சி 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","சிரானோ, லெ பிரெட், இளையவர்கள், வலது மற்றும் இடதுபுறத்தில் அமர்ந்தனர்"
et auxquels on sert à boire et à manger.,"அவர்களுக்கு உணவு, பானம் வழங்கப்படும்."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,சைரன் (அவரை வாழ்த்தத் துணிச்சல் இல்லாமல் வெளியே வரும் அனைவரையும் மயக்கத்துடன் வாழ்த்துகிறார்):
  Messieurs. . .Messieurs. . .Messieurs. . .,ஐயா. . . ஐயா. . ஐயா. . . ஐயா. . .
"LE BRET (désolé, redescendant, les bras au ciel):","BRET (மன்னிக்கவும், கீழே, கைகளை வானத்திற்கு):"
  Ah ! dans quels jolis draps.,என்ன அழகான துணிகள்.
CYRANO:,சைரான்ஃ
  Oh ! toi ! tu vas grogner !,"ஓ, நீ! நீ குரங்குகிறாய்!"
LE BRET:,பறவை:
"  Enfin, tu conviendras","இறுதியாக, நீங்கள் பொருந்தும்"
"  Qu'assassiner toujours la chance passagère,","எப்போதும் ஒரு திடீர் அதிர்ஷ்டத்தை கொல்வது,"
  Devient exagéré.,அது மிகைப்படுத்தி வருகிறது.
CYRANO:,சைரான்ஃ
"  Hé bien oui, j'exagère !","சரி, நான் அதிகமாகப் பேசுகிறேன்!"
LE BRET (triomphant):,வெற்றியாளர்ஃ
  Ah !,ஆஹா!
CYRANO:,சைரான்ஃ
"  Mais pour le principe, et pour l'exemple aussi,","ஆனால், கொள்கை மற்றும் எடுத்துக்காட்டுக்கு,"
  Je trouve qu'il est bon d'exagérer ainsi.,நான் அதை மிகைப்படுத்திப் பார்ப்பது நல்லது என்று நினைக்கிறேன்.
LE BRET:,பறவை:
"  Si tu laissais un peu ton âme mousquetaire,","உன் ஆத்மாவைச் சுருட்டிக் காக்கினால்,"
  La fortune et la gloire. . .,செல்வமும் புகழும். . .
CYRANO:,சைரான்ஃ
  Et que faudrait-il faire ?,என்ன செய்ய வேண்டும்?
"  Chercher un protecteur puissant, prendre un patron,","ஒரு சக்திவாய்ந்த பாதுகாவலரைத் தேடுவது, ஒரு முதலாளியைத் தேடுவது,"
  Et comme un lierre obscur qui circonvient un tronc,ஒரு மரக்கட்டத்தை சுற்றி ஒரு இருண்ட கம்பியைப் போல
"  Et s'en fait un tuteur en lui léchant l'écorce,",அவன் அதைக் காப்பாற்றுகிறான்; அதன் தோலைக் கழுவிக் கொள்கிறான்.
  Grimper par ruse au lieu de s'élever par force ?,"வலிமையால் ஏறுவதற்கு பதிலாக, மயக்கத்தால் ஏறுவதா?"
"  Non, merci. Dédier, comme tous il le font,","இல்லை, நன்றி. அர்ப்பணிப்பு, அவர்கள் அனைவரும் செய்வது போல,"
  Des vers aux financiers ? se changer en bouffon,"பணக்காரர்கள், பூச்சிகள், பழுத்தவர்கள்."
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","ஒரு அமைச்சரின் உதடுகளில், பார்க்கும் என்று வெட்கமாக எதிர்பார்த்து,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","ஒரு சிரிப்பைப் பிறக்க வேண்டும், அது கெட்டதாக இருக்காது?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","இல்லை, நன்றி. தினமும் ஒரு பன்றி சாப்பிடுவீர்களா?"
  Avoir un ventre usé par la marche ? une peau,ஒரு வயிறு நடைபயிற்சி மூலம் கரைந்து கொண்டிருப்பது?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","யார், முழங்காலுக்குப் பதிலாக, மிகவும் விரைவாக கழுத்தடைகிறார்கள்?"
  Exécuter des tours de souplesse dorsale ?. . .,முதுகெலும்பு நெகிழ்வுத்தன்மை பயிற்சிகளை மேற்கொள்ளலாமா? . . .
"  Non, merci. D'une main flatter la chèvre au cou","இல்லை, நன்றி. ஒரு கையில் செம்மறி கழுத்தில் கௌரவிக்க"
"  Cependant que, de l'autre, on arrose le chou,","ஆனால், மற்றொன்றுக்கு, நாம் காபிக்கு தண்ணீர் ஊற்றினால்,"
"  Et, donneur de séné par désir de rhubarbe,","(அவர்கள்) கழுகுகளைத் தரும், (அவர்கள்) கழுகுகளைத் தரும்."
"  Avoir son encensoir, toujours, dans quelque barbe ?",எப்பொழுதும் தன் புகையிலைக் கம்பத்தில் வைத்திருப்பது?
"  Non, merci ! Se pousser de giron en giron,","இல்லை, நன்றி. ஒரு சுழற்சியில் ஒரு சுழற்சியில்,"
"  Devenir un petit grand homme dans un rond,","ஒரு சுற்றில் ஒரு சிறிய பெரிய மனிதன் ஆக,"
