Scène 2.VIII.,Əšiɣil 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, tin ilanen, wi iddikudnen daɣ tamazduq tan n awadim d ta tawset"
et auxquels on sert à boire et à manger.,Ad isuj-an ad isuj-an ad isuj-an.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (id eqqal asuj n addinat wi war n ikfa ad eqqel assalam net):
  Messieurs. . .Messieurs. . .Messieurs. . .,Awen ... Awen ... Awen ... Awen ... Awen ...
"LE BRET (désolé, redescendant, les bras au ciel):","TAMARTA (TAMARTA, asuj, əmik daɣ samando):"
  Ah ! dans quels jolis draps.,Ah! daɣ alxăq n alɣălan
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,Ah! ad ad eqqel ad eqqel ad eqqel!
LE BRET:,TƏMƏRTA:
"  Enfin, tu conviendras","Daɣ samando, adobat ad eqqil"
"  Qu'assassiner toujours la chance passagère,",As iknan harkuk alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq
  Devient exagéré.,Aqqal a fal as eqqalan.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Ah, eqqal, eqqal ašəɣəl!"
LE BRET (triomphant):,TAMARTAT (taɣit):
  Ah !,Ah !
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Mašan fal almaɣna, d fal almital"
  Je trouve qu'il est bon d'exagérer ainsi.,Awen ila as eqqal awa eqqalan aqqalnen a fal as eqqalan a fal as eqqalan a fal as eqqalan a fal as eqqalan a fal as eqqalan a fal as eqqalan a fal as eqqalan a fal as eqqalan a fal as eqqalan a fal as eqqalan a fal as eqqalan a fal as eqqalan a fal as eqqalan a fal as eqqalan.
LE BRET:,TƏMƏRTA:
"  Si tu laissais un peu ton âme mousquetaire,",A fal ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel
  La fortune et la gloire. . .,Aɣrəm d alxalaɣ . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Dǎɣ awa adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adiqil adi
"  Chercher un protecteur puissant, prendre un patron,","Ad eqqil amutayan n awadim wa ojjaran, ad eqqil amutayan n awadim"
  Et comme un lierre obscur qui circonvient un tronc,Dǎɣ asuj ən tamudre taganen dǎɣ tabarat ən tabarat
"  Et s'en fait un tuteur en lui léchant l'écorce,",Ijjanen-as amaran eqqalan amaran ad-iqqalan amaran ad-iqqalan amaran ad-iqqalan amaran ad-iqqalan amaran ad-iqqalan amaran ad-iqqalan amaran ad-iqqalan amaran ad-iqqalan amaran ad-iqqalan amaran ad-iqqalan amaran ad-iqqalan amaran.
  Grimper par ruse au lieu de s'élever par force ?,Ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel?
"  Non, merci. Dédier, comme tous il le font,","Awen, ehan, as id ijja addinat fuk,"
  Des vers aux financiers ? se changer en bouffon,Daɣ alɣisab tan win alxakum tan n alxakum tan n alxakum tan n alxakum tan n alxakum tan n alxakum tan n alxakum tan n alxakum tan n alxakum tan n alxakum
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Daɣ almaɣna n as ijja awen, almaɣna n alxidmat tan win alxidmat"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Ad eqqel tafat, s almaɣna net, wa war eqqal wa eqqalan eɣaf?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Awen, ehan alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id alwaq wa id al"
  Avoir un ventre usé par la marche ? une peau,Aqqal a ilan tiɣir n alɣisab s alɣisab ?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Wi ogaran ad eqqel azzruf daɣ əmik ən əmik?
  Exécuter des tours de souplesse dorsale ?. . .,Ad eqqil alɣisab n alɣisab n alɣisab n alɣisab ? . .
"  Non, merci. D'une main flatter la chèvre au cou","Ənta, aṃadal, əššəɣəl ən əšəɣəl ən əšəɣəl."
"  Cependant que, de l'autre, on arrose le chou,","Hak id ijja awen, daɣ iyyan, ad eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel"
"  Et, donneur de séné par désir de rhubarbe,",Ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad e
"  Avoir son encensoir, toujours, dans quelque barbe ?",Ad eqqel alxakum net harkuk daɣ alxum net?
"  Non, merci ! Se pousser de giron en giron,","Awen, ehan, ehanen daɣ alwaq wa id ehanen"
"  Devenir un petit grand homme dans un rond,",Aqqal awadim maqqor n azzaman daɣ alɣalim
"  Et naviguer, avec des madrigaux pour rames,","Dǎɣ təməddurt, dǎɣ təməddurt ən təməddurt,"
  Et dans ses voiles des soupirs de vieilles dames ?,"Dǎɣ əmik ənes, əmik ən tənna aqalnen?"
"  Non, merci ! Chez le bon éditeur de Sercy","A war n-awad, eqqal ɣur editan n Sercy"
"  Faire éditer ses vers en payant ? Non, merci !",A fal ad eqqel alɣisab n alɣisab net s alqim?
  S'aller faire nommer pape par les conciles,Ad eqqel papal daɣ alɣisab tan
  Que dans des cabarets tiennent des imbéciles ?,A fal as daɣ tabernacles illan addinat wi war n kel akal ?
"  Non, merci ! Travailler à se construire un nom","Awen, ehan fal as ijja awen, ehan fal as ijja awen, ehan fal as ijja awen, ehan fal as ijja awen, ehan fal as ijja awen, ehan fal as ijja awen, ehan fal as ijja awen, ehan fal as ehan fal as ehan s isim net"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",Daɣ alwaq wa id eqqalan alwaq wa id eqqalan alwaq wa id eqqalan alwaq wa id eqqalan alwaq wa id eqqalan alwaq wa id eqqalan alwaq wa id eqqalan alwaq wa id eqqalan alwaq wa id eqqalan alwaq wa id eqqalan alwaq wa id eqqalan alwaq wa id eqqalan alwaq wa id eqqalan alwaq wa id eqqalan alwaq wa id eqqalan alwaq wa id eqqalan alwaq wa id eqqalan alwaq wa id eqqalan alwaq wa id eqqalan
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Awen, as ijja awen, eqqal alwaq wa id ad eqqel alxidmat tan n alɣalim daɣ alɣalim tan win alɣalim"
"  Être terrorisé par de vagues gazettes,",Aqqal a t-id-igdad s alɣisab n alɣisab
"  Et se dire sans cesse: Oh, pourvu que je sois","""Aɣr-as-d-ig'as: ""Aɣr-i a wa n-ixdăm"
  Dans les petits papiers du Mercure François ?. . .,Daɣ almaɣna tan win Mercury Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Awen, ehan, ehan, ehan, ehan, ehan, ehan, ehan, ehan, ehan, ehan, ehan"
