Scène 2.VIII.,ⵜⵉⴼⵉⵏⴰⵖ 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","ⵛⵉⵔⴰⵏⵓ, ⴱⵔⵉⵜ, ⵉⵎⵥⵢⴰⵏⵏ, ⵏⵏⴰ ⵙⵙⵉⴼⵍⵏ ⴳ ⵜⵙⴳⴰ ⵏ ⵓⴳⴰⴼⴰ ⴷ ⵜⵙⴳⴰ ⵏ ⵓⴳⴰⴼⴰ"
et auxquels on sert à boire et à manger.,ⴰⵔ ⵜⵜⴰⴽⴽⴰⵏ ⵉ ⵡⴰⵏⵙⴰ ⴰⴷ ⵎⴰⵏⵏ ⴷ ⴰⵔ ⵜⵜⴰⴽⴽⴰⵏ.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,ⵛⵉⵕⴰⵏⵓ (ⵉⴾⴰⵍⴰ ⴰⴾⴰⵍ ⵏⵢⵜ ⵉ ⵡⵉⵏ ⵓⵉ ⵉⵋⵋⴰⵏ ⵎⵢⵗ ⵓⴰⵔ ⵉⵋⵋⴰ ⴰⵂⴰⵔⴾⴰⵎ ⵏⵢⵜ):
  Messieurs. . .Messieurs. . .Messieurs. . .,ⵎⴰⵙⵙⴰ ... ⵎⴰⵙⵙⴰ ... ⵎⴰⵙⵙⴰ ... ⵎⴰⵙⵙⴰ ...
"LE BRET (désolé, redescendant, les bras au ciel):","ⴱⵔⵉⵜ (ⴰⵙⵙⵓⵂⴰ, ⵉⵋⵋⴰ, ⵉⵋⵋⴰ, ⵉⵋⵋⴰ)"
  Ah ! dans quels jolis draps.,ⴰⵂ! ⵙ ⴰⴶⵓⴷⴰⵏ ⵓⴰ ⵓⴰ ⵉⵋⵋⴰⵏ.
CYRANO:,ⵛⵉⵕⴰⵏⵓ:
  Oh ! toi ! tu vas grogner !,ⵓⵂ! ⵓⵂ! ⵓⵂ! ⵓⵂ! ⵓⵂ!
LE BRET:,ⵟⴰⵛⵉⵔⴹⴰⵔⵜ:
"  Enfin, tu conviendras","ⵆⴰⵍⴰⴾ ⵉⴷⴷⵉⴾⵓⴷ, ⴰⵈⴰⵍ ⴰⴾⴰⵍ"
"  Qu'assassiner toujours la chance passagère,",ⵎⴰⵙⴷ ⴰⴽⴽⵡ ⴰⵙⴷⵉⴷ ⵏ ⵜⵉⴼⵉⵏⴰⵖ
  Devient exagéré.,ⴷⴰ ⵉⵜⵜⵓⵙⵏⴼⵍⵏ.
CYRANO:,ⵛⵉⵕⴰⵏⵓ:
"  Hé bien oui, j'exagère !","ⵆⴰⵍⴰ, ⴰⵈⴰⵍ ⴰⴾⴰⵍ ⵓⴰ ⵉⵋⵋⴰ."
LE BRET (triomphant):,ⴰ ⵔⴻⵜ (ⴰⴾⴰⵍ)
  Ah !,ⴰⵀ!
CYRANO:,ⵛⵉⵕⴰⵏⵓ:
"  Mais pour le principe, et pour l'exemple aussi,","ⵎⴰⵛⴰ ⵙ ⵓⵎⵏⵉⴷ ⴷ ⵓⵎⴷⵢⴰ ⴰⵡⴷ,"
  Je trouve qu'il est bon d'exagérer ainsi.,ⵆⴰⵍⴰ ⴰⵋⵋⵉⵜ ⵏⴰⵙⴰⵏ ⴰⵈⵈⴰⵍⴰⵏ ⴰⵋⵋⵓⵜⵏⵢⵏ.
LE BRET:,ⵟⴰⵛⵉⵔⴹⴰⵔⵜ:
"  Si tu laissais un peu ton âme mousquetaire,",ⴰⴾⴾⴾⴰⵍ ⴾⴰⵍⴾⴰⵍⴾⴰⵍⴾⴰⵍⴾⴰⵍⴾⴰⵍⴾⴰⵍⴾⴰⵍⴾⴰⵍⴾⴰⵍⴾⴰⵍⴾⴰⵍⴾⴰⵍⴾⴰⵍⴾⴰⵍⴾⴰⵍⴾⴰⵍⴾⴰⵍⴾⴰⵍⴾⴰⵍⴾⴰⵍⴾⴰⵍⴾⴰⵍⴾⴰⵍ
  La fortune et la gloire. . .,ⴰⵂⴰⵏ ⴷ ⴰⵜⵓⴰⵍ . . .
CYRANO:,ⵛⵉⵕⴰⵏⵓ:
  Et que faudrait-il faire ?,ⴷ ⵎⴰⵢⴷ ⵉⵅⵚⵚⴰ ⴰⴷ ⵏⴽⵔ?
"  Chercher un protecteur puissant, prendre un patron,","ⴰⴷ ⵏⴰⴼ ⴰⵙⴰⵂⴰⵜ ⵓⴰ ⵉⴷⴷⵉⴾⵓⴷⴰⵏ, ⴰⴷ ⵏⴰⴾⴰⵍ ⴰⴾⴰⵍ"
