Scène 2.VIII.,2.VIII күренеш.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Сирано, Ле Брет, яшьләр, уңга һәм сулга утырганнар"
et auxquels on sert à boire et à manger.,"Аларны ашатып, эчерәләр."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,СИРАНО (ул урамга чыгып киткәннәрне котлый):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хакимем, хаки"
"LE BRET (désolé, redescendant, les bras au ciel):","КҮНӘН (апасы, төшә, куллары күккә):"
  Ah ! dans quels jolis draps.,Нинди матур яфраклар!
CYRANO:,КИРАН:
  Oh ! toi ! tu vas grogner !,"Син, син кычкырачаксың!"
LE BRET:,БЕРЕК:
"  Enfin, tu conviendras","Ниһаять, син риза булачаксың"
"  Qu'assassiner toujours la chance passagère,","Һәрвакыт бәхетне үтерү,"
  Devient exagéré.,Бу бик зур.
CYRANO:,КИРАН:
"  Hé bien oui, j'exagère !","- Әйе, мин артык сүз әйтәм!"
LE BRET (triomphant):,БЕРЕК (җиңүче):
  Ah !,Аһ!
CYRANO:,КИРАН:
"  Mais pour le principe, et pour l'exemple aussi,","Ләкин принцип өчен дә, үрнәк өчен дә,"
  Je trouve qu'il est bon d'exagérer ainsi.,Мин андый сүзләр белән артык сүз әйтү яхшы дип саныйм.
LE BRET:,БЕРЕК:
"  Si tu laissais un peu ton âme mousquetaire,","Әгәр син үз җаныңны бераз гына калдырсаң,"
  La fortune et la gloire. . .,Байлык һәм дан . . .
CYRANO:,КИРАН:
  Et que faudrait-il faire ?,Һәм нәрсә эшләргә кирәк ?
"  Chercher un protecteur puissant, prendre un patron,","Көчле яклаучы эзләү, хуҗаны алу,"
  Et comme un lierre obscur qui circonvient un tronc,Янә ул агачның башын каплап торган кара яфрак кебидер.
"  Et s'en fait un tuteur en lui léchant l'écorce,","Ул аны сакчы итеп, аның кабыгын салыр,"
  Grimper par ruse au lieu de s'élever par force ?,"Көч белән күтәрелмичә, хәйлә белән менү?"
"  Non, merci. Dédier, comme tous il le font,","Юк, рәхмәт, чөнки алар кебек,"
  Des vers aux financiers ? se changer en bouffon,"Ә инде акча белән бәйле эшләрдән баш тартып, акча белән бәйле эшләрдән баш тартып, акчага әйләнәләр"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Хезмәтчеләрнең сүзләре белән,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Берәрсе дә начар булмаганга, елмаю тудырыргамы?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Юк, рәхмәт, көн саен чабата ашаумы?"
  Avoir un ventre usé par la marche ? une peau,"Авырлыкларга бирелеп йөрү, тире белән туклану"
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Кем тизрәк, тез урынына, пычрак була?"
  Exécuter des tours de souplesse dorsale ?. . .,"Өстәлгә көч өстәү өчен, әйдә? . . ."
"  Non, merci. D'une main flatter la chèvre au cou","Бер кулым белән кәҗәне муенына кысып,"
"  Cependant que, de l'autre, on arrose le chou,","Ләкин икенчесе белән кәбестәнең суын куйсак,"
"  Et, donneur de séné par désir de rhubarbe,",Вә ул хатыннар чәчәк аткан кызлардыр.
"  Avoir son encensoir, toujours, dans quelque barbe ?",Аның хуш исле сумала яндыручысын һәрвакыт ниндидер сакаллы хәлдә тоту?
"  Non, merci ! Se pousser de giron en giron,","Юк, рәхмәт, әйләнә-тирәгә күчәбез."
"  Devenir un petit grand homme dans un rond,","Бер түгәрәктә кечкенә зур кеше булып китү,"
"  Et naviguer, avec des madrigaux pour rames,",Дәхи кораблар белән кораблар коралы белән йөриләр.
  Et dans ses voiles des soupirs de vieilles dames ?,Ә аның каплавында карт хатыннарның сукыравы?
"  Non, merci ! Chez le bon éditeur de Sercy","Юк, рәхмәт, яхшы Серси редакциясендә."
"  Faire éditer ses vers en payant ? Non, merci !","- Ә бит, акча түләп, аның шигырьләрен язарга куштылармы?"
  S'aller faire nommer pape par les conciles,Пап булып сайлану турында киңәшләр
  Que dans des cabarets tiennent des imbéciles ?,Бу кабинетларда акылсызлар тотканы турында нәрсә әйтеп була?
"  Non, merci ! Travailler à se construire un nom",Үз исемеңне булдыру өстендә эшлә.
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",Бер саңгыраудан башка саңгыраулар ясаргамы?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Талантны тик сазлыкларда гына табаргамы?
"  Être terrorisé par de vagues gazettes,","Газеталар белән куркып,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Һәм үземә гел: ""Әгәр мин"
  Dans les petits papiers du Mercure François ?. . .,Меркурий Францискның кечкенә кәгазьләрендәме? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Юк, рәхмәт, хисаплау, курку, күңелсезлек,"
"  Aimer mieux faire une visite qu'un poème,","Шигырьдән дә сәяхәтне күбрәк яратырга,"
"  Rédiger des placets, se faire présenter ?","Слайдлар язарга, үзеңне танытырга?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Юк, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт"
"  Rêver, rire, passer, être seul, être libre,","Хыяллар, көлүләр, үтеп барулар, ялгыз булу, ирекле булу,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Күзләрең яхшы күрсен, тавышың тетрәсен,"
"  Mettre, quand il vous plaît, son feutre de travers,","Әгәр теләсәгез, үз хисләрен үзгәртеп куегыз,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","""Әйе"" өчен, ""юк"" өчен, сугышырга, яки ""тумырка ясарга!"""
"  Travailler sans souci de gloire ou de fortune,","Эшләгез, данга һәм байлыкка омтылмагыз,"
"  A tel voyage, auquel on pense, dans la lune !",Айга шундый сәяхәткә!
"  N'écrire jamais rien qui de soi ne sortît,","Үз-үзеңнән чыкмаган бернәрсә дә язма,"
"  Et modeste d'ailleurs, se dire: mon petit,","Һәм тыйнак, үз-үзенә: ""Минем балам,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Ул чәчәкләргә, җимешләргә, хәтта яфракларга да шатлана."
  Si c'est dans ton jardin à toi que tu les cueilles !,Әгәр син аларны үз бакчаңда җыясың икән!
"  Puis, s'il advient d'un peu triompher, par hasard,","Әгәр ул кәфернең җиңүе аз булса да,"
"  Ne pas être obligé d'en rien rendre à César,",Сез кайсарга бернәрсә дә бирергә мәҗбүр түгелсез.
"  Vis-à-vis de soi-même en garder le mérite,","Үз-үзеңә карата, үз-үзеңә карата,"
"  Bref, dédaignant d'être le lierre parasite,","Кыскасы, мин паразит лирикасы булудан баш тартканга,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Без дуга яки җилкә түгелбез,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Югарыга күтәрелмәскә мөмкин, ләкин үзеңне генә!"
LE BRET:,БЕРЕК:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Берүзе генә булса да, барысына да каршы түгел!"
  As-tu donc contracté la manie effroyable,Әйә синдә куркучы вә вәсвәсә бармы?
"  De te faire toujours, partout, des ennemis ?",Һәр җирдә дошманнар ясарга?
CYRANO:,КИРАН:
"  A force de vous voir vous faire des amis,","Сезне дуслар итеп күргәч,"
"  Et rire à ces amis dont vous avez des foules,","Һәм күп дусларыңа көләсең,"
  D'une bouche empruntée au derrière des poules !,Авыр тавыклар артына сузылган авыз белән!
"  J'aime raréfier sur mes pas les saluts,","Мин аякларым белән сәламләүләрне бик сирәк язам,"
  Et m'écrie avec joie: un ennemi de plus !,"""Күңелгә шатланып кычкырыгыз: тагын бер дошман!"
LE BRET:,БЕРЕК:
  Quelle aberration !,Нинди гадәти хәл !
CYRANO:,КИРАН:
"  Eh bien, oui, c'est mon vice.","Әйе, бу минем начарлыгым."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Мин үземне яратмыйм, ә мин үземне яратмыйм."
"  Mon cher, si tu savais comme l'on marche mieux","Яраткан, әгәр син ничек яхшырак йөри белсәң"
  Sous la pistolétade excitante des yeux !,Күзләрнең куәтле гәүдәсе астында!
"  Comme, sur les pourpoints, font d'amusantes taches","Ничек, күрсәткечләр, кызыклы таплар ясарга"
  Le fiel des envieux et la bave des lâches !,Көнчелекчелләрнең ачысы һәм куркакларның ачысы!
"  --Vous, la molle amitié dont vous vous entourez,","- Сез, үзегезне яклаган дуслар,"
"  Ressemble à ces grands cols d'Italie, ajourés","Бу зур Италия борылышлары кебек, кичектерелгән"
"  Et flottants, dans lesquels votre cou s'effémine:",Дәхи сезнең муеннарыгызда йөзеп йөрүче кораблар бардыр.
"  On y est plus à l'aise. . .et de moins haute mine,","Без анда уңайлырак. . . һәм югарылыгы аз,"
"  Car le front n'ayant pas de maintien ni de loi,",Чөнки битлекнең тәртипләре һәм кануннары юк.
"  S'abandonne à pencher dans tous les sens. Mais moi,",Ул һәр якка караудан баш тарта.
"  La Haine, chaque jour, me tuyaute et m'apprête",Көн саен нәфрәт мине пычрата һәм пычрата
  La fraise dont l'empois force à lever la tête;,Җиләкнең агусы башын күтәреп торырга мәҗбүр итә.
  Chaque ennemi de plus est un nouveau godron,Һәр дошман - яңа бозау .
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Ул миңа кайгы - хәсрәт өстәп, яктылык өсти."
"  Car, pareille en tous points à la fraise espagnole,","Чөнки, һәрьяклап, испан җиләге кебек,"
"  La Haine est un carcan, mais c'est une auréole !","Нәфрәт - коры җирәнгеч, әмма ул - ареол!"
"LE BRET (après un silence, passant son bras sous le sien):","ТЫШЛЫК (сулышсызлык, кул астында кулларын уздырудан соң):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Горурны югары күтәр, ә үткенне түбәнсетә,"
  Dis-moi tout simplement qu'elle ne t'aime pas !,"Әйт кенә бир, ул сине яратмый!"
CYRANO (vivement):,СИРАНО (төшүче):
  Tais-toi !,Тынмык!
