Scène 2.VIII.,2.8వ దశ.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","కుడి మరియు ఎడమ వైపున కూర్చొని ఉన్న సీరోనో, లెట్, జూనియర్స్"
et auxquels on sert à boire et à manger.,"మరియు వారికి తిండి, త్రాగడానికి సేవలు కల్పిస్తారు."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,సిరానో (అతను బయటికి వచ్చిన వారిని గౌగనమైన గాలితో వందనం చేస్తూ):
  Messieurs. . .Messieurs. . .Messieurs. . .,మిస్టర్స్. . . మిస్టర్స్. . . మిస్టర్స్. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
"LE BRET (désolé, redescendant, les bras au ciel):","బ్రెట్ (నవ్వు, తిరిగి, చేతులు ఆకాశంలో):"
  Ah ! dans quels jolis draps.,"ఆ, ఎంత అందమైన దుస్తులు."
CYRANO:,సిరానో:
  Oh ! toi ! tu vas grogner !,"ఓహ్, మీరు! మీరు గర్గుస్తారు!"
LE BRET:,బ్రీట్ః
"  Enfin, tu conviendras","చివరకు, మీరు సరిపోతుంది"
"  Qu'assassiner toujours la chance passagère,","అదృష్టం ఎప్పుడూ హత్య,"
  Devient exagéré.,ఇది చాలా పెద్దది.
CYRANO:,సిరానో:
"  Hé bien oui, j'exagère !","అవును, నేను చాలా ఎక్కువ మాట్లాడుతున్నాను!"
LE BRET (triomphant):,గెలిచిన వంకాయః
  Ah !,ఆహా!
CYRANO:,సిరానో:
"  Mais pour le principe, et pour l'exemple aussi,","కానీ సూత్రం కోసం, మరియు ఉదాహరణ కోసం కూడా,"
  Je trouve qu'il est bon d'exagérer ainsi.,నేను ఈ విధంగా అతిశయోక్తి చేయడం మంచిది అని భావిస్తున్నాను.
LE BRET:,బ్రీట్ః
"  Si tu laissais un peu ton âme mousquetaire,","నీ ఆత్మను కొంచెం మస్కీగా వదిలేస్తే,"
  La fortune et la gloire. . .,"ధనము, కీర్తి. . ."
CYRANO:,సిరానో:
  Et que faudrait-il faire ?,మరి మనం ఏమి చేయాలి?
"  Chercher un protecteur puissant, prendre un patron,","ఒక శక్తివంతమైన రక్షకుని కోసం వెతకడం, ఒక యజమానిని ఎంచుకోవడం,"
  Et comme un lierre obscur qui circonvient un tronc,మరియు ఒక చెట్టు చుట్టూ చీకటి లియర్ వంటి
"  Et s'en fait un tuteur en lui léchant l'écorce,","ఆ తర్వాత ఆ చెట్టును కత్తిరించేవాడు, ఆ చెట్టును కాచుకునేవాడు."
  Grimper par ruse au lieu de s'élever par force ?,బలవంతంగా ఎక్కడానికి బదులుగా మోసపూరితంగా ఎక్కడం?
"  Non, merci. Dédier, comme tous il le font,","లేదు, ధన్యవాదాలు. ప్రతి ఒక్కరూ చేసే విధంగా,"
  Des vers aux financiers ? se changer en bouffon,"చెమటలు నుండి ఆర్థికవేత్తల వరకు, చెమటలుగా మారడం"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","ఒక మంత్రి నోటితో చూడాలని నిరుత్సాహంగా ఆశతో,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","చివరకు, ఒక నవ్వు పుట్టడానికి, ఎవరు కాదు దుర్మార్గపు?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",ప్రతిరోజూ పచ్చబొట్టు భోజనం?
  Avoir un ventre usé par la marche ? une peau,నడుస్తున్నప్పుడు కడుపును కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపుతో కడుపు
"  Qui plus vite, à l'endroit des genoux, devient sale ?","ఎవరు తొందరగా, మోకాలు స్థానంలో, మురికి అవుతుంది?"
  Exécuter des tours de souplesse dorsale ?. . .,వెన్నునొప్పిని తగ్గించుకోవటానికి? . . .
"  Non, merci. D'une main flatter la chèvre au cou",ఒక చేతితో మేకను మెచ్చుకుంటూ
"  Cependant que, de l'autre, on arrose le chou,","అయితే, మరొకటి నుండి మేము క్యాబేజీని నీరు పోయాలి,"
"  Et, donneur de séné par désir de rhubarbe,",మరియు (అల్లాహ్) తన కోరికల కారణంగా (అల్లాహ్కు) రుతుపవనాల కల్పన చేసేవారిని కూడా.
"  Avoir son encensoir, toujours, dans quelque barbe ?",తన ద్రాక్షారసం ఎప్పుడూ ఒక కడుపులో ఉందా?
"  Non, merci ! Se pousser de giron en giron,","లేదు, ధన్యవాదాలు."
"  Devenir un petit grand homme dans un rond,","ఒక రౌండ్ లో ఒక చిన్న పెద్ద మనిషి మారింది,"
"  Et naviguer, avec des madrigaux pour rames,","మరియు సముద్రపు నౌకలను, రామ్ల కోసం మడ్రిగల్స్ తో,"
  Et dans ses voiles des soupirs de vieilles dames ?,మరియు అతని పారవేయడం పాత మహిళల శ్వాసలు?
"  Non, merci ! Chez le bon éditeur de Sercy",సర్సీకి చెందిన సంచికకు.
"  Faire éditer ses vers en payant ? Non, merci !",డబ్బులు చెల్లించి తన పువ్వులను సవరించుకోవాలా?
  S'aller faire nommer pape par les conciles,పోప్గా ఎన్నికయ్యేందుకు పోప్గా ఎన్నికయ్యేందుకు పోప్గా ఎన్నికయ్యేందుకు పోప్గా ఎన్నికయ్యేందుకు పోప్గా ఎన్నికయ్యేందుకు పోప్గా ఎన్నికయ్యేందుకు పోప్గా ఎన్నికయ్యారు
  Que dans des cabarets tiennent des imbéciles ?,ఇబ్బందికరమైన బూట్లు లో మూర్ఖులు ఉంచడానికి?
"  Non, merci ! Travailler à se construire un nom",నా పేరును సంపాదించుకోవడానికి కృషి చేస్తాను
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","ఒక బ్లూపెట్ మీద, మరికొన్ని బ్లూపెట్ల మీద?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,ధన్యవాదాలు. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
"  Être terrorisé par de vagues gazettes,","వార్తాపత్రికల ద్వారా భయపడటం,"
"  Et se dire sans cesse: Oh, pourvu que je sois","మరియు ఎప్పుడూ ఆలోచిస్తూః ""ఓహ్, నేను ఉంటే"
  Dans les petits papiers du Mercure François ?. . .,మెర్కురా ఫ్రాన్సిస్ పత్రికల్లో? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","లేదు, ధన్యవాదాలు. లెక్కించడం, భయపడటం, మూర్ఖత్వం,"
"  Aimer mieux faire une visite qu'un poème,",కవిత కంటే సందర్శన అంటే ఇష్టం.
"  Rédiger des placets, se faire présenter ?",మీరు మీ గురించి వ్రాయాలనుకుంటున్నారా?
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","లేదు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు"
"  Rêver, rire, passer, être seul, être libre,","కలలు కనేది, నవ్వుకునేది, దాటిపోయేది, ఒంటరిగా ఉండటం, స్వేచ్ఛగా ఉండటం,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","కంటిని బాగా చూడటం, వాయిస్ను బాగా కదిలించడం,"
"  Mettre, quand il vous plaît, son feutre de travers,","మీరు కోరుకున్నప్పుడు, ఆమె భావన తప్పుగా ఉంచండి,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","అవును కోసం, కాదు కోసం, పోరాడటానికి, - లేదా ఒక పురుగు చేయడానికి!"
"  Travailler sans souci de gloire ou de fortune,",కీర్తి లేదా సంపద కోసం వెతుకుతూ పని చేయకండి.
"  A tel voyage, auquel on pense, dans la lune !",చంద్రుడిపై మనస్సులో ఉన్న ప్రయాణం.
"  N'écrire jamais rien qui de soi ne sortît,","మీ నుండి బయటకు రాకుండా ఎప్పుడూ వ్రాయవద్దు,"
"  Et modeste d'ailleurs, se dire: mon petit,","మరియు వినయపూర్వకంగా, ""నా చిన్నారి,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","పువ్వులు, పండ్లు, ఆకులు కూడా."
  Si c'est dans ton jardin à toi que tu les cueilles !,మీ తోటలో మీరు వాటిని సేకరించినట్లయితే!
"  Puis, s'il advient d'un peu triompher, par hasard,","అప్పుడు, అతను కొంచెం విజయం సాధిస్తే, అతను అరుదుగా,"
"  Ne pas être obligé d'en rien rendre à César,","""నీకు కైసరుకు ఏదైనా ఇవ్వాల్సిన అవసరం లేదు."
"  Vis-à-vis de soi-même en garder le mérite,","తనను తాను గౌరవించేందుకు,"
"  Bref, dédaignant d'être le lierre parasite,","ఒక మాటలో చెప్పాలంటే, నేను పరాన్నజీవి లిర్రే అని తిరస్కరించడం,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","మనం ఓక్ చెట్టు లేదా చెక్కతో కూడిన చెక్క కాకపోయినా,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","బహుశా చాలా ఎత్తుకు ఎక్కిపోదు, కానీ ఒంటరిగా!"
LE BRET:,బ్రీట్ః
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","ఒంటరిగా, కానీ అందరితో కాదు."
  As-tu donc contracté la manie effroyable,"""అయితే, నీవు భయంకరమైన మానియాతో బాధపడుతున్నావా?"
"  De te faire toujours, partout, des ennemis ?",ప్రతిచోటా శత్రువులను సంపాదించడం?
CYRANO:,సిరానో:
"  A force de vous voir vous faire des amis,","మీరు స్నేహితులుగా మారడం చూసి,"
"  Et rire à ces amis dont vous avez des foules,","మరియు మీరు గుంపులు కలిగి ఉన్న ఈ స్నేహితులు నవ్వుతూ,"
  D'une bouche empruntée au derrière des poules !,ఒక నోరు కోళ్లు వెనుక నుండి తీసుకున్న!
"  J'aime raréfier sur mes pas les saluts,","నా అడుగుల మీద నేను అరుదుగా వందనాలు చెప్పడం ఇష్టం,"
  Et m'écrie avec joie: un ennemi de plus !,మరియు నాకు సంతోషంతో కేకలుః మరొక శత్రువు!
LE BRET:,బ్రీట్ః
  Quelle aberration !,ఎంత వికారమైనది!
CYRANO:,సిరానో:
"  Eh bien, oui, c'est mon vice.","అవును, ఇది నా వైవిధ్యం."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,నేను తిరగడం చాలా ఇష్టం. నన్ను ద్వేషించడం నాకు చాలా ఇష్టం.
"  Mon cher, si tu savais comme l'on marche mieux","నా ప్రియమైన, మీరు ఎలా నడిచే better తెలుసు ఉంటే"
  Sous la pistolétade excitante des yeux !,కళ్ళు కడుపుతో చూస్తూనే ఉంది.
"  Comme, sur les pourpoints, font d'amusantes taches","ఎలా, సూచనలు న సరదాగా మచ్చలు"
  Le fiel des envieux et la bave des lâches !,"అసూయగలవారి దుఃఖము, వీరగుణము!"
"  --Vous, la molle amitié dont vous vous entourez,","-మీ చుట్టూ ఉన్న మృదువైన స్నేహం,"
