Scène 2.VIII.,Pangyayari 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Si Cyrano, si Bret, ang mga batang lalaki, na nakaupo sa kaliwa at kanan"
et auxquels on sert à boire et à manger.,at kanilang ginagamit upang kumain at uminom.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (nagpaalam ng isang pag-aalinlangan sa mga lumabas nang hindi tumigil):
  Messieurs. . .Messieurs. . .Messieurs. . .,Mga Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Panginoong Pangino
"LE BRET (désolé, redescendant, les bras au ciel):","Ang BRET (masaktan, bumaba, ang mga kamay sa langit):"
  Ah ! dans quels jolis draps.,Ah! sa mga magandang palapag.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, ikaw! Ikaw ay nag-uugong!"
LE BRET:,Ang BROTH:
"  Enfin, tu conviendras","Sa wakas, ikaw ay magiging okay"
"  Qu'assassiner toujours la chance passagère,","Na laging nagsasaklang ng kapana-panahong pagkakataon,"
  Devient exagéré.,Nagiging labis.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Oo, nag-exaggerate ako!"
LE BRET (triomphant):,Ang PANGALALALIN:
  Ah !,Ah! - Ano ba 'yo?
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Ngunit para sa prinsipyo, at para sa halimbawa din,"
  Je trouve qu'il est bon d'exagérer ainsi.,Sa palagay ko mabuti na mag-exaggerate sa ganoong paraan.
LE BRET:,Ang BROTH:
