Scène 2.VIII.,สถานที่ 2 - 8
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","ไซราโน่, เลบีท, เด็กๆ ที่นั่งอยู่ทางขวาและทางซ้าย"
et auxquels on sert à boire et à manger.,และพวกเขาได้รับการบริการให้ดื่มและกิน
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,ซิราน (ทักทายผู้ออกไปโดยไม่กล้าทักทายด้วยเสียงกริ้ว)
  Messieurs. . .Messieurs. . .Messieurs. . .,ท่านทั้งหลาย ท่านทั้งหลาย ท่านทั้งหลาย
"LE BRET (désolé, redescendant, les bras au ciel):","BRET (เสียใจ, ลําลง, มือขึ้นไปยังฟ้า):"
  Ah ! dans quels jolis draps.,โอ้! ในผ้าที่สวยงามมาก
CYRANO:,ไซราโน่
  Oh ! toi ! tu vas grogner !,โอ้ คุณ! คุณจะหงุดหงุด
LE BRET:,ผี:
"  Enfin, tu conviendras",ในที่สุดคุณก็คงจะยอม
"  Qu'assassiner toujours la chance passagère,",ที่ฆ่าโชคชะตาตลอดเวลา
  Devient exagéré.,มันดูจะอร่อยไป
CYRANO:,ไซราโน่
"  Hé bien oui, j'exagère !",ใช่ ฉันพูดเกินกว่าที่ควร
LE BRET (triomphant):,แผ่น (ชัยชนะ):
  Ah !,โอ้!
CYRANO:,ไซราโน่
"  Mais pour le principe, et pour l'exemple aussi,",แต่สําหรับหลักฐาน และตัวอย่างเช่นกัน
  Je trouve qu'il est bon d'exagérer ainsi.,ผมว่ามันดีที่จะอ้างอิงอย่างนี้
LE BRET:,ผี:
"  Si tu laissais un peu ton âme mousquetaire,",ถ้าเจ้าปล่อยให้จิตใจของเจ้าเป็นตัวลดตัว
  La fortune et la gloire. . .,ความร่ํารวยและความทรงเกียรติ . . .
CYRANO:,ไซราโน่
  Et que faudrait-il faire ?,แล้วเราต้องทํายังไง?
"  Chercher un protecteur puissant, prendre un patron,",หาผู้คุ้มครองที่แข็งแรง หาเจ้านาย
  Et comme un lierre obscur qui circonvient un tronc,และเป็นลักษณะของกระดานที่มืดครึ้งรอบตัวกระดาน
"  Et s'en fait un tuteur en lui léchant l'écorce,",และเขาได้ทําตัวเป็นผู้ปกป้องเขา โดยการลัดผิวหนังเขา
  Grimper par ruse au lieu de s'élever par force ?,นั่งขึ้นด้วยวิธีที่ไม่ถูกต้อง
"  Non, merci. Dédier, comme tous il le font,",ไม่ ขอบคุณครับ การมอบหมาย เหมือนทุกๆคน
  Des vers aux financiers ? se changer en bouffon,จากเวิร์มไปยังเงิน
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",ในความหวังที่น่าสงสารที่จะเห็น ในปากของรัฐมนตรี
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",การสร้างรอยยิ้มที่ไม่น่ากลัว
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",ไม่ ขอบคุณ คุณกินอาหารกลางวันทุกวันด้วยกระเทียม
  Avoir un ventre usé par la marche ? une peau,มีท้องเสียจากการเดิน
"  Qui plus vite, à l'endroit des genoux, devient sale ?",ใครจะอึดอึเร็วที่สุดที่เข่า?
  Exécuter des tours de souplesse dorsale ?. . .,การออกแบบแบบยืดหยุ่นหลัง
"  Non, merci. D'une main flatter la chèvre au cou",ไม่ ขอบคุณครับ ด้วยมือเดียว
"  Cependant que, de l'autre, on arrose le chou,",แต่ถ้าเราฝังฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝักฝ
"  Et, donneur de séné par désir de rhubarbe,",และที่ให้มะเข่าด้วยความปรารถนาของหมี
"  Avoir son encensoir, toujours, dans quelque barbe ?",มีเครื่องเพลิงของเขาอยู่ตลอดเวลา ในหางสักครั้ง
"  Non, merci ! Se pousser de giron en giron,",ไม่ ขอบคุณครับ ยิ่งไปอีกรอบ
"  Devenir un petit grand homme dans un rond,",การกลายเป็นชายขนาดใหญ่ในวง
"  Et naviguer, avec des madrigaux pour rames,",และเรือที่ใช้เรือลําปาง
  Et dans ses voiles des soupirs de vieilles dames ?,และในผ้าใบของเขา มีเสียงร้องไห้ของผู้หญิงแก่ๆ
"  Non, merci ! Chez le bon éditeur de Sercy",ไม่ ขอบคุณครับ ผมไปหาผู้ประกาศของเซอร์ซี่
"  Faire éditer ses vers en payant ? Non, merci !",ให้คนเขียนเวิร์มด้วยค่าชําระ?
  S'aller faire nommer pape par les conciles,ไปรับตําแหน่งปาปาในสภา
  Que dans des cabarets tiennent des imbéciles ?,ที่พวกโง่ๆจะอยู่ในห้องพัก
"  Non, merci ! Travailler à se construire un nom",ไม่ ขอบคุณครับ ทํางานเพื่อสร้างชื่อเสียง
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",- ลงเสียงหนึ่งแทนที่จะทําเสียงอื่นๆ
