Scène 2.VIII.,ትዕይንት 2.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche",ሲራኖ፡ ብሬት፡ እቶም ኣብ የማንን ጸጋምን ዝጸንሑ መንእሰያት
et auxquels on sert à boire et à manger.,ንሳቶም ከኣ ይበልዑን ይሰትዩን እዮም።
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,ሲራኖ (ነቶም ብዘይምፍጣር ዚወጹ ብደሓን መጻእኩም)
  Messieurs. . .Messieurs. . .Messieurs. . .,ኣቱም ሰባት ኣቱም ሰባት ኣቱም ሰባት
"LE BRET (désolé, redescendant, les bras au ciel):",እቲ ብረት (ተጸበዩ፡ ናብ ሰማይ ወሪዱ፡ ኣእዳውኩም):
  Ah ! dans quels jolis draps.,ኣየ ኸመይ ዝበለ ጽብቕቲ ዕንጨይቲ!
CYRANO:,ሲራን፦
  Oh ! toi ! tu vas grogner !,ኦ! ንስኻ! ክትጭጭንቕ ኢኻ!
LE BRET:,እቲ ሓመድ
"  Enfin, tu conviendras",ኣብ መወዳእታ፡ ጽቡቕ ክትከውን ኢኻ
"  Qu'assassiner toujours la chance passagère,",እቲ ዘሕልፍ ዕድል ወትሩ ክቐትል
  Devient exagéré.,እዚ ብዙሕ እዩ ዚስምዓካ።
CYRANO:,ሲራን፦
"  Hé bien oui, j'exagère !",እወ፡ እዛሪ እየ!
LE BRET (triomphant):,እቲ ዓወት ዝረኸበ
  Ah !,ኣሃ!
CYRANO:,ሲራን፦
"  Mais pour le principe, et pour l'exemple aussi,",እቲ መርሕ፡ እቲ ኣብነት፡
  Je trouve qu'il est bon d'exagérer ainsi.,ከምዚ ኢልካ ምሕሳብ ጽቡቕ እዩ ኢለ እኣምን።
LE BRET:,እቲ ሓመድ
"  Si tu laissais un peu ton âme mousquetaire,",ንእሽቶ ነፍስኻ እንተ ትሐድገልካ፡
  La fortune et la gloire. . .,ሃብትን ክብረትን . . .
CYRANO:,ሲራን፦
  Et que faudrait-il faire ?,እንታይ ክንገብር ኣሎና፧
"  Chercher un protecteur puissant, prendre un patron,",ሓያል ሓላዪ ምርካብ፡ ሓለቓ ምርካብ፡
  Et comme un lierre obscur qui circonvient un tronc,ከም ጸልማት ሑጻ ኣብ ዙርያ ቝጽሩ
"  Et s'en fait un tuteur en lui léchant l'écorce,",ነቲ ቝርበት ብምልሳን፡ ሓላዪ ይገብሮ።
  Grimper par ruse au lieu de s'élever par force ?,ብሃይልኻ ዘይኰነስ ብጥበብ ክትዓርግ ዲኻ፧
"  Non, merci. Dédier, comme tous il le font,",ኣይመስለንን። ከምቲ ኩሉ ሰብ ዝገብሮ፡
  Des vers aux financiers ? se changer en bouffon,ካብ ጡብ ናብ ፋይናንስ፡ ናብ ዕሽሽ ይግበረሉ
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",ኣብ ቅድሚ ኣገልጋሊ ኣምላኽ፡
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",ከመይሲ፡ ሓደ ሰብ ሕሱም እንተ ዀይኑ፡ ፈገግታ ኺህቦ ይኽእል እዩ።
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",ኣይመስለንን። መዓልታዊ ምሳሕ ብዕራይ ትበልዕዶ፧
  Avoir un ventre usé par la marche ? une peau,ኣብ ጉዕዞኻ ዕንወት ዘለዎ ከብዲ
"  Qui plus vite, à l'endroit des genoux, devient sale ?",መን እዩ ቐልጢፉ፡ ኣብ ክንዲ ኣእጋሩ፡ ብጭካነ ዚመጽእ፧
  Exécuter des tours de souplesse dorsale ?. . .,ናይ ምምላእ ምጉትታዕ ምግባሩ? . . .
"  Non, merci. D'une main flatter la chèvre au cou",ኣይመስለንን፣ ብሓደ ኢድ ነቲ ኣጣል ኣብ ኣፍንጫኡ ምቅላዕ
"  Cependant que, de l'autre, on arrose le chou,",እቲ ኻልኣይ ግና ነቲ ቐሊሕ ማይ ይምሕሎ፣
"  Et, donneur de séné par désir de rhubarbe,",ንነፍሲ ወከፍ ሰብ ብጸጉር ባህጊ ኺውሃቦ ኸሎ፡
"  Avoir son encensoir, toujours, dans quelque barbe ?",እቲ ዕጣን ወትሩ ኣብ ገለ ጢምጢምካ ምስ እትነብር?
"  Non, merci ! Se pousser de giron en giron,",ኣይመስለንን! ካብ ሓደ ናብ ሓደ ክስደድ፡
"  Devenir un petit grand homme dans un rond,",ኣብ ሓደ ዙር ዓቢይ ንእሽቶ ሰብ ክኸውን፡
"  Et naviguer, avec des madrigaux pour rames,",ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመርከብ፡ ብመር
  Et dans ses voiles des soupirs de vieilles dames ?,ኣብ ውሽጢ መኣዝንኡ ድማ ናይ ኣረጊት ኣንስቲ ጩራታት ይርከብ።
"  Non, merci ! Chez le bon éditeur de Sercy",ኣይመስለንን!
"  Faire éditer ses vers en payant ? Non, merci !",ነቲ ጡፍታትካ ብገንዘብ ክትጽሕፎዶ፧ ኣይፋልን፣ ኣመስግነካ!
  S'aller faire nommer pape par les conciles,ጳጳስ ንምዃን ኣብ ጉባኤታት ኪውሰዱ
  Que dans des cabarets tiennent des imbéciles ?,ኣብ ቤት ጽሕፈት ዓሻታት ከም ዚሕዙ?
"  Non, merci ! Travailler à se construire un nom",ኣይመስለንን! ንስምካ ኽትሃንጽ ትጽዕር
