Scène 2.VIII.,Xifaniso xa vumbirhi xa vunhungu.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, vana lavatsongo lava tshameke exineneni ni le ximatsini"
et auxquels on sert à boire et à manger.,Va nyikiwa swakudya ni swakunwa.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (a xeweta lava humaka handle ko n'wi xeweta hi rito ra le henhla):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Vavanuna, vavanuna, vavanuna, vavanuna, vavanuna, vavanuna, vavanuna, vavanuna, vavanuna, vavanuna, vavanuna, vavanuna, vavanuna, vavanuna, vavanuna, vavanuna, vavanuna, vavanuna, vavanuna, vavanuna, vavanuna, vavanuna, vavanuna, vavanuna, vavanuna, vavanuna, vavanuna, vavanuna, vavanuna, vavanuna, vavanuna, vavanuna, vavanuna, va vavanuna, va vavanuna, va vavanuna, va vavanuna, va vavanuna, va vavanuna, va vavanuna, va vavanuna, va vavanuna, va vavanuna, va vavanuna, va vavanuna, va vavanuna, va vavanuna, va vavanuna, va vavanuna, va vavanuna, va vavanuna, va vavanuna, va vavanuna, va vavanuna, va vavanuna, va vavanuna, va vavanuna, va vavanuna, va vavasati, va vavasati, va vavasati, va vavasati, va vavasati, va vavasati, va vavasati, va vavasati,"
"LE BRET (désolé, redescendant, les bras au ciel):","RIRHANDZU (ri ri karhi ri rila, ri rhelela, ri tlakusela mavoko ehenhla):"
  Ah ! dans quels jolis draps.,A swi ri tano!
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,Wena u ta n'unun'uta!
LE BRET:,XIPHIQO:
"  Enfin, tu conviendras","Eku heteleleni, u ta swi kota ku endla tano"
"  Qu'assassiner toujours la chance passagère,","Ku dlaya nkarhi hinkwawo ku nga ha va ku ri nkarhi wa xinkarhana,"
  Devient exagéré.,Swi tikomba onge a swi twali.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Ina, ndzi hundzeleta swilo!"
LE BRET (triomphant):,MUHLOTI (loyi a hlulaka):
  Ah !,A swi tano!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Kambe eka nsinya wa nawu ni le ka xikombiso,"
  Je trouve qu'il est bon d'exagérer ainsi.,Ndzi vona swi ri swinene ku hundzeleta swilo hi ndlela leyi.
LE BRET:,XIPHIQO:
"  Si tu laissais un peu ton âme mousquetaire,","Loko a wu lo tshika moya-xiviri wa wena wu va lowu nga ni matimba,"
  La fortune et la gloire. . .,Rifuwo Ni Ku Dzuneka . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,"Kutani, xana a ku ta endliwa yini?"
"  Chercher un protecteur puissant, prendre un patron,","Ku lava nsirhelelo lowu nga ni matimba, ku kuma mufumi,"
  Et comme un lierre obscur qui circonvient un tronc,Ku fana ni xitshopana lexi nga ni munyama lexi rhendzeleke rimba
