Scène 2.VIII.,2.VIII sahne.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, ýaşlar, olar sag we çep tarapda oturdylar"
et auxquels on sert à boire et à manger.,Olar iýip-içýärler.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"CYRANO (ýola düşenleri salamlap, salamlaşmaga çekinýänleri salamlaýar):"
  Messieurs. . .Messieurs. . .Messieurs. . .,"Eý, jenaýatlar!"
"LE BRET (désolé, redescendant, les bras au ciel):","GÜÇÜN (ýas tut, aşak düş, göge guşlar):"
  Ah ! dans quels jolis draps.,Ah! nähili owadan ýapraklar.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Sen, sen gygyrarsyň!"
LE BRET:,GÜÇÜN:
"  Enfin, tu conviendras",Ahyrsoňy sen hem razy bolarsyň
"  Qu'assassiner toujours la chance passagère,",Men hemişe wagtlaýyn şadyýanlyk bilen öldürýärin.
  Devient exagéré.,Bu gaty köp.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Hawa, men gaty köp sözleýärin!"
LE BRET (triomphant):,GÜÇÝM (GÜÇÝM)
  Ah !,Ah !
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Emma prinsip we mysal üçin hem,"
  Je trouve qu'il est bon d'exagérer ainsi.,Men şeýle köpçüligiň gowudygyny duýýaryn.
LE BRET:,GÜÇÜN:
"  Si tu laissais un peu ton âme mousquetaire,","Eger sen öz janyňy birazdan goýsaň,"
  La fortune et la gloire. . .,Baýlyk we şan-şöhrat. . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Onda näme etmeli ?
"  Chercher un protecteur puissant, prendre un patron,","Güýçli goragçy gözle, baştutan edin,"
  Et comme un lierre obscur qui circonvient un tronc,Bir göwresini bürän garaňky ýaprak kimin
"  Et s'en fait un tuteur en lui léchant l'écorce,","Ol ony gurap, onuň göwresini ýuwup,"
  Grimper par ruse au lieu de s'élever par force ?,"Ýüregim bilen çykman, mekirlik bilen çykmakmy?"
"  Non, merci. Dédier, comme tous il le font,","Ýok, sag bol. Her kes ýaly, bagyş etmek"
  Des vers aux financiers ? se changer en bouffon,"Gyrgyşlardan pullara , ýowuzlara öwrüldi"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",Men bir gullukçanyň agzyndan görjek bolmagymy umydymyz bilen
