Scène 2.VIII.,"Chabwino, malo 2.VIII."
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, ŵana awo ŵakakhala kumalyero na kumazere"
et auxquels on sert à boire et à manger.,Ndipo ŵakumwa na kurya.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (wakatawuzga na mazgu ghachisisi awo ŵakufuma kwambura kumutawuzga):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu imwe, aŵanthu, aŵanthu, aŵanthu, aŵanthu, aŵ"
"LE BRET (désolé, redescendant, les bras au ciel):","(Salimo, kulondezga, mawoko kuchanya):"
  Ah ! dans quels jolis draps.,Mu vyakupimira vyapadera.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Iwe, ukulira!"
LE BRET:,MUTU:
"  Enfin, tu conviendras","Paumaliro, mukwenera kuchita makora."
"  Qu'assassiner toujours la chance passagère,","Kuti nyengo zose ukakomenge mwaŵi,"
  Devient exagéré.,Kweni sono ni nkhani yikuru chomene.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !",Nakuti nkhutemwa yayi kuyowoya nthena.
LE BRET (triomphant):,MUTU WAKUTEMBA:
  Ah !,Kasi vikenda wuli?
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Kweni pakuyowoya za fundo, na chakuwonerapo,"
  Je trouve qu'il est bon d'exagérer ainsi.,Nkhuwona kuti ntchiwemi chomene kudandawura nthena.
LE BRET:,MUTU:
"  Si tu laissais un peu ton âme mousquetaire,","Usange ungaleka mzimu wako wauswesi,"
  La fortune et la gloire. . .,Usambazi na uchindami . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Kasi tikwenera kuchita wuli?
"  Chercher un protecteur puissant, prendre un patron,","Kupenja munthu wankhongono wakuvikilira, kutora munthu uyo wakumuvikilira,"
  Et comme un lierre obscur qui circonvient un tronc,Nga ni thete lakudima ilo likung'anamura thete
"  Et s'en fait un tuteur en lui léchant l'écorce,",Ndipo wakujizgora mulinda wake na kumuluma khuni lake.
  Grimper par ruse au lieu de s'élever par force ?,Kasi mukukwera mwamahara m'malo mwa kukwera na nkhongono?
"  Non, merci. Dédier, comme tous il le font,","Kweni nkhupeleka, nga umo ŵanthu ŵanyake ŵakuchitira,"
  Des vers aux financiers ? se changer en bouffon,Kufumira ku vimbundi kuya ku ŵacumali?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Mu chigomezgo cha kuwona, mu milomo ya muteŵeti,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",Kasi munthu uyo wakuŵa na mtima wawakawaka wangaseka wuli?
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",Kasi mukurya chakurya cha muhanya na zuŵa?
  Avoir un ventre usé par la marche ? une peau,Kuŵa na nthumbo yakuvunda para ukuyenda
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Kasi ni njani uyo wakwamba kuŵa waswesi?
  Exécuter des tours de souplesse dorsale ?. . .,Kasi mukwenera kuchita maseŵero ghakukhozga msana? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Na woko limoza, nkhumulumbani mbuzi mu singo"
"  Cependant que, de l'autre, on arrose le chou,","Kweni para munthu wakuthira kabichi pa chiŵegha chinyake,"
"  Et, donneur de séné par désir de rhubarbe,",Ndipo wakuŵapa nthumbo na kukhumba mbembe.
"  Avoir son encensoir, toujours, dans quelque barbe ?",Kasi nyengo zose wakugura moto wa vyakununkhira mu chinjiko chake?
"  Non, merci ! Se pousser de giron en giron,",Nkhakhumbanga kuti munthu waŵe na chitima.
"  Devenir un petit grand homme dans un rond,","Kuŵa munthu mulara mu gulu,"
"  Et naviguer, avec des madrigaux pour rames,",Ndipo ŵakwenda pa nyanja na maboti gha sitima za mlengalenga.
  Et dans ses voiles des soupirs de vieilles dames ?,Ndipo mu visalu vyake mukaŵa mazgu gha ŵanakazi ŵachekuru?
"  Non, merci ! Chez le bon éditeur de Sercy","Yayi, nkhumuwongani, kwa Sercy, uyo ni mupharazgi muwemi."
"  Faire éditer ses vers en payant ? Non, merci !",Kasi mukukhumba kuti ŵanthu ŵamulemberani malemba?
  S'aller faire nommer pape par les conciles,Kuŵa Mupapa mu Nyumba za Ufumu
  Que dans des cabarets tiennent des imbéciles ?,Kasi mu nyumba za ŵanthu muli ŵanthu ŵambura mahara?
"  Non, merci ! Travailler à se construire un nom",Nkhukhumba kuti niŵe na mbiri yiwemi.
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",Kasi mulizgenge waka sumu yimoza m'malo mwa kupangaso zinyake?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Kasi vikulongora kuti munthu wakuwona maluso mu malo gha ŵanthu?
"  Être terrorisé par de vagues gazettes,","Kuŵa na wofi na nyuzipepara za mu charu,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Ndipo nyengo zose ukuyowoya kuti, 'Nadi, usange ningakhala"
  Dans les petits papiers du Mercure François ?. . .,Mu mabuku gha Mercury Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Kuchita maseŵera, kopa, kuŵa na maghanoghano ghaheni,"
"  Aimer mieux faire une visite qu'un poème,",Nkhutemwa kuluta ku malo ghakupwanthirapo kuluska nkhanira.
"  Rédiger des placets, se faire présenter ?","Kasi mungalemba mapepara, kujipeleka?"
