Scène 2.VIII.,2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, gençler, sağ ve sol tarafta oturanlar"
et auxquels on sert à boire et à manger.,Ve onlara yemek ve içecek servis edilir.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (sözü çıkıp durmayanları güldürerek selamlıyor):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar,"
"LE BRET (désolé, redescendant, les bras au ciel):","KURU (ağır, aşağıya, kolları gökyüzüne):"
  Ah ! dans quels jolis draps.,Ne güzel bir örtü.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Sen, çığlık atıyorsun!"
LE BRET:,- Kırmızı:
"  Enfin, tu conviendras","Sonunda, sen de kabul edeceksin."
"  Qu'assassiner toujours la chance passagère,","Sürekli geçici şansı öldürmek,"
  Devient exagéré.,Çok fazla ileriye doğru gidiyor.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Evet, ben çok fazla abartıyorum."
LE BRET (triomphant):,KARAN:
  Ah !,"Ah, ah!"
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Ama ilke için, örneği için de,"
  Je trouve qu'il est bon d'exagérer ainsi.,Böyle abartmak iyi bir şey.
LE BRET:,- Kırmızı:
"  Si tu laissais un peu ton âme mousquetaire,","Eğer birazcık ruhunuzu bırakırsanız,"
  La fortune et la gloire. . .,Zenginlik ve Şan. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Peki ne yapmalıyız?
"  Chercher un protecteur puissant, prendre un patron,","Güçlü bir koruyucu aramak, patron almak,"
  Et comme un lierre obscur qui circonvient un tronc,Ve bir gövdeyi kuşatan karanlık bir çubuk gibi
"  Et s'en fait un tuteur en lui léchant l'écorce,","Ve onu koruyan bir adam yapar, onun çığlığını yumurtar."
  Grimper par ruse au lieu de s'élever par force ?,Güçle tırmanmak yerine hile mi yapıyorsunuz?
"  Non, merci. Dédier, comme tous il le font,","Hayır, teşekkürler."
  Des vers aux financiers ? se changer en bouffon,# Solucanlardan finansyalara # # # bir sersem haline gelmeye #
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Bir bakanın ağzından, görmeyi ümit ederek,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Neyse ki, sinsi olmayan bir gülümsemek doğurmak mı?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Hayır, teşekkürler, her gün bir kurbağa yemek mi?"
  Avoir un ventre usé par la marche ? une peau,"Yürüyüşte karnın yıpranması, derisi bozulması"
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Kökleri en hızlı kirlenmiş olan kim?
  Exécuter des tours de souplesse dorsale ?. . .,Sırtın Dönüştürücü Dönüşleri Yapmak mı? . . .
"  Non, merci. D'une main flatter la chèvre au cou",Tek bir elle keçi boynuna takmak
"  Cependant que, de l'autre, on arrose le chou,","Ama diğerinden, su sularak,"
"  Et, donneur de séné par désir de rhubarbe,","Ve rübbe arzusundan,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Her zaman sakalında tütsü var mı?
"  Non, merci ! Se pousser de giron en giron,","Hayır, teşekkürler."
"  Devenir un petit grand homme dans un rond,","Bir yuvarlakta küçük büyük bir adam olmak,"
"  Et naviguer, avec des madrigaux pour rames,","Ve denizde, deniz kaymakları ile,"
  Et dans ses voiles des soupirs de vieilles dames ?,Ve onun yelpazesinde yaşlı kadınların sızıntıları mı var?
"  Non, merci ! Chez le bon éditeur de Sercy","Hayır, teşekkürler, Sercy'nin doğru editörüne."
"  Faire éditer ses vers en payant ? Non, merci !",- Parayı vererek yazısını düzenlemesini mi?
  S'aller faire nommer pape par les conciles,Papa Adıyla Tanımak
  Que dans des cabarets tiennent des imbéciles ?,Kafetlerde aptallar mı var?
"  Non, merci ! Travailler à se construire un nom",Kendine bir isim yaratmaya çalışıyorum.
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",Başka bir sonnet yapmaktansa?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Sadece mazlûmlarda yetenekler keşfetmek mi?
"  Être terrorisé par de vagues gazettes,","Gazetelerden korkutulmak,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Ve sürekli şöyle düşünüyorsun: ""Ah, eğer ben olsaydım"
  Dans les petits papiers du Mercure François ?. . .,Merkur Francis'in küçük kağıtlarında?
"  Non, merci ! Calculer, avoir peur, être blême,","Hesaplama, korku, akılsızlık."
"  Aimer mieux faire une visite qu'un poème,","Bir şiirden daha çok ziyaret yapmayı sevmek,"
"  Rédiger des placets, se faire présenter ?","- Bir şeyler yazmak, kendini göstermek?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Hayır, teşekkürler, hayır, teşekkürler, hayır, teşekkürler ama şarkı söyleyin,"
"  Rêver, rire, passer, être seul, être libre,","Rüya görmek, gülmek, geçmek, yalnız olmak, özgür olmak,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Gözün iyi görmesi, sesinin titreşişi,"
"  Mettre, quand il vous plaît, son feutre de travers,","Her zaman istediğiniz zaman, kendi duygularını değiştirin."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Evet için, hayır için, dövüşmek için, ya da bir solucan yapmak için!"
"  Travailler sans souci de gloire ou de fortune,",İhtişam ve servet için endişelenmeyin.
"  A tel voyage, auquel on pense, dans la lune !",Ay'a bir yolculuk gibi.
"  N'écrire jamais rien qui de soi ne sortît,",Kendiliğinden çıkmayan hiçbir şeyi asla yazma.
"  Et modeste d'ailleurs, se dire: mon petit,","Ve haddini bilir, ""Oğlum,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Çiçeklerle, meyvelerle, hatta yapraklarla bile doyurulur."
  Si c'est dans ton jardin à toi que tu les cueilles !,"Eğer bahçenizdedirse, onları toplarsın."
"  Puis, s'il advient d'un peu triompher, par hasard,","Sonra da, eğer bir az da olsa üstün gelirse,"
"  Ne pas être obligé d'en rien rendre à César,",""" Sezar'a ödeme yapmak zorunda değilsin."
"  Vis-à-vis de soi-même en garder le mérite,","Kendine karşı, onun mertibini tutmak için,"
"  Bref, dédaignant d'être le lierre parasite,","Kısacası, parazit bir lir olmak için hor görülen,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Ne oak ne de çimdik olsak bile,"
"  Ne pas monter bien haut, peut-être, mais tout seul !",Belki de yüksek bir yere çıkmaz ama tek başına!
LE BRET:,- Kırmızı:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",Tek başına olabilir ama herkesin karşısında değil.
  As-tu donc contracté la manie effroyable,Bu yüzden korkunç bir manaya mı düştün?
"  De te faire toujours, partout, des ennemis ?",Her yerde düşman yapmak mı?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Arkadaşlık yaptığınızı görmekten dolayı,"
"  Et rire à ces amis dont vous avez des foules,","Ve kalabalık arkadaşlarınızla gülünce,"
  D'une bouche empruntée au derrière des poules !,- Tavukların arkasından ödünç alınan bir ağız!
"  J'aime raréfier sur mes pas les saluts,",Ben ayaklarımda selamlar vermekten hoşlanırım.
  Et m'écrie avec joie: un ennemi de plus !,Bana sevinçle bağır: Bir düşman daha!
LE BRET:,- Kırmızı:
  Quelle aberration !,Ne kadar da çılgınca!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Evet, benim suçum."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,- Korkma zevkimdir.
"  Mon cher, si tu savais comme l'on marche mieux","# Sevgilim, eğer daha iyi yürümemiş olsaydın #"
  Sous la pistolétade excitante des yeux !,Gözlerin heyecanlı silahlı hali altında!
"  Comme, sur les pourpoints, font d'amusantes taches",- Nasıl eğlenceli noktaları yapıyorlar?
  Le fiel des envieux et la bave des lâches !,Kıskançların şişmanlığı ve korkakların şişmanlığı!
"  --Vous, la molle amitié dont vous vous entourez,","- Sen, etrafında bulunan yumuşak dostluk,"
"  Ressemble à ces grands cols d'Italie, ajourés","İtalya'nın büyük boyunları gibi,"
"  Et flottants, dans lesquels votre cou s'effémine:","Boynunuzun kaynamasıyla yüzenler,"
"  On y est plus à l'aise. . .et de moins haute mine,",Daha rahat ve daha yüksek bir duruş.
"  Car le front n'ayant pas de maintien ni de loi,","Çünkü öbür tarafın bir düzen ve bir kanun olmadığı için,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Her yönü incelemekten vazgeçer.
"  La Haine, chaque jour, me tuyaute et m'apprête","Nefret, her gün beni seviyor ve hazırlıyor."
