Scène 2.VIII.,Ade a ɛto so abien:
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, mmofra a wɔtenaa nifa ne benkum"
et auxquels on sert à boire et à manger.,na wɔsom wɔn ma wodi na wɔnom.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (nea ɔde animguase kasae kyerɛɛ wɔn a wofi adi no a wɔantumi ankyia no):
  Messieurs. . .Messieurs. . .Messieurs. . .,Awurade...awurade...awurade...awurade...
"LE BRET (désolé, redescendant, les bras au ciel):","Ɔde ne nsa si fam, na ɔsan kɔ soro."
  Ah ! dans quels jolis draps.,Ah! Hwɛ sɛnea ɛyɛ fɛ sɛ woatumi ayɛ saa!
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Wo de, wobɛtumi ahuru!"
LE BRET:,ƆWƐN:
"  Enfin, tu conviendras","Awiei koraa no, wobɛpene so"
"  Qu'assassiner toujours la chance passagère,","Sɛ wo ne wo hokafo di asi a, na ɛyɛ wo dɛ sɛ wo ne no di asi."
  Devient exagéré.,"Ɛfiri sɛ, na ɔredi yaw."
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Ɛhɛe, mebɔ mɔdenle kɛ mebahola mealie bɛ meahɔ zo."
LE BRET (triomphant):,ƆKYERƐN (Ɔdi nkonim):
  Ah !,Ah! Ah!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Nanso, asɛm no ne nhwɛso no nyinaa,"
  Je trouve qu'il est bon d'exagérer ainsi.,"Sɛ obi yɛ saa a, ɛyɛ papa sɛ ɔde ne ho hyɛ mu."
LE BRET:,ƆWƐN:
"  Si tu laissais un peu ton âme mousquetaire,","Sɛ wode wo kra a ɛyɛ nkekantwɛre no kyɛ kakra a,"
  La fortune et la gloire. . .,Ahonyade ne Anuonyam . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Dɛn na ɛsɛ sɛ yɛyɛ?
"  Chercher un protecteur puissant, prendre un patron,","Hwehwɛ ɔhoɔdenfo a ɔwɔ tumi, nya ɔhokafo,"
  Et comme un lierre obscur qui circonvient un tronc,Na sɛ sumina a ɛbɔ ne ntini ho ban
"  Et s'en fait un tuteur en lui léchant l'écorce,","Na ɔde ne ho yɛɛ nea ɔhwɛ no, na ɔtwee ne nhwiren,"
  Grimper par ruse au lieu de s'élever par force ?,"Sɛ́ anka wobɛyɛ wo ho sɛ wobɛforo no, ɛyɛ a wode wo ho hyɛ mu anaa?"
"  Non, merci. Dédier, comme tous il le font,","Sɛ obi de ne ho hyɛ Onyankopɔn nsa a, ɔbɛtumi ayɛ saa."
  Des vers aux financiers ? se changer en bouffon,Efi nwura kɔ sikasɛm mu?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Wɔhwɛ kwan sɛ wɔbɛhu, na wɔhwɛ kwan sɛ wɔbɛhu,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Sɛ obi yɛ biribi a, dɛn na ɛbɛma wanya anigye?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Da biara, sɛ obi nya aduan a, ɛyɛ a ɔde ɔkra a ɛte saa na edi."
  Avoir un ventre usé par la marche ? une peau,Sɛ wo nantew a wo yafunu yera?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Sɛ obi yɛ bɔne a, dɛn na ɛma ne nan ho yɛ fi?"
