Scène 2.VIII.,ⵜⵉⴼⵉⵏⴰⵖ 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","ⵛⵉⵕⴰⵏⵓ, ⵍⴱⵔⵉⵜ, ⵉⵎⵥⵢⴰⵏⵏ, ⵍⵍⵉ ⵢⵙⴷⵖⵏ ⵖ ⵜⵙⴳⴰ ⵏ ⵓⴳⴰⴼⴰ ⴷ ⵖ ⵜⵙⴳⴰ ⵏ ⵓⴳⴰⴼⴰ"
et auxquels on sert à boire et à manger.,ⴷ ⴰⵔ ⵜⵜⵡⵡⵡⵓⵔⵉⵏ ⵉ ⵡⴰⵏⵙⴰ ⵏ ⵓⵙⴰⴳ ⴷ ⵓⵙⴰⴳ.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,ⵛⵉⵕⴰⵏⵓ (ⵉⵙⵙⵏⵏⴰ ⵙ ⵢⴰⵜ ⵜⵓⵙⴷⵉⴷⵜ ⵜⴰⵣⴳⵣⴰⵡⵜ ⵉ ⵡⵉⵏⵏⴰ ⵢⵓⵜⵏ ⴱⵍⴰ ⴰⴷ ⵙⵙⴰⵍⴰⵎ):
  Messieurs. . .Messieurs. . .Messieurs. . .,ⵎⴰⵙⵙⵏ ... ⵎⴰⵙⵙⵏ ... ⵎⴰⵙⵙⵏ ... ⵎⴰⵙⵙⵏ ...
"LE BRET (désolé, redescendant, les bras au ciel):","ⵟⴰⵛⵉⵔⴹⴰⵔⵜ (ⵜⴰⵙⴼⵖⵜ, ⵜⵣⴷⵓⵖⵜ, ⵜⵉⴳⵏⵉⵜⵉⵏ ⵖ ⵓⵣⵡⵍ):"
  Ah ! dans quels jolis draps.,ⴰⵀ! ⴳ ⵎⴰⴷ ⵉⵃⵏⴰⵏ ⵉⵎⴰⵏⵏ.
CYRANO:,ⴽⵉⵕⴰⵏⵓ:
  Oh ! toi ! tu vas grogner !,"ⵀⴰ, ⴰⴷ ⵜⵔⴳⴷ!"
LE BRET:,ⵜⴰⵥⵓⵕⵉ:
"  Enfin, tu conviendras","ⴷⵉ ⵜⴳⵉⵔⴰ, ⵜⵣⵔⵉⴷ"
"  Qu'assassiner toujours la chance passagère,","ⵎⴰⵙ ⴰⴽⴽⵡ ⴰⴷ ⵏⵙⴽⵔ ⵜⴰⴷⵓⵙⵉ ⵜⴰⵣⴳⵣⴰⵡⵜ,"
  Devient exagéré.,ⴰⵔ ⵉⵜⵜⵉⵍⵉ ⵓⴳⴳⴰⵔ ⵏ ⵓⵖⴰⵡⵍ.
CYRANO:,ⴽⵉⵕⴰⵏⵓ:
"  Hé bien oui, j'exagère !","- ⴰⵀⴰ, ⵉⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅⵅ"
LE BRET (triomphant):,ⵟⴰⴽⴰⵍⴰ (ⵜⴰⵎⵏⵖⵜ):
  Ah !,ⴰⵀ!
CYRANO:,ⴽⵉⵕⴰⵏⵓ:
"  Mais pour le principe, et pour l'exemple aussi,","ⵎⴰⵛⴰ ⵙ ⵓⵎⵏⵉⴷ ⴷ ⵓⵎⴷⵢⴰ ⴰⵡⴷ,"
  Je trouve qu'il est bon d'exagérer ainsi.,ⴰⵔ ⵜⵜⵉⵏⵉⵖ ⵎⴰⵙ ⵉⵖⵓⴷⴰⵏ ⴰⴷ ⵏⵙⴽⵔ ⴰⵎⵏⵣⵓ ⵙ ⵓⵢⴰ.
LE BRET:,ⵜⴰⵥⵓⵕⵉ:
"  Si tu laissais un peu ton âme mousquetaire,","ⵎⴽ ⵜⵔⵥⵎⴷ ⵜⵓⴷⵔⵜ ⵏⵏⴽ ⵜⴰⵣⴳⵣⴰⵡⵜ,"
  La fortune et la gloire. . .,ⵜⴰⴷⵓⵙⵉ ⴷ ⵜⴰⴳⴷⵓⴷⴰⵏⵜ . . .
CYRANO:,ⴽⵉⵕⴰⵏⵓ:
  Et que faudrait-il faire ?,ⴷ ⵎⴰⵢⴷ ⵉⵅⵚⵚⴰ ⴰⴷ ⵏⴽⵔ?
"  Chercher un protecteur puissant, prendre un patron,","ⴰⴷ ⵏⴰⴼ ⵢⴰⵏ ⵓⴼⵔⴰⴳ ⴰⵎⵇⵔⴰⵏ, ⴰⴷ ⵏⵙⴽⵔ ⵢⴰⵏ ⵓⵏⴱⴱⴰⴹ,"
  Et comme un lierre obscur qui circonvient un tronc,ⴷ ⴰⵎⴽ ⵜⴰⵣⴳⵣⴰⵡⵜ ⵏ ⵓⴷⵔⴰⵔ ⵍⵍⵉ ⵢⵜⵜⵓⵣⵓⵏ ⴳ ⵓⴷⵔⴰⵔ
"  Et s'en fait un tuteur en lui léchant l'écorce,","ⴰⵔ ⵉⵙⴽⴰⵔ ⵢⴰⵏ ⵓⵃⵟⵟⵓ ⵏⵏⵙ ⵙ ⵓⵙⵙⵍⴽⵎ ⵏ ⵜⵔⴳⴰⵍⵜ ⵏⵏⵙ,"
  Grimper par ruse au lieu de s'élever par force ?,"ⴰⴷ ⵜⴽⵍⴽⵎ ⵙ ⵜⵓⵙⵏⴰ, ⵓⵍⴰ ⴰⴷ ⵜⴽⵍⴽⵎ ⵙ ⵜⵓⵙⵏⴰ?"
"  Non, merci. Dédier, comme tous il le font,","ⵓⵔ ⵏⴰⴽ, ⴷⴰⵔⴽ."
  Des vers aux financiers ? se changer en bouffon,ⵙⴳ ⵉⵎⵔⵔⵉⵜⵏ ⴰⵔ ⵉⵎⵥⵥⵢⴰⵏⵏ?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","ⵙ ⵜⵔⴰⵜ ⵜⴰⵣⴳⵣⴰⵡⵜ ⵏ ⵓⵥⵕⴰ, ⵙ ⵉⵙⴳⵓⵔⵏ ⵏ ⵓⵎⴰⵡⵙⴰⵙ,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","ⴰⴷ ⵜⵙⵙⵏⴼⵍ ⵜⴰⵡⵏⵉⵜ, ⵎⴰⵛⴰ, ⵎⴰⵙ ⵓⵔ ⵜⵣⵎⵔ ⴰⴷ ⵜⵙⵙⵏⴼⵍ?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",ⵓⵔ ⵏⴰⵛⵛⵉ ⴽⵓ ⴰⵙⵙ ⴷ ⵢⴰⵏ ⵓⴽⵔⴹⵓ?
  Avoir un ventre usé par la marche ? une peau,ⴰⴷ ⵜⵙⵙⵉⵖⵖⵖ ⵜⴰⵖⵖⵖⴰ ⵏⴻⵖ ⴰⴷ ⵜⵙⵙⵉⵖⵖⵖⵖ ⵜⴰⵖⵖⵖⴰ ⵏⴻⵖ ⴰⴷ ⵜⵙⵙⵉⵖⵖⵖⵖ
"  Qui plus vite, à l'endroit des genoux, devient sale ?",ⵎⴰⵏⵉ ⵢⴰⴳⴳⵉ ⴰⴷ ⵢⵎⵓⵜ ⴳ ⵡⴰⵍⵍⴰⵍ ⵏ ⵉⵎⵉⴽⴰⵏⵏ?
  Exécuter des tours de souplesse dorsale ?. . .,ⴰⴷ ⵙⴽⵔⵏ ⵜⵉⵖⵓⵔⵉⵡⵉⵏ ⵏ ⵓⵙⵏⴼⵍⵓⵍ ⵏ ⵜⵉⴼⵉⵏⴰⵖ? . . .
"  Non, merci. D'une main flatter la chèvre au cou",ⵓⵔ ⵏⴰⵛⴽⵓ. ⵙ ⵢⴰⵜ ⵜⵙⴳⴰ ⵏ ⵓⵙⵏⴰⵍ ⵏ ⵜⵎⵣⴰⵣⵜ ⴳ ⵡⴰⵍⵍⵓⵙ
"  Cependant que, de l'autre, on arrose le chou,","ⵎⴰⵛⴰ, ⴳ ⵡⴰⵏⵏⴰ ⵢⴰⴹⵏ, ⵏⵙⴼⵍⴽⴰ ⵍⴽⴰⵢⵍ,"
