Scène 2.VIII.,ئىككىنچى ئورۇندا: سەككىزىنچى ئورۇندا
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche",سىرا، لېبېرت، كىچىك بالىلار، ئوڭ ۋە سول تەرەپكە قاراپ ئولتۇرۇش
et auxquels on sert à boire et à manger.,ئۇلارغا ئېقىپ تۇرغان، ئاپئاق، ئىچكۈچىلەرگە لەززەت بېغىشلايدىغان شارابلاردىن تولدۇرۇلغان جاملار ئايلاندۇرۇپ تۇرۇلىدۇ
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,سىرا (كېچىدىن چىققۇچىلارنى مۇبارەك بولسۇن دەپ سالام قىلىدۇ)
  Messieurs. . .Messieurs. . .Messieurs. . .,.ئادەملەر، ھۆرمەتلىك ساقچىلار!
"LE BRET (désolé, redescendant, les bras au ciel):",(ئاتلىق، بەختلىك ئاياللارنىڭ نامى) (ئۇلار) (ئاتلىق، بەختسىز ئاياللارنىڭ نامى) (ئۇلار) (ئاتلىق، بەختسىز ئاياللارنىڭ نامى) (ئۇلار) (ئاتلىق، بەختسىز ئاياللارنىڭ نامى) (ئۇلار) (ئاتلىق، بەختسىز ئاياللارنىڭ نامى) (ئۇلار) (ئاتلىق، بەختسىز ئاياللارنىڭ نامى (ئۇلار) (ئۇلار) (ئاتلىق، بەختسىز ئاياللارنىڭ نامى (ئۇلار) (ئۇلار) (ئاتلىق، بەختسىز ئاياللارنىڭ نامى (ئۇلار) (ئۇلار) (ئاتلىق) (ئۇلار (ئاتلىق) (ئاتلىق) (ئۇلار) (ئاتلىق) (ئاتلىق) (ئۇلار) (ئاتلىق) (ئاتلىق) (ئاتلىق) (ئاتلىق) (ئاتلىق) (ئۇلار) (ئاتلىق) (ئاتلىق) (
  Ah ! dans quels jolis draps.,.ھەي، ئۇ قانداق چىرايلىق تۈگىمەس كىيىملەر!
CYRANO:,سىرا:
  Oh ! toi ! tu vas grogner !,ھە، سەن! سەن توۋلاپ قالىسەن!
LE BRET:,.ئۇيغۇرچە قانىلى:
"  Enfin, tu conviendras",.ئەمدى سىز چوقۇم ياخشى كۆرىسىز
"  Qu'assassiner toujours la chance passagère,",مەن پەقەت سېنى بەزى ئىلاھلىرىمىز ساراڭ قىلىپ قويۇپتۇ دەۋىتىمەن
  Devient exagéré.,.بۇ بەكلا ھەددىدىن ئاشقان گەپ
CYRANO:,سىرا:
"  Hé bien oui, j'exagère !",ھەئە، ھەئە، مەن بەكلا كۆپ سۆزلەيمەن!
LE BRET (triomphant):,(ئەر كىشى) غەنىيمەت ئالغان نەرسە ئۈچۈن (االله نىڭ ساۋابى ۋە غەلىبىسى)
  Ah !,ھە !
CYRANO:,سىرا:
"  Mais pour le principe, et pour l'exemple aussi,",.لېكىن، بۇ ئىككى مىسالدىن پايدىلانغىلى بولمايدۇ
  Je trouve qu'il est bon d'exagérer ainsi.,بۇ خىل زىيادە قىلىش ياخشى دەپ قارايمەن.
LE BRET:,.ئۇيغۇرچە قانىلى:
"  Si tu laissais un peu ton âme mousquetaire,",ئەگەر سەن پەرۋەردىگارىڭنىڭ رازىلىقىنى تىلىسەڭ،
  La fortune et la gloire. . .,بايلىق ۋە شان-شەرەپ . . .
CYRANO:,سىرا:
  Et que faudrait-il faire ?,بىز قانداق قىلىش كېرەك؟
"  Chercher un protecteur puissant, prendre un patron,",مەن ھەقىقەتەن ئۇنىڭ ئۈچۈن (تەۋبە قىلىپ) ياخشىلاردىن ئىدىم، االله ھەقىقەتەن مېنىڭ (مۆمىن) بەندىلىرىمگە ياردەم بەردى، ئۇلارنىڭ ھەربىرىدىن بەندىسىگە ياردەم بەردى، ئۇلار ھەر قانداق ئۈممەتنى ھالاك قىلىدۇ، ھەقىقەتەن ھەممە ئىش االله قا ئاساندۇر
  Et comme un lierre obscur qui circonvient un tronc,ئۇ (بەچچىدانلارغا) تۆكىلىدىغان (ئاجىز مەنىي) قۇرۇق (ئىچەكلەر) بولۇپ، ئۇلارنىڭ بەزىسى بەزىسىگە ئوخشاپ كېتىدۇ
"  Et s'en fait un tuteur en lui léchant l'écorce,","ئۇ يىرتىلگەن ساماندەك قىلىۋېلىپ: ""بۇ يۇڭلارغا چوقۇنۇشتا ئەزۋەيلەپ كەتمەڭلار"
  Grimper par ruse au lieu de s'élever par force ?,.سىز پەقەتلا تېزلىكتە ياكى چىرىگەن ھالدا يولسىز ئۆستەڭلەرنى ئېگىزلىكتە ئۆستۈرەمسىز؟
"  Non, merci. Dédier, comme tous il le font,",.ئۇنداق ئەمەس، رەھمەت، بەلكى ئۇ باشقىلاردەك قىلىۋاتىدۇ
  Des vers aux financiers ? se changer en bouffon,-- يەنە بىر قىسىم مالچىغا ئايلىنىدۇ
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",لېكىن مەن پەرۋەردىگارىمنى كۆرمەي، ئۇنى مەسخىرە قىلدىم
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",.ئۇنداقتا، خاتىرجەمسىز بولمايدىغان كۈلۈمسىرەشنى قانداق بىلەلەيسەن؟
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",.ئۇنداق ئەمەس، رەھمەت، ھەر كۈنى بىر دانە چاچەمەك بىلەن تاماق يېەمسەن؟
  Avoir un ventre usé par la marche ? une peau,مېڭىپ يۈرگەن چېچىڭىزنى پۈۋلىۋېتىش
"  Qui plus vite, à l'endroit des genoux, devient sale ?",تىزدىن كىرگەن ئادەم تىزدىن كىرگەن ئادەمدىنمۇ بەتتەررەك كىرگەن ئادەمدىنمۇ بەتتەررەك كىرگەن ئادەمدىنمۇ بەتتەررەك كىرگەن ئادەمدىنمۇ بەتتەررەك كىرگەن ئادەمدىنمۇ بەتتەررەك كىرگەن ئادەمدىنمۇ بەتتەررەك كىرگەن ئادەمدىنمۇ بەتتەررەك كىرگەن ئادەمدىنمۇ بەتتەررەك كىرگەن ئادەمدىنمۇ بەتتەررەك كىرگەن ئادەمدىنمۇ بەتتەررەك كىرگەن ئادەمدىنمۇ بەتتەررەك كىرگەن ئادەمدىنمۇ بەتتەررەك كىرگەن ئادەمدىنمۇ بەتتەررەك كىرگەن ئادەمدىنمۇ بەتتەررەك كىرگەن ئادەمدىنمۇ بەتتەررەك كىرگەن ئادەمدىنمۇ بەتتەررەك كىرگەن ئادەمدىنمۇ بەتتەررەك كىرگەن ئادەمدىنمۇ بەتتەررەك كىرگەن ئادەمدىنمۇ بەتتەررەك كىرگەن ئادەمدىنمۇ بەتتەررەك
  Exécuter des tours de souplesse dorsale ?. . .,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
"  Non, merci. D'une main flatter la chèvre au cou",يەڭگىللىك بىلەن ماغدۇرغان ھالدا مېڭىڭلار
"  Cependant que, de l'autre, on arrose le chou,",يەنە بىر قىسىم (بېلىقلارنى) چاينىۋېتىلگەن ساماندەك قىلىۋالساق،
"  Et, donneur de séné par désir de rhubarbe,",(ئۇ) سىدرى دەرەخلىرىدىن، سانجاق - سانجاق بولۇپ كەتكەن مەۋز دەرەخلىرىدىن، ھەمىشە تۇرىدىغان سايىدىن، ئېقىپ تۇرغان سۇدىن، تۈگىمەيدىغان ۋە چەكلەنمەيدىغان مېۋىلەردىن، ئېگىز (يۇمشاق) تۆشەكلەردىن بەھرىمەن بولىدۇ
"  Avoir son encensoir, toujours, dans quelque barbe ?",ئۇنىڭ يېنىدا ئىلكى بارمىدىمۇ؟
"  Non, merci ! Se pousser de giron en giron,",.ئۇنداق ئەمەس، رەھمەت، ئۇ بىر قەدەممۇقەدەم تىرىشىپ ھەرىكەت قىلدى
