Scène 2.VIII.,Сцена 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Кірано, Ле Брет, юнаки, які сиділи вправо і вліво"
et auxquels on sert à boire et à manger.,"І їм служать, і їм їсти, і пити."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"КІРАНО (завітуючи з гугуньорським вітром тих, хто виходить і не сміється його вітати):"
  Messieurs. . .Messieurs. . .Messieurs. . .,"Господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, госпо"
"LE BRET (désolé, redescendant, les bras au ciel):","БРЕТ (пожалений, знизу, руки в небо):"
  Ah ! dans quels jolis draps.,А! у які гарні чарніки.
CYRANO:,КІРАНО:
  Oh ! toi ! tu vas grogner !,"О, ти! Ти будеш хмуряти!"
LE BRET:,ПОДВІД:
"  Enfin, tu conviendras","Нарешті, ти згоден"
"  Qu'assassiner toujours la chance passagère,","Що завжди убиває мінулий щастя,"
  Devient exagéré.,Це перебільшує.
CYRANO:,КІРАНО:
"  Hé bien oui, j'exagère !","Ну, так, я перебільшу!"
LE BRET (triomphant):,БЕРЕТ (победа):
  Ah !,А! А!
CYRANO:,КІРАНО:
"  Mais pour le principe, et pour l'exemple aussi,","Але для принципу, і для прикладу,"
  Je trouve qu'il est bon d'exagérer ainsi.,"Я думаю, що це добре, якщо так перебільшити."
LE BRET:,ПОДВІД:
"  Si tu laissais un peu ton âme mousquetaire,","Якщо б ти трохи залишив свою м'ясову душу,"
  La fortune et la gloire. . .,Багатство і слава. . .
CYRANO:,КІРАНО:
  Et que faudrait-il faire ?,І що робити?
"  Chercher un protecteur puissant, prendre un patron,","Шукати потужного захисника, взяти себе начальника,"
  Et comme un lierre obscur qui circonvient un tronc,"І як темна лісь, що оточує стволу"
"  Et s'en fait un tuteur en lui léchant l'écorce,","І робить себе заглядачем, лизаючи його шкіру,"
  Grimper par ruse au lieu de s'élever par force ?,"Випливати хитро, а не піднятися силою?"
"  Non, merci. Dédier, comme tous il le font,","Не, дякую. Віддати, як всі,"
  Des vers aux financiers ? se changer en bouffon,Від червнів до фінансових?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","У мнючній надії побачити, на вуснах міністра,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Родити посмішку, що не є злочиним?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Не, дякую."
  Avoir un ventre usé par la marche ? une peau,Виховання животу на ході?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Хто швидше, ніж коліна, стає брудним?"
  Exécuter des tours de souplesse dorsale ?. . .,Виконання спинних гнучкових кругів? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Не, дякую."
"  Cependant que, de l'autre, on arrose le chou,","Але якщо з іншого ви поливаєте капусту,"
"  Et, donneur de séné par désir de rhubarbe,","І, що за жахом загортає,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Чи завжди в будь-якій бороді?
"  Non, merci ! Se pousser de giron en giron,","Не, дякую! Покидатися по одному, по одному,"
"  Devenir un petit grand homme dans un rond,","Стати маленьким великим чоловіком в крузі,"
"  Et naviguer, avec des madrigaux pour rames,","І пловиться, з мадриджами для карам,"
  Et dans ses voiles des soupirs de vieilles dames ?,А в його велах - стопи старих дам?
"  Non, merci ! Chez le bon éditeur de Sercy","Ні, дякую, я в хорошому видавці Серсі."
"  Faire éditer ses vers en payant ? Non, merci !",- Чи викладати його за гроші?
  S'aller faire nommer pape par les conciles,Ходити на виборство на Папу
  Que dans des cabarets tiennent des imbéciles ?,Що в кабінетах тримають дурнів?
"  Non, merci ! Travailler à se construire un nom","Не, дякую, працюю над тим, щоб створити собі ім'я."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","На одній з соні, а не на інших?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Ви знаходитеся тільки в пастбинах?
"  Être terrorisé par de vagues gazettes,","Боятися хвилі газет,"
"  Et se dire sans cesse: Oh, pourvu que je sois","І постійно говорять собі: ""О, якщо б я був"
  Dans les petits papiers du Mercure François ?. . .,У маленьких паперях Меркурія Франциска? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Не, дякую! Рахувати, боятися, бути блестячим,"
"  Aimer mieux faire une visite qu'un poème,","Любити відвідування краще, ніж поемію,"
"  Rédiger des placets, se faire présenter ?","Написати заповіді, бути представленим?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Не, дякую, не, дякую, не, дякую, але... співати,"
"  Rêver, rire, passer, être seul, être libre,","Мечтаю, сміюся, прохожую, будую сама, будую вільною,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Зробити очі, які добре бачать, голос, який тремтує,"
"  Mettre, quand il vous plaît, son feutre de travers,","Ви можете, коли ви хочете, зробити його відчуття з-під,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","За ""так"", за ""ні"", боротися, - або зробити червону!"
"  Travailler sans souci de gloire ou de fortune,","Працюйте без пошуку слави або багатства,"
"  A tel voyage, auquel on pense, dans la lune !","На такий подорож, на який ми пам'ятаємо, на Місяць!"
"  N'écrire jamais rien qui de soi ne sortît,","Ніколи не пишете нічого, що не виходить з себе,"
"  Et modeste d'ailleurs, se dire: mon petit,","І скромний, говорячи собі: ""Дітиця моя,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Чи задоволений квітами, фруктами, навіть листями,"
  Si c'est dans ton jardin à toi que tu les cueilles !,"Якщо це у твоєму саду, то ти збираєш їх!"
"  Puis, s'il advient d'un peu triompher, par hasard,","А якщо він трохи переможе,"
"  Ne pas être obligé d'en rien rendre à César,",І не будьте зобов'язані віддати ім'я царю.
"  Vis-à-vis de soi-même en garder le mérite,","З боку себе зберегти його заслуги,"
"  Bref, dédaignant d'être le lierre parasite,","Коротко кажучи, незважаючи на те, що я паразитний ліер,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Навіть якщо ми не дуб'я або ліс,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Не дуже високо, можливо, але самому!"
LE BRET:,ПОДВІД:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Якби він був один, але не проти всіх."
  As-tu donc contracté la manie effroyable,Ти ж отримав жахливу манія
"  De te faire toujours, partout, des ennemis ?",Чи все ще робити себе ворогами?
CYRANO:,КІРАНО:
"  A force de vous voir vous faire des amis,","Вибивши вас друзями,"
"  Et rire à ces amis dont vous avez des foules,","І сміятися над цими друзями, які у вас є натовп,"
  D'une bouche empruntée au derrière des poules !,З засідком кури!
"  J'aime raréfier sur mes pas les saluts,","Я люблю привітати на своїх ногах,"
  Et m'écrie avec joie: un ennemi de plus !,І кричи мені з радістю: ще один ворог!
LE BRET:,ПОДВІД:
  Quelle aberration !,Який аберрація!
CYRANO:,КІРАНО:
"  Eh bien, oui, c'est mon vice.","Ну, так, це мій пристрасть."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Мені подобається, коли мені ненавидять."
"  Mon cher, si tu savais comme l'on marche mieux","Мій дорогий, якби ти знав, як краще ходити"
  Sous la pistolétade excitante des yeux !,Під захоплюючим виглядком!
"  Comme, sur les pourpoints, font d'amusantes taches","Як, на підстав, роблять веселі плями"
  Le fiel des envieux et la bave des lâches !,Гіль заздрібних і гніл труслих!
"  --Vous, la molle amitié dont vous vous entourez,","- Ви, м'яке дружбу, з якою ви оточені,"
"  Ressemble à ces grands cols d'Italie, ajourés","Як ці великі в'язниці Італії, відкладені"
"  Et flottants, dans lesquels votre cou s'effémine:","І плавучі, в яких ваш шийкається:"
"  On y est plus à l'aise. . .et de moins haute mine,","Ми більш комфортно. ... і менш високий міна,"
