Scène 2.VIII.,Ocinjonde 2: 8.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Manji Cyrano, manji Bret, amalẽhe vana va tumãla kondio kuenda kepĩli"
et auxquels on sert à boire et à manger.,Kuenje va siata oku va telekela okulia kuenda oku nyua.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CIRANO (wa lama lolukandi omanu vana va tunda vonjo yaco okuti ka va kuatele utõi woku u lama):
  Messieurs. . .Messieurs. . .Messieurs. . .,"A va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a va kalei, a ka va ka va kalele, a ka va kalele, a va kalele, a va ka va"
"LE BRET (désolé, redescendant, les bras au ciel):",OVINA VIA LOMBOLUIWA:
  Ah ! dans quels jolis draps.,Ovio via posoka calua.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,Ove hẽ o ka lisiõsiõla?
LE BRET:,OVINA VIA LOMBOLUIWA:
"  Enfin, tu conviendras","Noke, o tava"
"  Qu'assassiner toujours la chance passagère,","Oku ponda omanu vana va kuete elavoko lioku kala komuenyo otembo ka yi pui,"
  Devient exagéré.,Ocitangi caco ca siata oku livokiya calua.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Ocili okuti, ndi kuete ovisimĩlo ka via sungulukile."
LE BRET (triomphant):,(Osamo 37: 11)
  Ah !,Ocipala caco ca kala ciwa.
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Pole, poku lekisa ongangu yiwa, tu sukila oku kuama ongangu yaye."
  Je trouve qu'il est bon d'exagérer ainsi.,"Nda limbuka okuti, oku pesila otembo yalua kovina viaco, ci kuete esilivilo."
LE BRET:,OVINA VIA LOMBOLUIWA:
