Scène 2.VIII.,منظر نمبر ۲۔۸۔
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche",سائرانو، لی بریٹ، جو نوجوانوں نے دائیں اور بائیں بیٹھا
et auxquels on sert à boire et à manger.,اور ان کو کھایا اور پیا جاتا ہے
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,سائرانو (جو باہر نکلتے ہیں ان کو گنگا کی آواز سے سلام کرتے ہوئے):
  Messieurs. . .Messieurs. . .Messieurs. . .,حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات
"LE BRET (désolé, redescendant, les bras au ciel):",BRET (سوچتا ہے، نیچے، آسمان پر ہاتھ):
  Ah ! dans quels jolis draps.,ارے! یہ خوبصورت کپڑے ہیں!
CYRANO:,سائرانو:
  Oh ! toi ! tu vas grogner !,ارے تم! تم روؤ گے!
LE BRET:,بُری:
"  Enfin, tu conviendras",آخر میں آپ ٹھیک ہوں گے
"  Qu'assassiner toujours la chance passagère,",کہ ہمیشہ ایک لمحہ کا موقع قتل کرنا
  Devient exagéré.,یہ بہت زیادہ ہو رہا ہے.
CYRANO:,سائرانو:
"  Hé bien oui, j'exagère !",جی ہاں، میں تو بہت زیادہ کہہ رہا ہوں!
LE BRET (triomphant):,بریٹ (تجاوز):
  Ah !,ارے!
CYRANO:,سائرانو:
"  Mais pour le principe, et pour l'exemple aussi,",لیکن اصول کے لئے، اور مثال کے لئے بھی،
  Je trouve qu'il est bon d'exagérer ainsi.,مجھے لگتا ہے کہ اس طرح بڑبڑانے سے اچھا ہے.
LE BRET:,بُری:
