Scène 2.VIII.,2-VIII bosqich.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, o'ng va chap tomon o'tirgan yoshlar"
et auxquels on sert à boire et à manger.,Ular uchun ovqat va ichimlik xizmat qilinadi.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,Sirano (o'zini salomlashga jur'at etmay chiqqanlarni g'o'zo'rlik bilan salomlaydi):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janoblar, janob"
"LE BRET (désolé, redescendant, les bras au ciel):","(Xoʻrlab, tushadi, qoʻllari osmonga):"
  Ah ! dans quels jolis draps.,"Qarang, qanday go'zal to'qimalar."
CYRANO:,Sirano:
  Oh ! toi ! tu vas grogner !,"Oh, sen! Sen qichqirib yurasan!"
LE BRET:,QOʻShI:
"  Enfin, tu conviendras","Va nihoyat, sen ham rozi bo'lasan."
"  Qu'assassiner toujours la chance passagère,","Vaqti-vaqtidagi omadni o'ldirish,"
  Devient exagéré.,Bu juda ko'p.
CYRANO:,Sirano:
"  Hé bien oui, j'exagère !","Ha, ha, men haddan tashqari ko'p gapiryapman!"
LE BRET (triomphant):,(O'sha paytdagi g'alaba:
  Ah !,Ah!
CYRANO:,Sirano:
"  Mais pour le principe, et pour l'exemple aussi,","Ammo tamoyil uchun, va misol uchun ham,"
  Je trouve qu'il est bon d'exagérer ainsi.,Men buni o'ylash yaxshi deb o'ylayman.
LE BRET:,QOʻShI:
"  Si tu laissais un peu ton âme mousquetaire,","Agar biroz o'z joningni qo'yib qo'ysang,"
  La fortune et la gloire. . .,Boylik va shon-shuhrat. . . .
CYRANO:,Sirano:
  Et que faudrait-il faire ?,"Xoʻsh , nima qilish kerak ?"
"  Chercher un protecteur puissant, prendre un patron,","Kuchli himoyachi izlash, boshliqni olish,"
  Et comme un lierre obscur qui circonvient un tronc,"Va qorongʻi bir qalinlik kabi boʻlib,"
"  Et s'en fait un tuteur en lui léchant l'écorce,","Undan o'zi o'zi uchun o'rinli bo'lib, uning qo'llarini yulib oladi."
  Grimper par ruse au lieu de s'élever par force ?,"Kuch bilan ko'tarilishning o'rniga, o'ylashdan o'tishmi?"
"  Non, merci. Dédier, comme tous il le font,","Yo'q, rahmat. Hamma kabi, bag'ishlash,"
  Des vers aux financiers ? se changer en bouffon,"Quruqdan moliyaviy xodimlarga aylanib , bufonga aylanadi"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","O'z ko'zidan ko'rishni umid qilib, bir vazirning og'izidan,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Qasamki, kimning ko'ngli yomon bo'lmas ekan?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Yo'q, rahmat. Har kuni tushlikka cho'ponni yemasmikin?"
  Avoir un ventre usé par la marche ? une peau,Yolg'iz yurish bilan qorinidan qurg'oq bo 'lib qolish
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Kimning tizasi tezroq buziladi?
  Exécuter des tours de souplesse dorsale ?. . .,Orqaga o'zgarish turlarini o'tkazish . . .
"  Non, merci. D'une main flatter la chèvre au cou","Yo'q, rahmat, bir qo'l bilan echki bo'yniga sovurib"
"  Cependant que, de l'autre, on arrose le chou,","Lekin boshqa tomondan cho'g'ni sug'orsa,"
"  Et, donneur de séné par désir de rhubarbe,",Va (koʻp) qoʻrqinchli boʻlganlar uchun (oʻzlari) ni (quruq) tutganlar.
"  Avoir son encensoir, toujours, dans quelque barbe ?",Uning tutatqi har doim bir shavqada bo'lishi kerakmi?
"  Non, merci ! Se pousser de giron en giron,","Yo'q, rahmat! Bir-biridan ko'tarib,"
"  Devenir un petit grand homme dans un rond,","Bir to'rda kichik katta odam bo'lish,"
"  Et naviguer, avec des madrigaux pour rames,","Va dengizda dengizga o'tadigan, dengizga o'tadigan, dengizga o'tadigan, dengizga o'tadigan, dengizga o'tadigan, dengizga o'tadigan, dengizga o'tadigan, dengizga o'tadigan, dengizga o'tadigan, dengizga o'tadigan, dengizga o'tadigan, dengizga o'tadigan, dengizga o'tadigan, dengizga o'tadigan, dengizga o'tadigan, dengizga o'tadigan, dengizga o'tadigan, dengizga o'tadigan, dengizga o'tadigan, dengizga o'tadigan, dengizga o'tadigan, dengizga o'tadigan, dengizga o'tadigan, dengizga o'tadigan, dengiz"
  Et dans ses voiles des soupirs de vieilles dames ?,Uning yelkasida esa keksa xotinning gʻazablari bor-ku?
"  Non, merci ! Chez le bon éditeur de Sercy","Yo'q, rahmat, Sercyning yaxshi muharririga."
"  Faire éditer ses vers en payant ? Non, merci !",Uning qorachalari uchun pul to'lash kerakmi?
  S'aller faire nommer pape par les conciles,Rim Rim Rimining Rim papasi etib tayinlanish
  Que dans des cabarets tiennent des imbéciles ?,"Bularning bariga oʻxshab, bularning barchasi oʻz ichiga oʻrin oladi."
"  Non, merci ! Travailler à se construire un nom","Yo'q, rahmat, o'z nomini yaratishga harakat qiling."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Boshqalarni yaratishdan ko'ra, bir sonnetda?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,- O'sha paytlarda o'z tajribasini faqat o'tlar ichida topib olishim mumkinmi?
"  Être terrorisé par de vagues gazettes,","Gazetalarning ko'tarilishi bilan qo'rquvga tushish,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Va o'zingga: ""Agar men bo'lsam,"
  Dans les petits papiers du Mercure François ?. . .,Merkur Fransuzning kichik qog'ozlarida?..
"  Non, merci ! Calculer, avoir peur, être blême,","Yo'q, rahmat! Hisoblash, qo'rqish, ko'ngilsizlik,"
"  Aimer mieux faire une visite qu'un poème,","Sovuqdan ko'ra ko'proq ziyorat qilishni yaxshi ko'rish,"
"  Rédiger des placets, se faire présenter ?","O'zingizni tanitish, reklama qilish?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Yo'q, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat, rahmat,"
"  Rêver, rire, passer, être seul, être libre,","Orzu qilish, kulish, o'tish, yolg'iz bo'lish, erkin bo'lish,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Ko'z yaxshi ko'rish, ovoz titrash,"
"  Mettre, quand il vous plaît, son feutre de travers,","Qachon xohlasa, o'z hissini o'chirib qo'y,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","""Ha"" yoki ""Yo'q"" deb aytish uchun jang qilish yoki qurt qilish!"
"  Travailler sans souci de gloire ou de fortune,","Maqtov va boylik haqida tashvishlanmasdan ishlash,"
"  A tel voyage, auquel on pense, dans la lune !","O'ylaydigan sayohatga, oyga!"
"  N'écrire jamais rien qui de soi ne sortît,","O'zingizdan chiqmaydigan hech narsa yozmang,"
"  Et modeste d'ailleurs, se dire: mon petit,","Va kamtarin bo'lib, o'ziga: ""O'g'lim,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Gullar, mevalar, hatto barglar bilan qanoat qila oladi."
  Si c'est dans ton jardin à toi que tu les cueilles !,Agar sen o'z bog'ingda ularni o'rb olsang!
"  Puis, s'il advient d'un peu triompher, par hasard,","So'ngra agar u biroz g'olib bo'lsa,"
"  Ne pas être obligé d'en rien rendre à César,",Qaysarga hech narsa qaytarish shart emas.
"  Vis-à-vis de soi-même en garder le mérite,","O'z-o'zingizga nisbatan o'z qadr-qimmatini saqlab qolish uchun,"
"  Bref, dédaignant d'être le lierre parasite,","Qisqasi, o'zimni sherlar bo'lishdan nafratlanib,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Agar biz o'simlik yoki o'simlik bo'lmasak ham,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Balki balandlikka chiqmay, lekin o'zicha!"
LE BRET:,QOʻShI:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","O'zi bo'lsa ham, hammaga qarshi emas."
  As-tu donc contracté la manie effroyable,"Bas , sen dahshatli bir mananiyaga tushdingmi ?"
"  De te faire toujours, partout, des ennemis ?",Har yerda do'stlar qilish uchun?
CYRANO:,Sirano:
"  A force de vous voir vous faire des amis,","Sizlarni do'st tutgan holda ko'rib,"
"  Et rire à ces amis dont vous avez des foules,","Va sizda ko'pchilik do'stlar bor, deb kulish,"
  D'une bouche empruntée au derrière des poules !,Bular g'alati bo'lgan og'iz!
"  J'aime raréfier sur mes pas les saluts,",Men qadamlarimda salomlarni kamroq aytishni yaxshi ko'raman.
  Et m'écrie avec joie: un ennemi de plus !,Menga quvonch ila xitob qil: yana bir dushman!
LE BRET:,QOʻShI:
  Quelle aberration !,Bu qanday bir aldashlik !
CYRANO:,Sirano:
"  Eh bien, oui, c'est mon vice.","Ha, ha, bu mening yomonligim."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Men o'zimni tashlab ketishni yoqtiraman. Menga nafratlanish yoqadi.
"  Mon cher, si tu savais comme l'on marche mieux","Qizim, agar sen yurishning usulini bilsang"
  Sous la pistolétade excitante des yeux !,Koʻzlaridagi hayajonli quvonch ostida!
"  Comme, sur les pourpoints, font d'amusantes taches","Qani, bular haqida qiziqarli mavzular"
  Le fiel des envieux et la bave des lâches !,Qahrlilarning sharbi va qoʻrqqanlarning sharbi!
"  --Vous, la molle amitié dont vous vous entourez,","Siz, atrofingizdagi yumshoq do'stlar,"
"  Ressemble à ces grands cols d'Italie, ajourés","Italiyaning bu yirik bo'laklariga o'xshaydi,"
"  Et flottants, dans lesquels votre cou s'effémine:",Va ko'kraklaringiz o'tib ketadigan oylar.
"  On y est plus à l'aise. . .et de moins haute mine,",Bu yerda biz ko'proq qulaymiz.
"  Car le front n'ayant pas de maintien ni de loi,",Chunki burunning o'zi uchun qonun va qonun yo'q.
"  S'abandonne à pencher dans tous les sens. Mais moi,",U har qanday yo'nalishda o'z-o'zidan voz kechadi.
"  La Haine, chaque jour, me tuyaute et m'apprête",Kishilar menga nafratni ko'rsatadi va o'zlariga qarshi kurashadi.
  La fraise dont l'empois force à lever la tête;,O'z boshini ko'tarishga majbur qiladigan hasharot;
  Chaque ennemi de plus est un nouveau godron,Har bir qoʻshimcha dushman yangi qoʻrqinchdir
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",U menga og'irlik va g'am-g'ussa qo'shadi.
"  Car, pareille en tous points à la fraise espagnole,","Chunki, har jihatdan ispan frostiga o'xshaydi,"
"  La Haine est un carcan, mais c'est une auréole !","G'azab - bu bir qo'rqinch, lekin bu bir aurora!"
"LE BRET (après un silence, passant son bras sous le sien):","O'ZING (to'xtatish keyin, uning qo'li ostida o'tish):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Mag'rur va o'ta qaynoq bo'lganlarni baland qilib, past olib qo'y."
  Dis-moi tout simplement qu'elle ne t'aime pas !,Menga shunchaki u seni sevmasligini ayt!
CYRANO (vivement):,CYRANO (ya'ni tirik):
  Tais-toi !,Soʻz oʻzingni tut!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Bir muncha vaqtdan keyin, Christian kirdi, o'smirlar bilan aralashib ketdi; ular"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"so'z bilan gapirishdi, so'ng u yolg'iz o'tirib bir"
