Scène 2.VIII.,Scena 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, i minori, che i xe sta a destra e a sinistra"
et auxquels on sert à boire et à manger.,e che i se serve a bere e a magnar.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CIRANO (saludando con un'aria goognanosa chi el se ne va senza darghe el so saluto):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori,"
"LE BRET (désolé, redescendant, les bras au ciel):","El BRET (Sorry, scendendo, braçie in cielo):"
  Ah ! dans quels jolis draps.,Ah! in che bel panno.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, te! te ghe grognarà!"
LE BRET:,El BREAT:
"  Enfin, tu conviendras",Finalmente te sarà d'accordo
"  Qu'assassiner toujours la chance passagère,","Che sempre se uccide la fortuna passagera,"
  Devient exagéré.,Sta diventando un'esagerazion.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Eh sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì, sì"
LE BRET (triomphant):,El BRET (trionfante):
  Ah !,"Ah, ciao!"
CYRANO:,CYRANO:
