Scène 2.VIII.,Bước 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, những đứa trẻ, những người ngồi bên phải và bên trái"
et auxquels on sert à boire et à manger.,Và chúng được phục vụ để ăn uống.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (của những người ra ngoài mà không dám chào):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Các quý vị, các quý vị, các quý vị."
"LE BRET (désolé, redescendant, les bras au ciel):","BROET (sầu lòng, xuống, cánh tay lên trời):"
  Ah ! dans quels jolis draps.,"Oh, cái tấm vải đẹp thế nào."
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Ôi, mày sẽ sầm sầm!"
LE BRET:,BN:
"  Enfin, tu conviendras","Cuối cùng, em sẽ thích."
"  Qu'assassiner toujours la chance passagère,","Và luôn giết chết may mắn qua thời gian,"
  Devient exagéré.,- Tôi nghĩ là quá mức.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Vâng, tôi nói quá!"
LE BRET (triomphant):,BN (các người chiến thắng):
  Ah !,À!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Nhưng về nguyên tắc, và về ví dụ,"
  Je trouve qu'il est bon d'exagérer ainsi.,Tôi nghĩ rằng việc làm quá mức như thế là tốt.
LE BRET:,BN:
"  Si tu laissais un peu ton âme mousquetaire,","Nếu anh chỉ để một chút linh hồn của anh lại,"
  La fortune et la gloire. . .,Sự giàu có và danh vọng. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Vậy phải làm gì?
"  Chercher un protecteur puissant, prendre un patron,","Tìm kiếm một người bảo vệ mạnh mẽ, chọn một người chủ,"
  Et comme un lierre obscur qui circonvient un tronc,Và như một cái sợi đen quấn quanh một cái thân cây
"  Et s'en fait un tuteur en lui léchant l'écorce,","Và nó làm cho mình một người chăm sóc nó bằng cách nhai da nó,"
  Grimper par ruse au lieu de s'élever par force ?,Đi lên bằng cách lố bịch thay vì đi lên bằng sức mạnh?
"  Non, merci. Dédier, comme tous il le font,","Không, cảm ơn."
  Des vers aux financiers ? se changer en bouffon,"Từ những con sâu đến những người tài chính, trở thành những kẻ xấu."
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Trong hy vọng khiêm tốn để thấy, từ miệng một bộ trưởng,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Và cũng có thể tạo ra một nụ cười, một nụ cười không có vẻ xấu xa?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Không, cảm ơn, ăn trưa mỗi ngày với một con bọ?"
  Avoir un ventre usé par la marche ? une peau,"Có bụng bị mòn khi đi bộ, da"
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Ai nhanh hơn, thay vì đầu gối, trở nên bẩn hơn?"
  Exécuter des tours de souplesse dorsale ?. . .,Làm việc linh hoạt lưng? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Không, cảm ơn, chỉ một tay thôi, ngợi khen con dê."
"  Cependant que, de l'autre, on arrose le chou,","Nhưng nếu người ta cho nước cà phê,"
"  Et, donneur de séné par désir de rhubarbe,","Và người làm cho bé ngực ngực vì ước muốn rhubarb,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Có phải là lúc nào cũng có lò đốt trong một bộ râu nào đó?
"  Non, merci ! Se pousser de giron en giron,","Không, cảm ơn anh, đi từ đầu đến cuối,"
"  Devenir un petit grand homme dans un rond,","Trở thành một người đàn ông nhỏ lớn trong vòng,"
"  Et naviguer, avec des madrigaux pour rames,","Và đi thuyền với những chiếc tàu đệm,"
  Et dans ses voiles des soupirs de vieilles dames ?,Và trong những chiếc gác của nó có những tiếng thở dài của những người phụ nữ già?
"  Non, merci ! Chez le bon éditeur de Sercy","Không, cảm ơn anh, tôi đến với nhà xuất bản của Sercy."
"  Faire éditer ses vers en payant ? Non, merci !",Để người ta chỉnh sửa bài viết của mình bằng cách trả tiền?
  S'aller faire nommer pape par les conciles,Đi được các hội đồng thành giáo hoàng
  Que dans des cabarets tiennent des imbéciles ?,Có ai trong các quán ăn có những kẻ ngốc nghếch không?
"  Non, merci ! Travailler à se construire un nom","Không, cảm ơn, làm việc để xây dựng một cái tên"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","- Trong một bản sonnet, thay vì làm những bản sonnet khác?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Cảm ơn, chỉ có thể tìm ra tài năng trong những cái lều hả?"
"  Être terrorisé par de vagues gazettes,","Được sợ hãi bởi những tờ báo vẫy,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Và cứ nghĩ rằng: ""Ồ, nếu tôi là"
  Dans les petits papiers du Mercure François ?. . .,Trong những tờ giấy nhỏ của ông Francis Mercury? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Không, cảm ơn!"
"  Aimer mieux faire une visite qu'un poème,",Thích đến thăm hơn là một bài thơ.
"  Rédiger des placets, se faire présenter ?","Làm những bài viết, tự giới thiệu mình?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Không, cảm ơn, không, cảm ơn, không, cảm ơn, nhưng..."
