Scène 2.VIII.,Esena 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Hi Cyrano, hi Le Bret, an mga batan-on nga nag-uokoy ha tuo ngan ha wala"
et auxquels on sert à boire et à manger.,Ngan gin-aalagad hira hin pagkaon ngan pag-inom.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (nag-aaghat hin pag-awayan ha mga tawo nga diri mag-aaghat hin pag-awayan ha iya):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga ginoo, mga g"
"LE BRET (désolé, redescendant, les bras au ciel):","An BREAT (pagmamasurub-on, pag-uli, an mga kamot ngadto ha langit):"
  Ah ! dans quels jolis draps.,Ha mga matahom nga lino.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, ikaw! Mag-uugtang ka!"
LE BRET:,An ORA:
"  Enfin, tu conviendras","Ha kataposan, makakahimo ka"
"  Qu'assassiner toujours la chance passagère,","Nga nagpapadayon ha pagpatay han temporaryo nga kalipay,"
  Devient exagéré.,Nagigin sobra.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Oo, nag-uuswag ako!"
LE BRET (triomphant):,An BREAT (triumphant):
  Ah !,Ha ha !
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Kondi para ha prinsipyo, ngan para ha ehemplo liwat,"
  Je trouve qu'il est bon d'exagérer ainsi.,Maopay gud an pag-obra hin sugad hini.
LE BRET:,An ORA:
"  Si tu laissais un peu ton âme mousquetaire,","Kon imo pabilin an imo espiritu nga mag-aantos,"
  La fortune et la gloire. . .,An mga bahandi ngan an kadungganan . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Ngan ano an sadang buhaton?
"  Chercher un protecteur puissant, prendre un patron,","Pagbiling hin gamhanan nga magmarangno, pagkarawat hin magmarangno,"
  Et comme un lierre obscur qui circonvient un tronc,Ngan sugad hin usa nga mapintas nga mga panapton nga naglilibot han usa nga dughan
"  Et s'en fait un tuteur en lui léchant l'écorce,","Ngan hiya maghimo hin usa nga magbarantay ha iya, ngan maglilis han iya panit;"
  Grimper par ruse au lieu de s'élever par force ?,An pag-aghat ha pag-aghat imbes nga pag-aghat ha pag-aghat?
"  Non, merci. Dédier, comme tous il le font,","Diri, salamat. Pag-dedikar, sugad han iba,"
  Des vers aux financiers ? se changer en bouffon,An mga magraot nga mga tawo nga nag-aantos han mga problema han pinansyal nga mga butang
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Ha paghingyap nga makita, ha mga im-im han usa nga ministro,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","An pag-anak hin pahiyom, ha kataposan, nga diri makuri?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Diri, salamat."
  Avoir un ventre usé par la marche ? une peau,An pag-agi hin usa nga tiyan nga nahubo ha paglakat?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Hin-o an mas madagmit nga mag-aantos hin mahugaw nga mga butang?
  Exécuter des tours de souplesse dorsale ?. . .,Paghimo hin mga tour ha pag-aghat han baba? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Diri, salamat, ha usa nga kamot, pag-aaghat han kanding ha liog"
"  Cependant que, de l'autre, on arrose le chou,","Kondi kon an iba nga tawo mag-uurosa han iya kalugaringon nga mga bunga,"
"  Et, donneur de séné par désir de rhubarbe,",Ngan nagdadara hin mga dughan tungud han kairiphon;
"  Avoir son encensoir, toujours, dans quelque barbe ?",An pag-upod ha iya nga may-ada ba iya barbado?
"  Non, merci ! Se pousser de giron en giron,","Diri, salamat! Nag-uupod ha akon an mga tawo."
"  Devenir un petit grand homme dans un rond,","An adult in a circle,"
"  Et naviguer, avec des madrigaux pour rames,","Ngan maglalakay hira ha mga sakayan nga may mga sakayan nga mga sakayan,"
  Et dans ses voiles des soupirs de vieilles dames ?,Ngan an iya mga harigi may-ada mga pagngurutob han mga tigurang nga babaye?
"  Non, merci ! Chez le bon éditeur de Sercy","Diri, salamat, ha husto nga editor han Sercy."
"  Faire éditer ses vers en payant ? Non, merci !",Nagbabayad ba hiya hin pag-edit han iya mga basa?
  S'aller faire nommer pape par les conciles,Pagpahayag ha Iya nga Papa han mga Konseho
  Que dans des cabarets tiennent des imbéciles ?,An mga tawo nga diri maaram kon ano an ira ginbubuhat ha mga kwarto?
"  Non, merci ! Travailler à se construire un nom","Diri, salamat! Nagtitinguha hin paghimo hin ngaran"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Ha usa nga sonnet, imbes nga maghimo hin iba pa?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Salamat, an mga talento ba la an nakikita ha mga daisy?"
"  Être terrorisé par de vagues gazettes,","An pag-awas ha mga mantalaan,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Ngan nagsusumat ha iya ngahaw, Oh, kon ako amo"
  Dans les petits papiers du Mercure François ?. . .,Ha mga papel han Mercury Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Diri, salamat! Pag-isip, kahadlok, pag-aantos,"
"  Aimer mieux faire une visite qu'un poème,",Mas karuyag ko an pagduaw kay hin usa nga dapo.
"  Rédiger des placets, se faire présenter ?",Nag-aaghat ka ba hin mga surat?
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Diri, salamat, diri, salamat, diri, salamat, kundi... pagkanta,"
"  Rêver, rire, passer, être seul, être libre,","Pagpahamangno, pagkatawa, paglabay, pag-inusara, pag-gawas,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","An mata nga may-ada maopay nga panhunahuna, an tingog nga may-ada mag-aghat,"
