Scène 2.VIII.,Sénégal 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, ndaw yi, ñu toog ci ndeyjoor ak càmmooñ"
et auxquels on sert à boire et à manger.,"te ñu di leen di jaamu, di leen di naan."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (yëgël na ñi génn te bañ a ko salu):
  Messieurs. . .Messieurs. . .Messieurs. . .,Sëriñ yi. Sëriñ yi.
"LE BRET (désolé, redescendant, les bras au ciel):","BIR (Xooy, di wàcc, ay loxoy ci asamaan):"
  Ah ! dans quels jolis draps.,Aah! ci li ñu gis ci biir.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Yaw, dinga xeex!"
LE BRET:,BÉY:
"  Enfin, tu conviendras","Ci lu ëpp, dinga gëna"
"  Qu'assassiner toujours la chance passagère,","Lu tax ñu di rey lu dul yàgg,"
  Devient exagéré.,Mooy na lu bare.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Waaw, man naa di jàppe."
LE BRET (triomphant):,BÉY (Béy)
  Ah !,Ah !
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Waaye ci ndaje bi, ci misaal bi itam,"
  Je trouve qu'il est bon d'exagérer ainsi.,"Maa ngi xalaat ne, lu baax la, mooy di gën a màgg."
LE BRET:,BÉY:
"  Si tu laissais un peu ton âme mousquetaire,","Su fekkee ne, su fekkee ne, sa xol bu mujj,"
  La fortune et la gloire. . .,"Jigéen yi, seen alal ak seen ndam. . . ."
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Lan la ñu war a def?
"  Chercher un protecteur puissant, prendre un patron,","Xamal boroom doole, nangu boroom doole,"
  Et comme un lierre obscur qui circonvient un tronc,Ni xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xëtu xë
"  Et s'en fait un tuteur en lui léchant l'écorce,","Mu def ko boroom, di ko xeex, di ko xeex."
  Grimper par ruse au lieu de s'élever par force ?,"Ndax di jàppe ci njàngle, waaye di ko jàppe ci doole?"
"  Non, merci. Dédier, comme tous il le font,","Du, thanks. Dedeer, ni ñu ñépp def,"
  Des vers aux financiers ? se changer en bouffon,"Ci wormi yi, ci ay fànn-nëm yi, di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di di"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Ci yaakaar bu néew doole, gis, ci kàdduy boroom réew,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Ndax mën a am gàmm, ba bañ a xëy?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Ndax bés bu nekk, di lekk ci biir ci mbaam?"
  Avoir un ventre usé par la marche ? une peau,"Ba ñu di jëmm ci biir, di dox, di gànnaaw"
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Ku gën a mujj, ci biir seen tuur, mu nekk ci biir suuf."
  Exécuter des tours de souplesse dorsale ?. . .,Ndax di jëfe ay jokkoo yuy gën a luy wàcc? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Du, takk, ci benn loxo la, di xamal reem bi ci gànnaawam"
"  Cependant que, de l'autre, on arrose le chou,","Waaye, bu ñu daal ca kaw,"
"  Et, donneur de séné par désir de rhubarbe,","Te mu ngi di jël ay xëtu,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Ndax am na ko ci biir xarab?
"  Non, merci ! Se pousser de giron en giron,","Du, takk naa la."
"  Devenir un petit grand homme dans un rond,","Di nekk góor bu mag bu ndaw ci benn xët,"
"  Et naviguer, avec des madrigaux pour rames,","te di jaamu, ak ay xànq yu ñu leen di jël,"
  Et dans ses voiles des soupirs de vieilles dames ?,"Te ci seen sàqkat yi, ay jabar yu góor di wax?"
"  Non, merci ! Chez le bon éditeur de Sercy","Du, takk naa la, ci boroom Sercy bu baax bi."
"  Faire éditer ses vers en payant ? Non, merci !",Ndax dinaa leen di fexe ay xëtam ci seen taxawaay?
  S'aller faire nommer pape par les conciles,Ba ñu doon di doon di doon di doon papa ci àttekat yi
