Scène 2.VIII.,Ibali 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","UCyrano, uLe Bret, abantwana abaselula, abahlala ngasekunene nangasekhohlo"
et auxquels on sert à boire et à manger.,Kwaye bayasetyenziswa ukuze basele baze badle.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,UCYRANO (ubulisa ngovuyo abo bangakhange bavume ukubulisa):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana, bazalwana,"
"LE BRET (désolé, redescendant, les bras au ciel):","IBHALI (Ebuhlungu, ephantsi, iingalo ezulwini):"
  Ah ! dans quels jolis draps.,Hayi indlela amnandi ngayo la malungiselelo.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, wena, uya kuncwina!"
LE BRET:,I-BREET:
"  Enfin, tu conviendras","Ekugqibeleni, uya kuvuma"
"  Qu'assassiner toujours la chance passagère,","Ukuba usoloko ubulala ithuba elifutshane,"
  Devient exagéré.,Oku kuthetha ukuba uyagqithisa.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Ewe, ndiyaphambanisa!"
LE BRET (triomphant):,UMGQIBELI:
  Ah !,Hayi ke!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Kodwa ke, ngokomgaqo, nangomzekelo,"
  Je trouve qu'il est bon d'exagérer ainsi.,Ndicinga ukuba kulungile ukuyityeshela loo nto.
LE BRET:,I-BREET:
"  Si tu laissais un peu ton âme mousquetaire,","Ukuba ubuya kuyeka umphefumlo wakho ube ngumngxuma,"
  La fortune et la gloire. . .,Ubutyebi nozuko . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Yintoni ekwakufuneka yenziwe?
"  Chercher un protecteur puissant, prendre un patron,","Ukufuna umkhuseli onamandla, ukufumana umlawuli,"
  Et comme un lierre obscur qui circonvient un tronc,Njengomthunzi omnyama ozungeze isiqu
"  Et s'en fait un tuteur en lui léchant l'écorce,","Kwaye uya kuba ngumkhuseli wakhe, uya kuligweba,"
  Grimper par ruse au lieu de s'élever par force ?,Ngaba ukhuphuka ngobuqhetseba kunokuba unyuke ngamandla?
"  Non, merci. Dédier, comme tous il le font,","Hayi, ndiyabulela."
  Des vers aux financiers ? se changer en bouffon,Ukususela kwiimbovane ukuya kwiimali?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Ndithemba ukuba ndiza kubona, ngomlomo wenkosi,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",Ngaba ukho umntu ongazange abe nenceba?
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Hayi, ndiyabulela, kodwa ukutya isidlo sasemini yonke imihla?"
  Avoir un ventre usé par la marche ? une peau,Ukuba nesisu esibolileyo xa uhamba?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Ngubani owenza umonakalo ngokukhawuleza kunamadolo?
  Exécuter des tours de souplesse dorsale ?. . .,Ngaba kufuneka wenze iinqwelo-mafutha? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Hayi, enkosi, ngesandla esinye, ncoma ibhokhwe entanyeni"
"  Cependant que, de l'autre, on arrose le chou,","Kodwa ke, xa omnye umntu etywiliselwa ikhaphetshu,"
"  Et, donneur de séné par désir de rhubarbe,","Kwaye uya kunika iimbambo ngenxa yokufuna i-rhubarb,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Ngaba usoloko enesiqhumiso sakhe?
"  Non, merci ! Se pousser de giron en giron,","Hayi, ndiyabulela, ukuqhubela phambili."
"  Devenir un petit grand homme dans un rond,","Ukuba ngumntu omncinane omkhulu kwi-round,"
"  Et naviguer, avec des madrigaux pour rames,","Kwaye bahamba ngeenqanawa, ngeemadrangi zeenqanawa,"
  Et dans ses voiles des soupirs de vieilles dames ?,Yaye kwizikhephe zakhe kukho ukububula kwabesifazane abadala?
"  Non, merci ! Chez le bon éditeur de Sercy","Hayi, enkosi, kumhleli weSercy ofanelekileyo."
"  Faire éditer ses vers en payant ? Non, merci !",Ngaba ufuna ukuhlawula iindinyana zokuhlela?
  S'aller faire nommer pape par les conciles,Ukuya Kuthiwe NguPopu KwiBhunga
  Que dans des cabarets tiennent des imbéciles ?,Ngaba kukho abantu abangenangqiqo abahlala kwiiholo?
"  Non, merci ! Travailler à se construire un nom","Hayi, ndiyabulela, ndizama ukuzenzela igama"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",Ngaba usenza enye into endaweni yokuba wenze enye?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Ngaba ukufumanisa italente kuphela kwii-mazzettes?
"  Être terrorisé par de vagues gazettes,","Ukothuswa ziindaba ezirhabaxa,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Kwaye usoloko uthi: ""Owu, ukuba nje ndinguye"
