Scène 2.VIII.,סצענע 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","סיראנו, לברעט, די קודז, וואָס זענען אַוועקגעזעצט רעכט און לינקס"
et auxquels on sert à boire et à manger.,און זיי זענען געדינט צו טרינקען און עסן.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,סיראנו (געהאַלט מיט אַ גוגאַגענאַר לופט יענע וואָס קומען אויס אָן דערצאַרבן אים צו באַגריסן):
  Messieurs. . .Messieurs. . .Messieurs. . .,"רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי,"
"LE BRET (désolé, redescendant, les bras au ciel):","די ברעט (סאָונד, אַראָפּגיין, אַרמעס צו הימל):"
  Ah ! dans quels jolis draps.,אוי! אין וואָס שיין לאַפּס.
CYRANO:,סיראנו:
  Oh ! toi ! tu vas grogner !,אָ! איר! איר וועט גראָקן!
LE BRET:,די ברעט:
"  Enfin, tu conviendras","סוף סוף, איר וועט זיין פּאַסיק"
"  Qu'assassiner toujours la chance passagère,","אַז שטענדיק מאָרד די פאַרפאַלן מאַזל,"
  Devient exagéré.,ווערט אַקסאַגרייטיד.
CYRANO:,סיראנו:
"  Hé bien oui, j'exagère !","אווי יאָ, איך בין אַקסאַגריידינג!"
LE BRET (triomphant):,די ברעט (טריומפאַנט):
  Ah !,אה!
CYRANO:,סיראנו:
"  Mais pour le principe, et pour l'exemple aussi,","אָבער פֿאַר די פּרינציפּ, און פֿאַר די בייַשפּיל אויך,"
  Je trouve qu'il est bon d'exagérer ainsi.,איך באַטראַכטן עס איז גוט צו אַקסאַגריידז אַזוי.
LE BRET:,די ברעט:
"  Si tu laissais un peu ton âme mousquetaire,","אויב איר וואָלט לאָזן אַ ביסל דיין מאַסקיטאַט נשמה,"
  La fortune et la gloire. . .,רייַך און כבוד. . . .
CYRANO:,סיראנו:
  Et que faudrait-il faire ?,און וואָס זאָל מען טאָן?
"  Chercher un protecteur puissant, prendre un patron,","צו זוכן אַ שטאַרק באַשיצער, צו נעמען אַ באַלעבאָס,"
