Scène 2.VIII.,Àkókò kejìdínláàádọ́jọ.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, àwọn ọmọdé tó wà ní apá ọ̀tún àti apá òsì"
et auxquels on sert à boire et à manger.,A sì ń fi oúnjẹ àti omi sin wọn.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (ó fi ọ̀rọ̀ tó ń fi hàn pé òun ò fẹ́ kí àwọn tó ń jáde wá kí òun):
  Messieurs. . .Messieurs. . .Messieurs. . .,Àwọn ènìyàn... àwọn ènìyàn... àwọn ènìyàn... àwọn ènìyàn...
"LE BRET (désolé, redescendant, les bras au ciel):","BREET (dánilójú, sọkalẹ, ọwọ́ sí ọ̀run):"
  Ah ! dans quels jolis draps.,Ẹ ò rí i pé aṣọ tó dáa gan-an ni!
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"O, o, o ti wa ni yio ro!"
LE BRET:,ÀWỌN ÀWỌN:
"  Enfin, tu conviendras","Níkẹyìn, wàá ṣe dáadáa"
"  Qu'assassiner toujours la chance passagère,",Kí n má ṣe máa pa ayọ̀ tí ó bá ń kọjá lọ.
  Devient exagéré.,Ó ń sọ ohun tó ń sọni di alágbára.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Ó dájú pé, mo ń sọ ọ̀rọ̀ náà di èyí tó pọ̀ jù."
LE BRET (triomphant):,ÀWỌN TÓ Ń Gbé Ìgbésí Ayé Wọn Ga
  Ah !,Àìmọ́!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Àmọ́, ní ti ìlànà àti àpẹẹrẹ,"
  Je trouve qu'il est bon d'exagérer ainsi.,Mo rò pé ó dára kéèyàn máa fi ọ̀rọ̀ náà lérò tó pọ̀ jù.
LE BRET:,ÀWỌN ÀWỌN:
"  Si tu laissais un peu ton âme mousquetaire,","Bí ìwọ bá fi ọkàn rẹ sílẹ̀ díẹ̀,"
  La fortune et la gloire. . .,Ọrọ̀ àti Ògo . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Kí ló yẹ ká ṣe?
"  Chercher un protecteur puissant, prendre un patron,","Wíwá olùṣọ́ àgùntàn alágbára, yíya ẹni tó ń bójú tó nǹkan pa dà,"
  Et comme un lierre obscur qui circonvient un tronc,Bí ìrọ̀lẹ́ tí ó yí àpáta kan ká
"  Et s'en fait un tuteur en lui léchant l'écorce,","Ó sì ń ṣe olùṣọ́ àgùntàn rẹ̀, ó ń lé e lórí, ó sì ń fi igi rẹ̀ ṣe àjẹsára."
