Scène 2.VIII.,第二八場
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret,小朋友 坐左邊同右邊"
et auxquels on sert à boire et à manger.,供應飲食同飲食
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,居魯士 (佢用氣問候出門嘅人):
  Messieurs. . .Messieurs. . .Messieurs. . .,"士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士,士"
"LE BRET (désolé, redescendant, les bras au ciel):"," (哀悼,下降,手臂升到天空):"
  Ah ! dans quels jolis draps.,! ! ! ! !
CYRANO:,",你會唔會覺得好好"
  Oh ! toi ! tu vas grogner !,你會!
LE BRET:,",你係個"
"  Enfin, tu conviendras","最後,你會好"
"  Qu'assassiner toujours la chance passagère,",總是殺死過時嘅幸運
  Devient exagéré.,太誇張啦
CYRANO:,",你會唔會覺得好好"
"  Hé bien oui, j'exagère !",我會講得太多
LE BRET (triomphant):, (勝利者):
  Ah !,!
CYRANO:,",你會唔會覺得好好"
"  Mais pour le principe, et pour l'exemple aussi,","但喺原則上,同例子上,"
  Je trouve qu'il est bon d'exagérer ainsi.,我覺得咁誇張好
LE BRET:,",你係個"
"  Si tu laissais un peu ton âme mousquetaire,",如果你放下一點你嘅靈魂
  La fortune et la gloire. . .,財富同榮耀 . . .
CYRANO:,",你會唔會覺得好好"
  Et que faudrait-il faire ?,我哋應該做啲咩?
"  Chercher un protecteur puissant, prendre un patron,","搵一個強大嘅保護者,搵一個老板"
  Et comme un lierre obscur qui circonvient un tronc,像一個頭圍繞著一個樹幹嘅黑暗
"  Et s'en fait un tuteur en lui léchant l'écorce,","樹就被住,樹,"
  Grimper par ruse au lieu de s'élever par force ?,唔係用力爬上山?
"  Non, merci. Dédier, comme tous il le font,","唔好,多謝,因為大家都一樣,"
  Des vers aux financiers ? se changer en bouffon,"從蟲到金融家,變成蛋"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","我希望可以見到,一位部長嘅口中,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","冇錯,喺一個唔惡意嘅笑容"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","唔好,多謝,每日都食?"
  Avoir un ventre usé par la marche ? une peau,"走路就咗肚子,皮膚"
"  Qui plus vite, à l'endroit des genoux, devient sale ?",邊個會比膝蓋更快地變污?
  Exécuter des tours de souplesse dorsale ?. . .,返去做背部彈性運動?
"  Non, merci. D'une main flatter la chèvre au cou","唔係,多謝,只有一隻手,"
"  Cependant que, de l'autre, on arrose le chou,",但當你將其他種植放喺水面上
"  Et, donneur de séné par désir de rhubarbe,",髮就好似髮咁
"  Avoir son encensoir, toujours, dans quelque barbe ?",總係喺一個度放著煙?
"  Non, merci ! Se pousser de giron en giron,","唔好,多謝! 轉轉轉轉"
"  Devenir un petit grand homme dans un rond,",成為一個大小嘅男人
"  Et naviguer, avec des madrigaux pour rames,",搭著船去航海
  Et dans ses voiles des soupirs de vieilles dames ?,啲老婆喺佢個帆裏面 喊?
"  Non, merci ! Chez le bon éditeur de Sercy","唔係,多謝,我喺 Sercy 嘅出版商度"
"  Faire éditer ses vers en payant ? Non, merci !",請你用錢編輯佢嘅字母?
  S'aller faire nommer pape par les conciles,成為教皇
  Que dans des cabarets tiennent des imbéciles ?,點解喺商場會有人?
"  Non, merci ! Travailler à se construire un nom","唔好,多謝! 努力建立一個名字"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",響一個鐘聲而唔係做其他鐘聲?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,謝謝! 只有喺度搵到才華?
"  Être terrorisé par de vagues gazettes,",驚訝被新聞發布
"  Et se dire sans cesse: Oh, pourvu que je sois","我一直諗, "",如果我係"
