Scène 2.VIII.,现在我们要做什么?
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","塞拉诺,布雷特,小孩,他们坐右和左"
et auxquels on sert à boire et à manger.,他们被服务为饮食和饮食.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,塞拉诺 (他用气向那些不敢出门的人表示欢迎):
  Messieurs. . .Messieurs. . .Messieurs. . .,"现在,我们要做什么?"
"LE BRET (désolé, redescendant, les bras au ciel):"," (哀悼,下来,手臂天空):"
  Ah ! dans quels jolis draps.,",这些布料是很漂亮的."
CYRANO:,们都在着.
  Oh ! toi ! tu vas grogner !,你会!
LE BRET:,子:
"  Enfin, tu conviendras",终于你会接受
"  Qu'assassiner toujours la chance passagère,","只是为了杀死瞬间的运气,"
  Devient exagéré.,这已经过度了.
CYRANO:,们都在着.
"  Hé bien oui, j'exagère !",我说过度了.
LE BRET (triomphant):,子 (胜利者):
  Ah !,!
CYRANO:,们都在着.
"  Mais pour le principe, et pour l'exemple aussi,","但对于原则,以及例子,"
  Je trouve qu'il est bon d'exagérer ainsi.,我认为过度这样做是好事.
LE BRET:,子:
"  Si tu laissais un peu ton âme mousquetaire,","你若放下你的心灵,"
  La fortune et la gloire. . .,财富和荣耀. . .
CYRANO:,们都在着.
  Et que faudrait-il faire ?,现在该怎么办?
"  Chercher un protecteur puissant, prendre un patron,","寻找一个强大的保护者,找一个老板,"
  Et comme un lierre obscur qui circonvient un tronc,像一个子周围的黑暗子.
"  Et s'en fait un tuteur en lui léchant l'écorce,","他就把它成一个监护者,着它的皮."
  Grimper par ruse au lieu de s'élever par force ?,"爬,而不是强迫爬?"
"  Non, merci. Dédier, comme tous il le font,","奉献,像他们都这样做,"
  Des vers aux financiers ? se changer en bouffon,"从虫到财务员,变成瓜."
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","我希望能看到,我希望能看到,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","能创造一个微笑,而不是一个可怕的微笑."
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","没有,谢谢. 每天吃吗?"
  Avoir un ventre usé par la marche ? une peau,"一个走路的肚子被磨损,一块皮肤"
"  Qui plus vite, à l'endroit des genoux, devient sale ?","谁会更快地变得脏,而不是脏?"
  Exécuter des tours de souplesse dorsale ?. . .,炼背部灵活性? . . .
"  Non, merci. D'une main flatter la chèvre au cou","没有,谢谢,只用一只手,着羊子."
"  Cependant que, de l'autre, on arrose le chou,","另一方面,我们用水,"
"  Et, donneur de séné par désir de rhubarbe,","他因欲,使自己的胸,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",总是把他的火放在一个胡子里吗?
"  Non, merci ! Se pousser de giron en giron,","没有,谢谢!"
"  Devenir un petit grand homme dans un rond,","成为一个小大大男人在一个圈子里,"
"  Et naviguer, avec des madrigaux pour rames,","乘船,用轮,"
  Et dans ses voiles des soupirs de vieilles dames ?,那些老太太的叹息在他的帆上?
"  Non, merci ! Chez le bon éditeur de Sercy","谢谢,我在塞尔西的正确的出版商那里."
"  Faire éditer ses vers en payant ? Non, merci !","为了付钱,让他的子编辑?"
  S'aller faire nommer pape par les conciles,让自己被公会任命为教皇
  Que dans des cabarets tiennent des imbéciles ?,那些瓜在酒店里着什么东西?
"  Non, merci ! Travailler à se construire un nom",努力为自己创造一个名字
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","在一个音响上,而不是在做其他音响?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,只有在子里才会发现才华?
"  Être terrorisé par de vagues gazettes,","受到浪漫的报纸的恐惧,"
"  Et se dire sans cesse: Oh, pourvu que je sois","我一直在想,如果我是"
  Dans les petits papiers du Mercure François ?. . .,"在""弗朗西斯水星""的小文件中."
"  Non, merci ! Calculer, avoir peur, être blême,","没有,谢谢! 计算,害怕,淡,"
"  Aimer mieux faire une visite qu'un poème,","喜欢一个游览比诗更好,"
"  Rédiger des placets, se faire présenter ?","写一些名片,让自己介绍自己?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","谢谢,谢谢,谢谢,谢谢,谢谢,谢谢,谢谢,谢谢,谢谢,谢谢,谢谢,谢谢,谢谢,谢谢,谢谢谢,谢谢,谢谢谢,谢谢谢,谢谢谢,谢谢谢,谢谢谢谢,谢谢谢,谢谢谢谢,谢谢谢,谢谢谢谢,谢谢谢谢,谢谢谢谢,谢谢谢,谢谢谢,谢谢谢谢,谢谢谢,谢谢谢,谢谢,谢谢谢,谢谢,谢谢,谢谢,谢谢,谢,谢谢,谢,谢,谢,谢,谢,谢,谢,谢,谢,谢,谢,谢,谢,谢,谢,谢,谢,谢,谢,谢,谢,谢,谢,谢,谢,谢,谢,"
"  Rêver, rire, passer, être seul, être libre,","梦见,笑,过,孤单,自由,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","眼睛可以看得好,声音可以震动,"
"  Mettre, quand il vous plaît, son feutre de travers,","任何时候,你都会把自己的感觉放到错误的处境中."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","为了一个""是"",为了一个""不"",要战斗,或者做一个虫!"
"  Travailler sans souci de gloire ou de fortune,","工作不要想获得荣耀或财富,"
"  A tel voyage, auquel on pense, dans la lune !",想到一个月球之旅.
"  N'écrire jamais rien qui de soi ne sortît,","永远不要写出自己不想写的东西,"
"  Et modeste d'ailleurs, se dire: mon petit,","谦虚的人,自以为,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","无论是花,果子,甚至叶子,"
  Si c'est dans ton jardin à toi que tu les cueilles !,"如果你在自己的花园里它们,那么你就会得到."
"  Puis, s'il advient d'un peu triompher, par hasard,","如果他有点成功,"
