Scène 2.VIII.,"該組織的組織是"""
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","塞拉諾,布雷特,年輕人,"
et auxquels on sert à boire et à manger.,"他們被服務,飲用,"
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):, ()  ()  ()  ()  ()  ()  ()  ()  ()  ()  ()
  Messieurs. . .Messieurs. . .Messieurs. . .,"請您繼續閱讀更多來自 """" 的精彩文章:"
"LE BRET (désolé, redescendant, les bras au ciel):",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
  Ah ! dans quels jolis draps.,這是一件很棒的布料.
CYRANO:,這就是我想要的.
  Oh ! toi ! tu vas grogner !,"你會,你會!"
LE BRET:,這就是我想要的.
"  Enfin, tu conviendras",這樣你會好.
"  Qu'assassiner toujours la chance passagère,","只是為了讓我們失去機會,"
  Devient exagéré.,"這樣的行為,"
CYRANO:,這就是我想要的.
"  Hé bien oui, j'exagère !","這樣的情況,"
LE BRET (triomphant):,這就是我想要的.
  Ah !,這就是我的故事.
CYRANO:,這就是我想要的.
"  Mais pour le principe, et pour l'exemple aussi,","這樣的例子也可以證明,"
  Je trouve qu'il est bon d'exagérer ainsi.,這樣的誇張對我來說是好事.
LE BRET:,這就是我想要的.
"  Si tu laissais un peu ton âme mousquetaire,","你若讓你的靈魂一點,"
  La fortune et la gloire. . .,財富和榮耀. . .
CYRANO:,這就是我想要的.
  Et que faudrait-il faire ?,"這樣,我們應該做什麼?"
"  Chercher un protecteur puissant, prendre un patron,","尋找一個強大的保護者, 找一位老板,"
  Et comme un lierre obscur qui circonvient un tronc,"像一根子的黑暗子,"
"  Et s'en fait un tuteur en lui léchant l'écorce,","他將它當作護理者, 著它的皮子,"
  Grimper par ruse au lieu de s'élever par force ?,沒有人能用武力爬上?
"  Non, merci. Dédier, comme tous il le font,","沒有,感謝."
  Des vers aux financiers ? se changer en bouffon,"到金融界,"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","願望看到, 部長的口中,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","沒有人會笑,"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","這樣的食物,"
  Avoir un ventre usé par la marche ? une peau,"走路的肚子會,"
"  Qui plus vite, à l'endroit des genoux, devient sale ?",沒有人能在膝蓋前染.
  Exécuter des tours de souplesse dorsale ?. . .,如何使用背部彈性運動?
"  Non, merci. D'une main flatter la chèvre au cou","沒有,感謝."
"  Cependant que, de l'autre, on arrose le chou,","另一方面,我們將大咖倒在水上,"
"  Et, donneur de séné par désir de rhubarbe,","的子是因為他想要髮,"
"  Avoir son encensoir, toujours, dans quelque barbe ?","這種情況,"
"  Non, merci ! Se pousser de giron en giron,","沒有,感謝!"
"  Devenir un petit grand homme dans un rond,","成為一個小大男孩,"
"  Et naviguer, avec des madrigaux pour rames,","他們用船上航行,"
  Et dans ses voiles des soupirs de vieilles dames ?,還有許多老婦人的呼聲?
"  Non, merci ! Chez le bon éditeur de Sercy","沒有,感謝!"
"  Faire éditer ses vers en payant ? Non, merci !","這樣的東西,"
  S'aller faire nommer pape par les conciles,成為教皇的代表
  Que dans des cabarets tiennent des imbéciles ?,那些在小屋裡的愚蠢人?
"  Non, merci ! Travailler à se construire un nom","努力為自己建立名字,"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","沒有任何其他聲音,"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,只有在子裡才會發現才能?
"  Être terrorisé par de vagues gazettes,","恐懼被媒體的報導,"
"  Et se dire sans cesse: Oh, pourvu que je sois",總是想著自己:
  Dans les petits papiers du Mercure François ?. . .,"在""法國水星""的小文件中."
"  Non, merci ! Calculer, avoir peur, être blême,","沒有人能想到,"
"  Aimer mieux faire une visite qu'un poème,","喜歡旅行比詩更好,"
"  Rédiger des placets, se faire présenter ?","寫名單, 呈現自己?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","沒有,感謝!沒有,感謝!"
"  Rêver, rire, passer, être seul, être libre,","梦想,笑,過,孤獨,自由,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","能看到的眼睛,能震動的聲音,"
"  Mettre, quand il vous plaît, son feutre de travers,","隨時你想要, 放出自己的感覺,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","沒有人能說是的,沒有人能說是的,"
"  Travailler sans souci de gloire ou de fortune,","沒有追求榮耀或財富,"
"  A tel voyage, auquel on pense, dans la lune !",這是一次我們想到的月球之旅.
"  N'écrire jamais rien qui de soi ne sortît,","沒有任何來自自己,"
"  Et modeste d'ailleurs, se dire: mon petit,","沒有人能說: ""我很小,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","能滿足自己的花朵,果子,甚至葉子,"
  Si c'est dans ton jardin à toi que tu les cueilles !,這種子是你自己的花園.
"  Puis, s'il advient d'un peu triompher, par hasard,","如果他有機會獲得一點勝利,"
"  Ne pas être obligé d'en rien rendre à César,","沒有必要向皇帝還任何錢,"
"  Vis-à-vis de soi-même en garder le mérite,","沒有人能為自己負責,"
"  Bref, dédaignant d'être le lierre parasite,","總之, 卻不願意成為寄生蟲,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","我們不像樹,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","這樣的情況可能會很嚴重,"
LE BRET:,這就是我想要的.
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",沒有人能對抗所有人.
  As-tu donc contracté la manie effroyable,你有沒有患上了可怕的狂熱?
"  De te faire toujours, partout, des ennemis ?",總是要在任何地方做敵人?
CYRANO:,這就是我想要的.
"  A force de vous voir vous faire des amis,","看到你們成為朋友,"
"  Et rire à ces amis dont vous avez des foules,","嘲笑那些朋友,"
  D'une bouche empruntée au derrière des poules !,"這種口頭,"
"  J'aime raréfier sur mes pas les saluts,","我喜歡在腳下發表歡迎,"
  Et m'écrie avec joie: un ennemi de plus !,歡呼我: 還有一個敵人!
LE BRET:,這就是我想要的.
  Quelle aberration !,這是一種輯.
CYRANO:,這就是我想要的.
"  Eh bien, oui, c'est mon vice.",這就是我的缺點.
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"這樣的行為,"
"  Mon cher, si tu savais comme l'on marche mieux",",你知道我們如何走得更好."
  Sous la pistolétade excitante des yeux !,"這種情感,"
"  Comme, sur les pourpoints, font d'amusantes taches",如何在指引上做好有趣的點子
  Le fiel des envieux et la bave des lâches !,"這就是的惡意,"
"  --Vous, la molle amitié dont vous vous entourez,","這樣的友,"
"  Ressemble à ces grands cols d'Italie, ajourés","像義大利的那些長頸鹿,"
"  Et flottants, dans lesquels votre cou s'effémine:","漂浮的海上, 你的頸項會著,"
"  On y est plus à l'aise. . .et de moins haute mine,",我們在這裡更舒服.
"  Car le front n'ayant pas de maintien ni de loi,","因為頭沒有守法,沒有法,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",沒有任何可能的改變.
"  La Haine, chaque jour, me tuyaute et m'apprête","仇恨每天都在我,"
  La fraise dont l'empois force à lever la tête;,"桃的毒氣使他們抬起頭,"
  Chaque ennemi de plus est un nouveau godron,每個新敵人都是新的小
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","他加上了我痛苦,加上了我的光."
"  Car, pareille en tous points à la fraise espagnole,","因為每一點都像西班牙草一樣,"
"  La Haine est un carcan, mais c'est une auréole !","這是一種,但它是一種!"
"LE BRET (après un silence, passant son bras sous le sien):"," (在沉默後,將他的手臂在自己的下):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高高
  Dis-moi tout simplement qu'elle ne t'aime pas !,只是告訴我她不愛你!
CYRANO (vivement):, (活著):
  Tais-toi !,"這樣的情況,"
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","基督徒在這場活動中,"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,他最後就坐著一個人
