Scène 2.VIII.,Adegan 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, anak-anak muda, yang duduk di sebelah kanan dan kiri"
et auxquels on sert à boire et à manger.,Dan mereka disambut untuk makan dan minum.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (mengucapkan salam dengan nada yang berbau-bau kepada mereka yang keluar tanpa berani menyapa dia):
  Messieurs. . .Messieurs. . .Messieurs. . .,Tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan
"LE BRET (désolé, redescendant, les bras au ciel):","THE BRET (sedih, turun, lengan ke langit):"
  Ah ! dans quels jolis draps.,"Oh, dalam kain yang cantik."
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, kamu akan menggerutu!"
LE BRET:,PEMBANG:
"  Enfin, tu conviendras","Akhirnya, anda akan bersetuju."
"  Qu'assassiner toujours la chance passagère,","Berjaya membunuh nasib yang berlalu-lalang,"
  Devient exagéré.,Dia terlalu berlebihan.
